Alsatian	Alsatian	probability
ˈɛ	ˈɪɛ̯	1.0
ˈɔi̯	-	1.0
ˈœ	ˈaʊ̯	1.0
ˈøː	ˈoː	1.0
ˈøi̯	ˈuː	1.0
ˈø	ˈuə̯	1.0
ˈu_ʁ	ˈuːə̯	1.0
ˈiː_ʁ	ɐ	1.0
ˈaː	-	1.0
ˈai̯	ˈaɪ̯	1.0
ʦ	t	1.0
ʋ_ˈi	v	1.0
ʃ_t	ç	1.0
ə_ʁ	ɐ	1.0
ŋ	ŋ	1.0
w	ʋ	1.0
t_ʁ	d_r	1.0
s_ə	t_n	1.0
p͡f	p	1.0
p	p	1.0
n_ə	n_n	1.0
n_z̥_#>	s_#>	1.0
n_d̥	n	1.0
n	n	1.0
m	m	1.0
l	l	1.0
kʰ	k	1.0
h	h	1.0
eː	aɪ̯	1.0
e	ˈiː	1.0
d̥_ə	n	1.0
d̥_#>	d̥_#>	1.0
d̥	d	1.0
<#_ʁ	<#_r	1.0
<#_n	<#_n	1.0
#>	k_#>	1.0
f	f	0.875
b̥	b	0.826
ɡ̊	x	0.818
ə	n	0.783
ʋ	v	0.773
ˈəi̯	ˈeː	0.75
ˈeː	-	0.714
x	x	0.714
ʃ	ʃ	0.704
ˈi	ˈɪ	0.68
j	-	0.667
i	-	0.667
ˈyː	ˈuː	0.625
z̥	z̥	0.6
f_#>	p_#>	0.6
ˈɒ	ˈa	0.593
ˈo	ˈʊ	0.571
k	-	0.571
s	s	0.536
ˈæː	ˈɪɛ̯	0.5
ˈæː	ˈaɪ̯	0.5
ˈæ	ˈɪɛ̯	0.5
ˈæ	ˈɛ	0.5
ˈu	ˈʊ	0.5
ˈoː	ˈɔː	0.5
ˈei̯	ˈiː	0.5
ˈei̯	ˈaɪ̯	0.5
t	d̥	0.5
ˈʊː	ˈoː	0.462
ˈɒː	ˈa	0.444
ˈo	-	0.429
k	k	0.429
ʁ	r	0.424
z̥	z	0.4
f_#>	#>	0.4
s	t	0.393
ˈʊː	ˈaʊ̯	0.385
ˈyː	ˈʊ	0.375
ˈoː	ˈaʊ̯	0.375
ˈe	ˈɛ	0.364
ˈe	-	0.364
ʁ	ɐ	0.364
ˈɒː	-	0.333
j	j	0.333
i	ɪ_ç	0.333
t	t	0.312
ˈeː	ˈaɪ̯	0.286
x	k_ə	0.286
ˈəi̯	-	0.25
ˈiː	ˈiː	0.235
ˈiː	ˈaɪ̯	0.235
ˈɒː	ˈaː	0.222
ʃ	k	0.222
ə	-	0.217
ʁ	-	0.212
ˈi	-	0.2
ˈu	ˈʏ	0.188
ˈu	-	0.188
ˈe	ˈɪɛ̯	0.182
ɡ̊	-	0.182
ˈiː	ˈøː	0.176
ˈʊː	-	0.154
ʋ	ʋ	0.136
ˈu	ˈuə̯	0.125
ˈoː	-	0.125
t	d	0.125
f	p	0.125
ˈiː	ˈɪ	0.118
ˈiː	ˈyː	0.118
ˈiː	-	0.118
ˈɒ	ˈɔ	0.111
ˈɒ	ˈaː	0.111
ˈɒ	-	0.111
ˈe	ˈyə̯	0.091
ʋ	ɡ	0.091
b̥	v	0.087
b̥	-	0.087
ˈi	ˈɪə̯	0.08
ˈɒ	ˈɛ	0.074
ʃ	s	0.074
s	z	0.071
t	-	0.062
