Galician	Aragonese	probability
b	b	1.0
d	d	1.0
f	f	1.0
p	p	1.0
s	s	1.0
t	t	1.0
w	w	1.0
ð	ð	1.0
ɡ	ɡ	1.0
ˈu	ˈu	1.0
ˈɑ	ˈa	1.0
j	-	0.131
l	l	0.791
o	u	0.071
ŋ	n_o	0.21
ɲ	j_n	0.141
ʃ	ʃ	0.261
ʎ	l	0.061
ˈo	ˈe	0.211
ˈɔ	ˈo	0.291
θ	θ	0.861
a	-	0.062
j	ˈe	0.052
k	k_ɾ	0.052
m	m	0.932
o	o	0.872
r	ɾ	0.173
ʧ	f_l	0.223
ˈɛ	ˈe	0.073
e	i	0.064
i	i	0.864
ŋ	ŋ	0.4
ɐ	a	0.924
ɪ	e	0.725
ʊ	o	0.975
ˈi	ˈe	0.115
ˈi	ˈi	0.885
β	β	0.845
e	e	0.936
i	e	0.136
n	n	0.966
ɐ	n_a	0.076
ɲ	n	0.356
ɲ	ɲ	0.436
ˈo	w_ˈe	0.196
ˈo	ˈo	0.346
β	p	0.086
θ	-	0.076
j	j	0.817
o	-	0.057
r	r	0.827
ɣ	ɣ	0.957
ɪ	e_n	0.077
ɲ	ŋ_ɡ	0.067
ʧ	-	0.777
ˈe	ˈe	0.937
ˈo	ˈu	0.247
ˈɛ	j_ˈe	0.927
a	a	0.898
k	k	0.948
m	m_b	0.068
ɪ	ˈe	0.078
ɾ	ɾ	0.978
l	ʎ	0.209
ŋ	n	0.39
ɪ	ɾ_e	0.119
ʃ	ʧ	0.739
ʎ	ʎ	0.939
ˈa	ˈa	0.959
ˈɔ	w_ˈe	0.709
β	-	0.069
