Westphalian	Westphalian	probability
ˈɛː	-	1.0
ˈœː	-	1.0
ˈyə̯	ˈe	1.0
ˈiɛ̯	-	1.0
ˈaɪ̯_#>	#>	1.0
ʃ	ʃ	1.0
ɪ_ç	i	1.0
ɣ	-	1.0
ə	-	1.0
z̥	z̥	1.0
t_n	s_ə	1.0
s_t	ʃ_t	1.0
s	s	1.0
r	ʁ	1.0
p_#>	f_#>	1.0
n_n	n_ə	1.0
m	m	1.0
l	l	1.0
k_ə_#>	x_#>	1.0
k_#>	#>	1.0
j	j	1.0
h	h	1.0
f	f	1.0
d̥_#>	d̥_#>	1.0
d̥	t	1.0
d_r	t_ʁ	1.0
aɪ̯	eː	1.0
<#_r	<#_ʁ	1.0
<#_n	<#_n	1.0
#>	f_#>	1.0
b	b̥	0.905
ŋ	ŋ	0.833
ˈɪ	ˈi	0.81
d	d̥	0.81
ˈa	ˈɒ	0.8
ˈuə̯	-	0.75
ˈoː	ˈʊː	0.75
ˈeː	ˈəi̯	0.75
v	ʋ	0.739
ˈɔː	ˈoː	0.667
ˈuː	ˈyː	0.625
n	n	0.607
ˈʏ	ˈu	0.6
ˈɪɛ̯	-	0.6
ˈɪə̯	-	0.6
ˈuːə̯	ˈu	0.6
ˈaː	ˈɒ	0.6
ɐ	ə_ʁ	0.562
x	ɡ̊	0.562
k	kʰ	0.55
ˈʊ	ˈu	0.533
ˈɔ	ˈɒ	0.5
ˈɔ	-	0.5
ˈøː	ˈiː	0.5
ˈøː	-	0.5
ˈyː	ˈiː	0.5
ˈyː	-	0.5
ˈiː	ˈiː	0.5
ɡ	ʋ	0.5
ɡ	-	0.5
ç	ʃ_t	0.5
ç	-	0.5
z	z̥	0.5
z	s	0.5
s_#>	n_z̥_#>	0.5
s_#>	k_s_#>	0.5
p	f	0.5
ˈaɪ̯	ˈiː	0.444
ˈaʊ̯	ˈoː	0.429
t	ʦ	0.424
ˈʏ	-	0.4
ˈɪə̯	ˈi	0.4
ˈuːə̯	-	0.4
ˈaː	ˈɒː	0.4
ʋ	ʋ	0.375
ʋ	-	0.375
ɐ	ʁ	0.375
ˈɛ	ˈe	0.364
ˈaʊ̯	ˈʊː	0.357
ˈɔː	-	0.333
t	s	0.333
p	p͡f	0.333
x	x	0.312
n	ə	0.304
k	ʃ	0.3
ˈɛ	-	0.273
ˈʊ	ˈo	0.267
ˈuː	-	0.25
ˈuə̯	ˈø	0.25
ˈoː	ˈøː	0.25
ˈiː	ˈei̯	0.25
ˈiː	-	0.25
ˈeː	-	0.25
ʋ	w	0.25
t	t	0.242
ˈaɪ̯	ˈæː	0.222
ˈaɪ̯	ˈei̯	0.222
ˈʊ	ˈyː	0.2
ˈɪɛ̯	ˈæː	0.2
ˈɪɛ̯	ˈe	0.2
ˈa	ˈɒː	0.2
ˈɪ	-	0.19
d	t	0.19
ˈɛ	ˈɒ	0.182
ˈɛ	ˈæ	0.182
ŋ	-	0.167
p	p	0.167
k	k	0.15
ˈaʊ̯	-	0.143
v	-	0.13
ˈuː	ˈøi̯	0.125
x	-	0.125
ˈaɪ̯	ˈai̯	0.111
b	-	0.095
v	ʋ_ˈi	0.087
ˈaʊ̯	ˈœ	0.071
ɐ	ˈiː_ʁ	0.062
n	n_d̥	0.054
