Piedmontese	Latin	probability
b	b	1.0
ə	ɛ	1.0
ʧ	k	1.0
a	ãː	0.651
f	f	0.941
n	n	0.781
u	ɪ	0.111
v	w	0.681
w	-	0.811
ŋ	n	0.591
ɲ	ŋ_n	0.161
ˈe	i	0.111
ˈe	ˈɛ	0.191
ˈɔ	ˈoː	0.141
ˈɛ	ɛ	0.061
e	ɛ	0.382
l	l	0.172
l	lʲː_ʊ̃ː	0.192
n	ŋ	0.062
z	-	0.052
ʤ	ɡ	0.742
ˈi	ˈi	0.082
ˈø	ɔ	0.192
ˈɛ	ˈeː	0.132
ˈɛ	ˈɪ	0.172
ˈɛ	ˈɛ	0.612
l	ɫ_ʊ̃ː	0.083
m	m_ɛ̃ː	0.053
t	t	0.713
z	k	0.143
ŋ	n_ɛ̃ː	0.083
ɡ	k	0.063
ˈu	ˈɔ	0.163
ˈu	ˈu	0.173
ˈu	ˈʊ	0.3
ˈø	ˈoː	0.093
a	a	0.184
j	ˈiː	0.094
r	r_ɛ̃ː	0.064
s	s_k	0.084
t	t_ɛ̃ː	0.134
ˈa	aː	0.054
ˈa	ˈa	0.604
ˈi	ˈɪ	0.144
e	r_ɛ	0.195
e	ɛ_r	0.235
i	iː	0.245
j	l	0.085
j	ɫ	0.15
j	-	0.25
u	<#_h	0.085
u	<#_a	0.15
v	b	0.105
ɲ	n_i	0.255
ˈa	ˈaː	0.295
ˈu	ˈoː	0.365
ˈɔ	ˈau̯	0.15
d	d_ʊ̃ː	0.066
d	t	0.226
j	r_ɛ	0.076
k	kː	0.06
m	ɪ_m	0.076
n	n_ʊ̃ː	0.086
s	t_i	0.076
s	k	0.146
u	oː	0.096
u	ɔ	0.466
z	k_ɛ̃ː	0.376
ɲ	n_e	0.486
ˈi	ˈiː	0.726
i	-	0.067
r	r_ʊ̃ː	0.07
v	p	0.177
ɡ	k_ʊ̃ː	0.37
ʤ	j	0.217
ˈe	r_ɛ	0.37
ˈø	ˈɔ	0.447
d	d	0.708
e	ae̯	0.058
i	ʊ̃ː	0.688
j	ʊ_ɫ	0.158
l	ɫ	0.468
m	m	0.818
n	-	0.058
p	p	0.978
s	t	0.078
t	t_ʊ̃ː	0.118
ŋ	n_ʊ̃ː	0.158
ŋ	ŋ	0.168
ɲ	n	0.098
ˈe	ˈeː	0.148
ˈø	ˈɔ_k	0.268
ˈɔ	ˈɔ	0.678
e	ɛ̃ː	0.129
f	-	0.059
j	lʲ_i	0.139
k	k	0.849
r	r	0.659
s	s	0.519
u	ʊ	0.069
w	ɫ	0.189
z	ɡ	0.19
z	s	0.239
ɡ	ɡʷ	0.059
ɡ	ɡ	0.509
ˈy	ˈuː	0.969
