Aromanian	Portuguese	probability
e̯a	-	1.0
v	v	1.0
z	-	1.0
ç	f	1.0
ŋ	-	1.0
ʧ	-	1.0
b	-	0.1
i	-	0.071
j	v	0.681
k	p	0.131
l	-	0.281
p	j	0.11
p	-	0.111
s	s	0.521
t	ð_u	0.111
ə	u	0.081
ʎ	-	0.451
ʣ	d	0.331
e	j̃	0.152
e̯ˈa	ˈɐ	0.12
e̯ˈa	ˈe	0.732
k	ɣ_u	0.082
l	l	0.642
m	u_#>	0.052
u	-	0.092
ə	ɨ	0.052
ə	-	0.102
ʃ	-	0.332
ʎ	l	0.092
ʣ	-	0.372
ˈe	ˈɐ	0.242
ˈu	ˈi	0.072
ˈu	ˈɔ	0.072
a	ɐ	0.943
d	-	0.443
f	f	0.943
ʃ	s	0.613
ʦ	s	0.23
ʦ	-	0.283
ʦ	z	0.283
ˈa	ˈɐ	0.073
ˈa	ˈɛ	0.13
ˈe	ˈɛ	0.493
ˈi	ˈe	0.083
ˈu	ˈõ	0.053
ˈɨ	ˈɐ̃	0.633
b	v	0.364
n	ɲ_u	0.104
n	n	0.354
o̯ˈa	-	0.054
t	ð	0.344
ə	ɐ	0.694
ɲ	m	0.664
ʃ	ʃ	0.054
ʤ	ʒ	0.784
ˈe	ˈe	0.264
ˈi	ˈɐ	0.204
ˈo	ˈo	0.634
b	b	0.535
k	ɣ	0.215
n	-	0.385
r	ʁ	0.085
u	u	0.875
ɡ	ɣ	0.075
ɡ	-	0.745
i	ɐ	0.166
i	ɨ	0.496
k	-	0.136
l	l_u	0.076
m	m	0.656
o̯ˈa	ˈo	0.166
t	t	0.476
w	j	0.106
w	-	0.536
ɲ	-	0.336
ʤ	-	0.216
ˈo	ˈɔ	0.366
ˈu	ˈo	0.246
a	-	0.057
d	d	0.557
f	-	0.057
i	ˈe	0.097
i	u	0.117
j	ʃ	0.287
k	k	0.437
m	ʃ_#>	0.057
n	j	0.077
ʎ	j_ʎ	0.217
ʣ	ʒ	0.297
ʦ	k	0.077
ʦ	t	0.127
ˈi	-	0.127
ˈɨ	ˈɐ	0.367
e	ɫ	0.848
e̯ˈa	ˈɛ	0.148
m	-	0.168
n	ɲ	0.08
w	v_u	0.358
ɡ	ɡ	0.18
ˈa	ɐ	0.058
ˈi	ˈĩ	0.088
ˈi	ˈi	0.378
o̯ˈa	ˈɔ	0.779
p	β	0.189
p	p	0.59
r	-	0.259
r	ɾ	0.629
s	ʃ	0.479
ʎ	ʎ_u	0.239
ˈa	ˈa	0.669
ˈu	ˈu	0.489
