Insular North Frisian	Ripuarian	probability
ˈɛː	ˈɛː	1.0
ˈøː	-	1.0
ˈuː_ɐ	ˈoː	1.0
ˈuː	-	1.0
ˈaː	ˈɛ	1.0
ˈaʊ̯	-	1.0
ʃ	z	1.0
ʁ̥_t	d̥	1.0
ɣ̥	ɣ̊	1.0
ɡ	j	1.0
ə_l	ɫ	1.0
ð	d	1.0
v_ˈeː	ʋ	1.0
tʲ	d	1.0
s_k	ʃ	1.0
r_ə	ʀ	1.0
n_ˈøː	n	1.0
m	m	1.0
lʲ	ɫ_d̥	1.0
kʰ	k	1.0
j	j	1.0
h	h	1.0
e	ɫ	1.0
d_aɪ̯	e	1.0
b	b	1.0
r	ʀ	0.916
v	ʋ	0.892
ŋ	ŋ	0.825
d	d	0.808
x	x	0.791
n	n	0.766
f	f	0.753
ɐ	ɐ	0.744
p	p	0.699
ʁ̥	ʀ	0.681
ˈua̯	ˈuː	0.633
ɪ	ə	0.629
ə	ə	0.612
ç	ɕ	0.588
tʰ	d	0.582
l	l	0.572
ˈyː	-	0.559
t	s	0.532
s	z	0.514
ˈaɪ̯	-	0.513
nʲ	ŋ_ə	0.5
nʲ	ŋ	0.5
ˈɔː	ˈa	0.491
ˈaɪ̯	ˈɛː	0.487
ɾ	d̥	0.481
ˈœ	-	0.465
ˈoː	ˈoː	0.459
ˈyː	ˈyː	0.441
ˈiː	ˈeː	0.437
ˈa	ˈa	0.429
tʰ	ʦ	0.418
ˈoː	-	0.397
k	ɕ	0.39
ə	-	0.388
ˈɔ	ˈo	0.371
ɪ	ɪ	0.371
l	ɫ	0.363
s	ʃ	0.356
ˈʏ	-	0.342
k	k	0.335
ˈʊ	ˈo	0.331
ˈeː	-	0.331
ʁ̥	-	0.319
ˈɔ	-	0.315
ɾ	ɡ̊	0.315
ˈʏ	ˈuː	0.311
t	t	0.311
ˈɔː	ˈaː	0.309
p	f_ə	0.301
ˈa	ˈɛ	0.3
ˈə	ˈe	0.286
ˈua̯	-	0.282
ˈa	ˈaː	0.271
ˈʏ	ˈo	0.257
ɐ	-	0.256
ˈə	ˈɪ	0.255
ˈʊ	-	0.226
ˈɛ	ˈɛ	0.22
f	v̥	0.219
ˈə	-	0.218
ˈeː	ˈeː	0.216
x	-	0.209
ˈeː	ˈe	0.205
ɾ	d_ə	0.204
ˈɔː	-	0.2
ˈʊ	ˈe	0.195
ˈœ	ˈoː	0.193
ˈœ	ˈo	0.193
d	s	0.192
ˈɛ	ˈœ	0.181
ç	-	0.18
n	ŋ	0.18
ŋ	-	0.175
ˈɛ	ˈeː	0.171
ˈʊ	ˈa	0.165
k	x	0.165
ˈɛ	ˈe	0.158
ˈɔ	ˈɔ	0.157
ˈɔ	ˈoː	0.157
ç	k	0.157
ˈœ	ˈa	0.15
ˈeː	ˈoː	0.15
ˈoː	ˈɔʊ̯	0.144
ˈə	ˈiː	0.143
s	-	0.13
ˈiː	-	0.119
ˈiː	ˈɛː	0.118
k	k_ə	0.11
v	v	0.108
ˈeː	ˈɛ	0.099
t	ʦ	0.099
ˈə	ˈœ	0.098
ˈʏ	ˈyː	0.09
ˈɛ	ˈøː	0.09
ˈiː	ˈeɪ̯	0.089
ˈua̯	ˈy	0.085
ˈiː	ˈiː	0.084
r	ʀ_ˈøː	0.084
ˈʊ	ˈoː	0.083
ˈɛ	ˈɪ	0.083
ˈiː	ˈɔː	0.082
ç	ɣ	0.076
ˈɛ	-	0.059
t	d̥	0.058
n	-	0.054
