Ladin	Ladin	probability
ˈɛ_v	β	1.0
ˈɛ_n	ˈe_n	1.0
ˈɛ_k	ˈe_u	1.0
ˈɔ_n	ˈo_n	1.0
ˈu	ˈu	1.0
ˈo_w	ˈo	1.0
ʨ_ˈɛ	k_ˈa	1.0
ʨ	k	1.0
ʧ	θ	1.0
ʥ	-	1.0
ʒ_ɡ	b	1.0
ʃ_#>	θ_#>	1.0
ɲ	ɲ	1.0
ɡ	ɣ	1.0
ŋ	ŋ	1.0
z	s	1.0
w_r	ɾ	1.0
s_ˈe	s_ˈe	1.0
s_#>	s_#>	1.0
s	s	1.0
r_t	ɾ_t	1.0
r_n	ɾ_n	1.0
p_l	ʎ	1.0
p	p	1.0
n_a	a	1.0
n_#>	ŋ_#>	1.0
m	m	1.0
l_ˈe	ʎ_ˈe	1.0
k_l	ʎ	1.0
j_ˈɛ	j_ˈo	1.0
j_#>	s_#>	1.0
f_#>	β_u_#>	1.0
e_#>	#>	1.0
a_m	a_m	1.0
<#_ˈa	<#	1.0
<#_ʨ	<#_θ	1.0
<#_ɡ	<#_ɡ	1.0
<#_w	<#_ɡ_w	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
a	a	0.937
n	n	0.931
ˈi	ˈi	0.909
ˈa	ˈa	0.889
<#_d	<#_d	0.857
f	f	0.85
b	b	0.846
ˈe_#>	ˈa_ɾ_#>	0.818
ˈo	ˈo	0.769
ˈe_j	ˈe	0.75
k	k	0.731
r	ɾ	0.692
v	b	0.684
l	ʎ	0.667
t	t	0.658
ʃ	e_s	0.636
o	o	0.636
ˈɔ	w_ˈe	0.632
ˈe	ˈe	0.632
i	-	0.6
e_r	ɾ_u	0.6
<#	<#_e	0.6
#>	u_#>	0.597
l_#>	l_#>	0.571
ʒ	ʃ	0.545
d	ð	0.533
ˈɛ	j_ˈe	0.452
w	w	0.45
l_#>	u_#>	0.429
i	i	0.4
e_r	ɾ_e	0.4
e	e	0.4
<#	<#_ɡ	0.4
o	-	0.364
ˈɛ	ˈe	0.333
l	l	0.333
v	β	0.316
ʒ	θ	0.273
d	ʝ	0.267
ˈe_j	ˈe_ɾ	0.25
#>	e_#>	0.247
ˈɔ	ˈo	0.211
ˈe	-	0.211
j	ˈe	0.211
j	j	0.211
w	ˈo	0.2
e	ˈe_ɾ	0.2
e	ɾ	0.2
d	-	0.2
ˈe_#>	#>	0.182
ʒ	-	0.182
ʃ	θ	0.182
ʃ	s	0.182
ˈɛ	ˈa	0.167
ˈɔ	-	0.158
ˈe	ˈi	0.158
j	ʝ	0.158
j	e	0.158
j	-	0.158
b	β	0.154
w	l	0.15
f	β	0.15
<#_d	<#	0.143
t	-	0.132
r	ɾ_u	0.128
e	-	0.12
ˈo	ˈu	0.115
ˈo	-	0.115
k	ɡ	0.115
t	ð	0.105
j	e_ʝ	0.105
w	ɾ	0.1
w	-	0.1
ˈi	-	0.091
e	ˈe	0.08
#>	a_#>	0.078
r	r	0.077
k	ɣ_u	0.077
k	k_w	0.077
n	ɲ	0.069
ˈa	ˈe	0.056
ˈa	a	0.056
t	ʧ_e	0.053
t	ʧ	0.053
r	o	0.051
r	-	0.051
