Gan	Gan	probability
⁴²	⁵⁵	1.0
ʨʰ_ɥ	ʧʰ	1.0
ʦ	ʦ	1.0
ʔ	k̚	1.0
ɵ_n	n	1.0
ɥ_ɵ	yː	1.0
ɛ_t̚	k̚	1.0
ɕ_ɥ	ʃ	1.0
ɕ	s	1.0
ŋ̍	ŋ̍	1.0
ŋ	ŋ	1.0
¹¹	²²	1.0
²⁴	²¹	1.0
²	²	1.0
z̩	iː	1.0
w_a	aː	1.0
t	t	1.0
s	s	1.0
pʰ	pʰ	1.0
p	p	1.0
o	ɔː	1.0
m	m	1.0
i_n	ɪ_ŋ	1.0
h	h	1.0
a_j	ɔː_j	1.0
<#_ɵ	<#_j_iː	1.0
<#_ŋ	<#	1.0
<#_u	<#_m_ɐ	1.0
<#_i	<#_j_ɐ	1.0
w	w	0.909
³⁵	²¹	0.88
t̚	t̚	0.833
f	f	0.818
k	k	0.8
n	n	0.786
l	l	0.778
ʨ	k	0.714
j	-	0.68
ɵ	yː	0.667
ɔ	ɔː	0.667
tʰ	tʰ	0.667
kʰ	h	0.667
<#	<#_h	0.667
a	aː	0.625
ʦʰ	ʦʰ	0.6
y	ɵ_ɥ	0.6
u	ʊ	0.579
ɛ	iː	0.562
²¹³	³⁵	0.528
ɨ	ɐ	0.5
i	ɐ	0.5
ɛ	ɐ	0.438
ʨʰ	-	0.429
nʲ	j	0.429
ʦʰ	ʧʰ	0.4
y	yː	0.4
⁵	³	0.381
⁵	⁵	0.333
ɵ	ɔː	0.333
ɔ	œː	0.333
tʰ	t	0.333
kʰ	f	0.333
<#	<#_j	0.333
j	j	0.32
²¹³	¹³	0.306
⁵	²	0.286
ʨʰ	ʦʰ	0.286
ʨʰ	kʰ	0.286
ʨ	-	0.286
nʲ	n	0.286
nʲ	-	0.286
i	e_j	0.286
ɨ	uː	0.25
ɨ	-	0.25
l	n	0.222
n	m	0.214
i	ɐ_j	0.214
a	ɛː	0.208
k	kʷ	0.2
f	-	0.182
²¹³	³³	0.167
t̚	k̚	0.167
a	o	0.167
³⁵	³³	0.12
u	ɵ	0.105
u	uː	0.105
u	u	0.105
u	o	0.105
w	ɔː	0.091
