Corsican	Piedmontese	probability
a	a	0.852
a	-	0.091
b	b	0.895
b	-	0.099
c	ʧ	0.631
c	j	0.172
c	s	0.117
c_u	j	1.0
d	d	0.7
d	-	0.263
e	-	0.461
e	e	0.407
f	f	1.0
i	-	0.379
i	i	0.288
i	e	0.108
i	j	0.082
i	ˈə	0.07
i	a	0.069
j	j	0.862
j	-	0.1
k	k	0.842
k	-	0.156
k_u	ɡ	1.0
l	l	0.71
l	-	0.221
l_a	a	1.0
l_e	l	1.0
l_u	j	0.515
m	m	0.937
m_e	m	1.0
n	n	0.556
n	ŋ	0.337
n	-	0.084
n_e	ŋ	1.0
n_u	ŋ	1.0
o	u	0.583
o	-	0.398
p	p	0.847
p	v	0.15
p_e	v	1.0
r	r	0.886
r	-	0.074
s	s	0.849
s	-	0.124
t	t	0.569
t	-	0.319
t	d	0.059
t_e	t	1.0
t_u	t	1.0
u	-	0.733
u	u	0.117
v	v	0.963
w	-	0.5
w	w	0.5
w_a	a	1.0
z	z	0.201
z	-	0.104
z_u	s	1.0
ŋ	ŋ	0.644
ŋ	n	0.249
ŋ	-	0.09
ɟ	ʤ	0.676
ɟ	z	0.243
ɟ	-	0.055
ɡ	ɡ	1.0
ɲ	ɲ	1.0
ʃ	s	0.743
ʃ	-	0.201
ʎ	j	1.0
ʒ	z	0.784
ʒ	s	0.137
ʤ	z	0.252
ʤ	ʤ	0.252
ʤ	v	0.171
ʦ	s	0.619
ʦ	-	0.377
ʧ	s	0.592
ʧ	-	0.237
ʧ	z	0.101
ʧ	ʧ	0.067
ʧ_e	s	1.0
ˈa	ˈa	0.783
ˈa	ˈe	0.192
ˈa_k	ˈe	1.0
ˈe	ˈɛ	0.568
ˈe	ˈe	0.324
ˈe	ˈa	0.055
ˈe_t	ˈɛ	1.0
ˈi	ˈi	0.901
ˈi	ˈɛ	0.055
ˈi	j	0.05
ˈi_k	ˈi	0.137
ˈi_l	ˈi	0.515
ˈo	ˈu	0.45
ˈo	ˈɔ	0.265
ˈo	ˈø	0.228
ˈu	ˈy	0.743
ˈu	ˈu	0.112
ˈu	ˈi	0.103
ˈɔ	ˈɔ	0.378
ˈɔ	ˈu	0.343
ˈɔ	ˈø	0.275
ˈɔ_k	ˈø	1.0
ˈɛ	ˈɛ	0.495
ˈɛ	ˈe	0.251
ˈɛ	ˈi	0.067
ˈɛ	-	0.057
