Upper Franconian	Upper Franconian	probability
β	v	1.0
ˈɛː	-	1.0
ˈɒː	ˈɛːa̯	1.0
ˈiː_ç	ˈeː	1.0
ˈeː	-	1.0
ˈa	k_ˈa	1.0
ʃ_d̥	s_t	1.0
ɾ	w	1.0
ɪ	a_ŋ	1.0
ɡ̊_r	ɡ̊_ɹ	1.0
ɐ_n	t͡n̥	1.0
ç_d̥	ʰt_ʊ	1.0
z̥_ɐ	ʰt͡n̥	1.0
z̥_n	t_a	1.0
z̥	ʰt	1.0
x_d̥	ʰt	1.0
v̥	-	1.0
t	t_j	1.0
s_#>	#>	1.0
r	ɹ	1.0
n_s	sː	1.0
n_#>	#>	1.0
eː	a_n	1.0
d̥_r	d̥_ɹ	1.0
d̥_n	j_a	1.0
b̥_r	b̥_ɹ	1.0
<#_ˈɒ	<#	1.0
<#_ɡ̊	<#_ɡ̊	1.0
<#_v	<#	1.0
<#_r	<#_ɹ	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_j	<#	1.0
<#_d̥	<#_d̥	1.0
m	m	0.926
v	v	0.909
h	h	0.909
ˈaʊ̯	ˈʉːu̯	0.778
ˈaɪ̯	ˈʊ̯iː	0.778
f	f	0.741
b̥	b̥	0.733
a	a	0.733
d̥_#>	#>	0.727
s	s	0.706
l	l	0.69
x	-	0.667
ç	ɡ̊_ʊ	0.6
ˈɪ	ˈɪ	0.591
ˈʊ	ˈʊ	0.562
ɐ	ɹ	0.524
ˈɒ	ˈa	0.5
ʃ	s	0.474
ŋ	ŋ	0.467
ʦ	tʰ	0.455
d̥	d̥	0.44
n	n	0.419
ˈuː	ˈɔːu̯	0.417
ˈuː	-	0.417
ɡ̊	kʰ	0.412
ɡ̊	-	0.412
#>	ʊ_ɹ_#>	0.404
ˈɔ	-	0.4
ç	k_ʊ	0.4
#>	ɹ_#>	0.393
ˈoː	ˈɔ̯aː	0.368
ʃ	ʃ	0.368
ʦ	-	0.364
d̥	tʰ	0.36
ˈaː	ˈai̯	0.35
ŋ	a	0.333
x	k_ʊ	0.333
ˈɒ	ˈɔ	0.318
ˈɛ	-	0.286
n	a	0.279
d̥_#>	ʊ_ɹ_#>	0.273
ˈɔ	ˈʊ	0.267
b̥	v_ʊ	0.267
ˈoː	ˈɛːa̯	0.263
ˈoː	-	0.263
ˈʊ	-	0.25
ˈaː	ˈɛːi̯	0.25
ˈɪ	-	0.227
ˈaʊ̯	ˈɪ_ɡ̊	0.222
ˈɔ	ˈɔ	0.2
ˈaː	ˈaːi̯	0.2
ˈaː	-	0.2
ŋ	ɡ̊	0.2
ˈɛ	ˈɛ	0.19
ˈʊ	ˈɔ	0.188
ˈɪ	ˈiː	0.182
ˈɒ	-	0.182
ʦ	ʈ	0.182
s	t_ʊ	0.176
l	t͡l̥	0.172
ˈuː	ˈɛːi̯	0.167
ɐ	ɪ_ɹ	0.167
n	nː	0.163
ˈiː	ˈʉːu̯	0.158
ˈiː	ˈɪ	0.158
ˈiː	ˈɛːa̯	0.158
ˈiː	ˈɔːu̯	0.158
ˈiː	ˈøː	0.158
ʃ	s_k	0.158
f	p	0.148
ˈɛ	ˈœ	0.143
ˈɛ	ˈøː	0.143
ˈɛ	ˈeː	0.143
ɐ	ʊ	0.143
l	l̥	0.138
ˈɔ	ˈœ	0.133
a	ɡ̊_a	0.133
a	-	0.133
#>	a_#>	0.124
d̥	t	0.12
ɡ̊	k	0.118
ˈaɪ̯	ˈʊ_ʤ̊ː	0.111
ˈaɪ̯	ˈa	0.111
f	ʰp	0.111
ˈoː	ˈa	0.105
ˈiː	ˈʊ̯iː	0.105
ˈiː	-	0.105
ˈɛ	ˈɔ	0.095
n	-	0.093
v	-	0.091
h	-	0.091
d̥	j_ʊ	0.08
#>	ɪ_#>	0.079
m	v_a	0.074
ɐ	ɹ_ʊ	0.071
ɡ̊	ʰʧ	0.059
s	ʃ	0.059
s	t	0.059
