Romansch	Brazilian Portuguese	probability
a	a	0.608
a	ɐ	0.37
b	b	0.846
b	v	0.084
b	k	0.068
d	d	0.836
d	z	0.074
e	i	1.0
eː	ˈe	0.485
f	f	0.687
f	v_i	0.112
f	v_u	0.088
f	-	0.051
f	ʃ	0.051
i	e	0.45
i	i	0.267
i	u	0.171
j	ˈe	0.381
j	-	0.282
j	ˈẽ	0.085
j	j	0.07
j	ˈɛ	0.066
j_ˈɛ	ˈo	0.66
j_ˈɛ	ˈĩ	0.322
k	k	0.768
k	ɡ_u	0.102
k	ʃ	0.089
l	l	0.519
l	-	0.212
l	w	0.176
l_ˈa	ˈa	1.0
m	m	0.737
m	m_i	0.117
n	n	0.392
n	-	0.336
n	j̃	0.152
n	w̃	0.061
n_t	t	1.0
n_ˈa	n	1.0
o	o	0.784
o	-	0.122
p	p	0.892
p	p_u	0.068
p_l	ʃ	0.485
r	h	0.488
r	ɾ	0.257
r	ɦ	0.1
r	ɾ_u	0.091
r	-	0.056
r_s	s	0.485
r_ˈa	ɾ	1.0
s	s	0.48
s	ʃ	0.35
s	s_u	0.088
t	t	0.473
t	t_u	0.12
t	ʤ_i	0.116
t	d_u	0.1
t	ʧ_i	0.095
u	o	0.458
u	-	0.12
u	a	0.12
u	õ	0.12
u	w	0.086
u	ˈɔ	0.065
v	v	0.807
v	b	0.152
w	w	0.325
w	-	0.261
w	w̃	0.182
w	ɡ_u	0.104
w	j	0.067
z	z	0.367
z	t	0.086
ŋ	-	0.25
ŋ	ĩ	0.25
ŋ	ɡ	0.25
ŋ	ʒ	0.25
ə	ɐ	0.549
ə	-	0.142
ə	a	0.089
ə	e	0.055
ə_n	u	0.485
ə_ʥ	a	1.0
ɡ	ɡ	0.682
ɡ	-	0.318
ɲ	j̃	0.496
ɲ	j̃_u	0.408
ɲ	-	0.073
ʃ	ʃ	0.374
ʃ	e_ʃ	0.188
ʃ	ʒ	0.139
ʃ	s	0.106
ʃ	-	0.085
ʃ	z	0.059
ʎ	ʎ_u	0.449
ʎ	ʎ	0.347
ʎ	l	0.146
ʎ	-	0.051
ʒ	v	1.0
ʥ	ʒ	0.32
ʥ	-	0.251
ʥ	ɡ	0.2
ʥ	b	0.106
ʦ	s_u	0.306
ʦ	-	0.202
ʦ	t	0.202
ʦ	j	0.129
ʦ	t_u	0.086
ʧ	s	0.798
ʧ	s_u	0.116
ʧ	k	0.08
ʨ	k	0.671
ʨ	t_u	0.136
ʨ	k_u	0.074
ʨ	ʧ_i	0.061
ˈa	ˈa	0.367
ˈa	ˈɐ̃	0.258
ˈa	-	0.206
ˈa	ˈo	0.09
ˈa_n	ˈẽ	0.66
ˈa_n	ˈɐ̃	0.155
ˈaː	ˈa	0.909
ˈaː	a	0.091
ˈe	ˈe	0.525
ˈe	ˈẽ	0.103
ˈe	ˈa	0.078
ˈe	ˈo	0.078
ˈe	ˈɛ	0.063
ˈe	-	0.051
ˈe	ˈɔ	0.05
ˈeː	ˈɛ	0.461
ˈeː	ˈe	0.265
ˈeː	ˈi	0.265
ˈi	ˈi	0.268
ˈi	ˈu	0.199
ˈi	ˈĩ	0.178
ˈi	ˈɛ	0.09
ˈi	ˈẽ	0.083
ˈiː	ˈe	0.223
ˈiː	ˈi	0.223
ˈiː	ˈu	0.223
ˈo	ˈo	0.66
ˈo	ˈu	0.155
ˈoː	ˈɔ	0.485
ˈu	ˈo	0.318
ˈu	ˈu	0.163
ˈu	ˈɔ_j	0.13
ˈu	ˈõ	0.082
ˈu	ˈũ	0.082
ˈu	ˈɔ	0.062
ˈu	ˈɐ̃	0.061
ˈu_n	ˈõ	0.711
ˈu_n	ˈo	0.283
ˈuɔ̯	ˈõ	0.235
ˈuː	ˈo	1.0
ˈɔ	ˈo	0.403
ˈɔ	ˈɔ	0.3
ˈɔ	o	0.056
ˈɔ	ˈɐ̃	0.056
ˈɔ	ˈo_j	0.054
ˈɔ_n	ˈɐ̃	1.0
ˈɔː	ˈo	0.505
ˈɔː	ˈɔ	0.201
ˈɔː	ˈɐ̃	0.122
ˈɛ	ˈɛ	0.467
ˈɛ	ˈe	0.31
ˈɛ	ˈo	0.091
ˈɛ	ˈẽ	0.079
ˈɛ_n	ˈẽ	0.626
ˈɛ_n	ˈĩ	0.282
ˈɛ_n	ˈɐ̃	0.058
ˈɛː	ˈɛ	1.0
