Slovenian	Russian	probability
á	ˈa	1.0
e	ˈe	1.0
íː	ˈi	1.0
o	ˈo	1.0
òː	ˈo	1.0
x	x	1.0
ɔ̀ː	ɐ	1.0
ɔ́	ˈo	1.0
ɔ́ː	ˈo	1.0
ɛ̀ː	ɪ	1.0
ɛ́	ˈe	1.0
ʒ	ʐ	1.0
ʦ	ʦ	1.0
ʧ	ʨ	1.0
b	bʲ	0.661
d	d	0.41
m	m	0.441
r	rʲ	0.361
t	tʲ	0.471
z	zʲ	0.381
ə	ɪ	0.371
áː	ˈo	0.442
ìː	ˈɨ	0.502
p	pʲ	0.582
ɔ	ˈo	0.422
ə	-	0.462
ʃ	ʂ	0.742
ʋ	v	0.312
a	ə	0.33
àː	ɐ	0.083
àː	ˈo	0.143
àː	ˈa	0.773
k	k	0.973
l	ɫ	0.303
r	ɐ_r	0.093
ə́	ˈɵ	0.633
ɡ	j_#>	0.093
ʋ	-	0.083
ʋ	vʲ	0.593
èː	ɪ	0.474
éː	ɪ	0.4
i	ˈɨ	0.344
j	j	0.384
n	n_ɨ	0.214
óː	ə	0.374
w	ɫ	0.524
ə̀	-	0.334
ɛ	ɪ	0.624
r	r	0.545
s	sʲ	0.345
s	s	0.655
èː	ˈe	0.526
i	ˈi	0.656
j	-	0.616
l	ɐ_ɫ	0.06
l	ə_ɫ	0.076
l	lʲ	0.56
ə	ˈo	0.06
ə̀	ˈɵ	0.666
ɛ	ˈe	0.376
a	ˈa	0.67
éː	ˈe	0.477
n	n	0.377
óː	ˈo	0.567
w	lʲ	0.067
ə	ˈe	0.107
ə́	ˈe	0.367
áː	ə	0.558
ìː	ˈi	0.498
n	nʲ	0.408
p	p	0.418
ɔ	ə	0.578
ɡ	ɡ_ˈo	0.098
ʃ	ʨ_ɪ	0.258
b	b	0.339
d	dʲ	0.59
éː	ˈɛ	0.089
m	mʲ	0.559
óː	ˈu	0.059
t	t	0.529
w	ɫ_ɨ	0.409
z	z	0.619
ɡ	ɡ	0.809
