Northern Low Saxon	Saterland Frisian	probability
ˈʏ_n	n	1.0
ˈɛː	ˈi	1.0
ˈɛɪ̯	ˈiː	1.0
ˈɔː	ˈʊ_r	1.0
ˈœː	ˈɔ	1.0
ˈyː	j_ˈuː	1.0
ˈuː_d	d	1.0
ˈoː_ɐ	ˈiː_r	1.0
ˈeɪ̯	-	1.0
ˈaː_f	ˈoː_l	1.0
ˈaʊ̯_ɐ	ˈoːu̯	1.0
ˈaʊ̯_d	ˈuː	1.0
ʒ	j	1.0
ɪ	ɪ	1.0
ə	ˈoːu̯	1.0
z̥	z_ə	1.0
t	t	1.0
r	r	1.0
p	p	1.0
l_ˈoː	l_ˈoː	1.0
l_d	l_d	1.0
l	l	1.0
kʰ	s	1.0
k	k	1.0
i	ɪ	1.0
h	h	1.0
d_r	d_r	1.0
d_n	t_ə	1.0
b_m	p_ə	1.0
b	b	1.0
aɪ̯	i	1.0
v	v	0.934
f	f	0.927
ˈuː	ˈuː	0.92
m	m	0.918
z	s	0.917
ŋ	ŋ	0.804
ç	ɣ̥	0.768
x	x	0.714
ˈʏ	ˈɛː	0.702
n	n	0.695
ˈiː	ˈi	0.693
ˈʊ	ˈʊ	0.642
ˈɛ	-	0.627
ˈøː	ˈuː	0.573
ˈaʊ̯	ˈoː	0.56
ˈɪ	ˈɪ	0.554
ɡ	ɣ	0.553
ˈaː	ˈiː_r	0.549
ˈɔʏ̯	ˈɛɪ̯	0.512
ʃ	s_k	0.505
s	s	0.505
ˈœ	ˈɛ	0.5
ˈœ	-	0.5
ʃ	s	0.495
ˈaɪ̯	j_ˈoː	0.491
ˈaː	ˈɛː_r	0.451
d	d	0.448
ˈaʊ̯	ˈoːu̯	0.44
ɐ	r	0.428
ˈøː	ˈoː	0.427
d	t	0.413
ˈɛ	ˈɔː	0.373
ˈeː	-	0.364
ɡ	k_ə	0.353
ˈɔʏ̯	ˈeː	0.351
ˈɔ	ˈɔː	0.333
ˈɔ	ˈɔ	0.333
ˈɔ	-	0.333
ˈaɪ̯	ˈeː	0.329
s	s_t	0.308
ˈʏ	ˈʊ	0.298
ˈoː	ˈɔː	0.298
x	ɣ̥	0.286
ɐ	ə_r	0.276
ˈʊ	ˈuː	0.264
ˈeː	ˈeː	0.258
ˈa	ˈoːu̯	0.254
ˈɪ	ˈiː	0.249
ɐ	d_ə	0.232
ç	x_t	0.232
ˈeː	ˈeːu̯	0.206
ˈa	ˈɔː	0.197
ŋ	ə	0.196
s	k_s	0.187
ˈiː	ˈiː_w	0.18
ˈoː	ˈɛɪ̯	0.176
ˈeː	ˈiː	0.172
ˈa	ˈaː	0.172
ˈoː	ˈoːu̯	0.165
ˈoː	ˈoː	0.165
ˈa	ˈɔ	0.159
ˈɔʏ̯	ˈœː	0.137
n	ə	0.137
ˈiː	ˈiː	0.127
ˈoː	ˈuː	0.122
ˈaɪ̯	ˈɛɪ̯	0.109
ˈa	ˈa	0.097
ˈʊ	ˈoːu̯	0.094
ɡ	k	0.094
ˈɪ	j_ˈʊ	0.093
z	z_ə	0.083
m	ə	0.082
ˈuː	ˈøː	0.08
ˈoː	-	0.074
f	-	0.073
ˈaɪ̯	ˈoː	0.071
v	-	0.066
ɐ	-	0.064
ˈa	ˈɛː	0.063
ˈa	-	0.058
n	n_ə	0.054
ˈɪ	-	0.053
ˈɪ	ˈi	0.051
