Luxembourgish	Luxembourgish	probability
χ	x	1.0
ˈʊ	ˈuː	1.0
ˈɛː	ˈɛ	1.0
ˈɛ	ˈɛ	1.0
ˈə_n	n	1.0
ˈɔ	ˈu	1.0
ˈɑʊ̯	ˈau̯	1.0
ˈæːɪ̯	ˈaɪ̯	1.0
ˈæ	ˈɛ	1.0
ˈiː_ɕ	ʃ	1.0
ˈiə̯	ˈɛ	1.0
ˈeː_ɕ	ˈeː_ʃ	1.0
ˈe_ŋ	ˈĩː	1.0
ʦ	ʣ̥	1.0
ʑ	-	1.0
ʃ	ʃ	1.0
ʀ_#>	ɐ_n_#>	1.0
ʀ	r	1.0
ɡ	ɡ̊	1.0
ə_ɕ	ɪ_ʃ	1.0
ə_n	ə	1.0
ɐ	ɐ	1.0
z̥	s	1.0
z	s	1.0
w	β	1.0
v̥	b̥	1.0
v	β	1.0
tʰ	-	1.0
t_ɐ	d̥_ɐ	1.0
t	d̥	1.0
s	s	1.0
pʰ	pʰ	1.0
p	b̥	1.0
n_ʃ	n_ʃ	1.0
n_#>	#>	1.0
m	m	1.0
kʰ	kʰ	1.0
k	ɡ̊	1.0
h	h	1.0
f	f	1.0
e_ŋ	eː	1.0
d̥	d̥	1.0
d_ɐ	r_ɐ	1.0
b	b̥	1.0
<#_n	<#_n	1.0
<#	<#_ˈoː	1.0
d	d̥	0.938
l	l	0.909
n	n	0.875
ə	-	0.842
ˈæːʊ̯	ˈau̯	0.833
ˈəʊ̯	ˈoː	0.8
ˈɑɪ̯	ˈaɪ̯	0.778
ˈe	ˈɪ	0.778
ŋ	ŋ	0.769
ˈə	ˈɪ	0.765
ˈeː	ˈɛː	0.75
ɕ	ʃ	0.692
ˈo	ˈɔ	0.625
ˈuː	ˈɔ	0.6
ˈɑ	ˈɑ	0.5
ˈuə̯	ˈɑː	0.5
ˈuə̯	ˈɑ	0.5
ˈoː	ˈoː	0.5
ˈiː	ˈɛ	0.5
ˈɜɪ̯	ˈiː	0.478
ˈaː	ˈɑ	0.441
ˈɑ	ˈɪ	0.417
ˈaː	ˈɑː	0.412
ˈuː	-	0.4
ˈu	ˈuː	0.4
ˈoː	-	0.4
ˈo	ˈu	0.375
ˈi	ˈiː	0.375
ˈi	-	0.375
ɕ	x	0.308
ˈɜɪ̯	ˈeː	0.304
ˈiː	-	0.3
ˈi	ˈɪ	0.25
ˈə	ˈɛ	0.235
ŋ	-	0.231
ˈɑɪ̯	-	0.222
ˈe	-	0.222
ˈəʊ̯	-	0.2
ˈu	ˈu	0.2
ˈu	ˈoː	0.2
ˈu	-	0.2
ˈiː	ˈeː	0.2
ˈeː	-	0.188
ˈɜɪ̯	-	0.174
ˈæːʊ̯	ˈau̯̯	0.167
ə	j	0.158
ˈoː	ˈo	0.1
ˈaː	ˈɔ	0.088
ˈɑ	-	0.083
n	ə	0.075
ˈeː	ˈɑːɪ̯	0.062
d	r	0.062
ˈaː	ˈɑː_ɐ	0.059
l	l_d̥	0.055
