Auvergnat	Corsican	probability
ˈɪ̃	ˈɛ	1.0
ˈɔ̃	n	1.0
ˈɔ_ʀ	r_t	1.0
ˈɔ_w	v_u	1.0
ˈɔ_s	sː	1.0
ˈɔ_m	m	1.0
ˈɔ	ˈɔ	1.0
ˈỹ	ˈu	1.0
ˈy	ˈu	1.0
ˈĩ	ˈi	1.0
ˈi	ˈi	1.0
ˈẽ	ˈɛ	1.0
ˈe_ʀ	ˈɛ_rː	1.0
ˈã	ˈa	1.0
ˈa_l	ˈe_l	1.0
ʒ	ʧ	1.0
ʃ	ʧ	1.0
ɲ	ɲ	1.0
ɡʲ	ˈa_k	1.0
œ	o	1.0
y	j_u	1.0
w_ˈɔ̃	ˈo	1.0
w_ˈɔ	ˈɔ	1.0
w_ˈẽ	ˈu	1.0
vʲ	v	1.0
v	v	1.0
ũ	u	1.0
u_ʀ	ˈɔ_r	1.0
p	p	1.0
n_ˈe	n_ˈɛ	1.0
n	n	1.0
mʲ	m	1.0
lː	z	1.0
j_s	ʃː	1.0
ĩ	i	1.0
i	i	1.0
fʲ	f	1.0
e	e	1.0
dʲ	d	1.0
d_ɔ	t_a	1.0
ã	a	1.0
a	a	1.0
m	m	0.963
f	f	0.95
k	k	0.943
ʀ	r	0.941
ɔ	a	0.926
ˈa	ˈa	0.822
ɒ	a	0.762
d	t	0.76
ˈɪ	ˈɛ	0.737
ɪ	s	0.714
j	-	0.688
ɡ	ɡ	0.662
b	b	0.616
ʤ	ɟ	0.61
ʧ	k	0.608
ˈu	ˈɔ	0.59
z	d	0.58
ˈœ	ˈɔ	0.568
ˈe_j	ˈa_t	0.55
ˈũ	ˈo	0.539
ʀ_ə	r_u	0.53
ˈa_w	ˈa_l	0.515
t	t	0.491
l	lː	0.488
ˈe	ˈe	0.486
ˈa_w	ˈo	0.485
s	s	0.469
ŋ	n	0.467
ˈũ	-	0.461
w	ˈɔ	0.46
ˈe_j	ˈa	0.45
ˈœ	ˈo	0.432
ʎ	c	0.431
z	ʧ	0.42
ʎ	ʎ	0.4
ʤ	-	0.39
u	ˈo	0.366
u	u	0.366
s	ʧ	0.361
ɡ	-	0.338
ʀ_ə	e	0.328
t	tː	0.326
ə	e	0.291
ɪ	ʃ	0.286
ˈe	ˈɛ	0.285
ə	u	0.279
u	o	0.268
l	j	0.268
b	p	0.265
ə	i	0.255
l	l	0.244
d	d	0.24
ɒ	i	0.238
ŋ	n_t	0.229
w	v_e	0.227
ˈe	ˈa	0.191
ˈu	ˈo	0.184
ʧ	t	0.184
t	s_t	0.183
ŋ	ŋ	0.179
w	j	0.172
ʎ	u	0.169
ˈɪ	ˈe	0.145
ʀ_ə	r	0.142
ˈɪ	-	0.118
b	bː	0.118
ə	ˈɛ	0.114
ˈu	ˈu	0.107
w	-	0.096
ʧ	kː	0.083
s	-	0.082
j	tː_u	0.079
j	tː_e	0.079
j	j	0.079
ˈa	ˈa_r	0.074
ɔ	u	0.074
ŋ	-	0.072
ʧ	-	0.064
ʧ	s_k	0.061
ə	r_u	0.061
ˈa	ˈɔ	0.06
ˈu	ˈu_tː	0.059
ˈu	ˈo_r	0.059
ʀ	-	0.059
s	ʦː	0.058
k	u	0.057
ŋ	u	0.052
