Ladin	Ladin	probability
ˈɛ_ʃ	w	1.0
ˈɛ_r	ˈɛ_r	1.0
ˈɛ_l	ˈe_ʎ	1.0
ˈɛ_k_#>	k_#>	1.0
ˈɛ_f	w	1.0
ˈu	ˈu	1.0
ˈi_n_#>	ˈi_#>	1.0
ˈi	ˈi	1.0
ˈe_#>	ˈa_#>	1.0
ˈa_n_#>	ˈa_#>	1.0
ʨ_ˈɛ	k_ˈa	1.0
ʧ	s	1.0
ʥ	ʒ	1.0
ʒ_ɡ	b	1.0
ʃ_e	ʃ_ə	1.0
ʃ	s	1.0
ɲ	ɲ	1.0
ŋ_k	ŋ	1.0
ŋ	ŋ	1.0
z	z	1.0
w_ˈɛ	ˈu	1.0
w_ʃ	w	1.0
w_t	l_t	1.0
u	u	1.0
t_a	t_ə	1.0
s_ˈe	s_ˈɛ	1.0
r_n	r_n	1.0
r_#>	#>	1.0
p_#>	s_#>	1.0
p	p	1.0
n_t_#>	n_#>	1.0
n_a	ə	1.0
n_#>	#>	1.0
m_#>	m_#>	1.0
m	m	1.0
l_ˈe	ʎ_ˈe	1.0
l_ˈa	l_ˈa	1.0
l_j	ʎ_ə	1.0
l_a	l_ə	1.0
k	k	1.0
j_ˈɛ	ˈi	1.0
f_#>	p_#>	1.0
e_ʒ	ə	1.0
e_r	ɾ_ə	1.0
d_l	ʎ	1.0
d_a	ə	1.0
b_a	β_ə	1.0
b	b	1.0
a_v	ə_β	1.0
a	ə	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʃ	<#_ə_s	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_a	<#_ə	1.0
#>	w_#>	1.0
n	n	0.939
s	s	0.935
ˈa	ˈa	0.931
f	f	0.913
ˈɔ	ˈɔ	0.905
t	t	0.885
ʒ	ʒ	0.818
o	u	0.786
ˈe_j	ˈɛ	0.778
ʨ	k	0.75
v	b	0.65
d	d	0.64
ɡ	ɡ	0.615
r	ɾ	0.615
ˈo	ˈo	0.607
e	ə	0.583
i	-	0.571
w	ˈɔ	0.556
ˈe	ˈɛ	0.55
ʦ	s	0.5
ʦ	-	0.5
j_#>	s_#>	0.5
j_#>	#>	0.5
<#	<#_ɡ	0.5
<#	<#_ə	0.5
l	ʎ	0.486
l	l	0.457
i	i	0.429
ɡ	ɣ	0.385
j	-	0.375
ˈɛ	ˈe	0.353
w	-	0.333
r	r	0.333
ˈɛ	ˈa	0.294
d	ð	0.28
ʨ	s	0.25
ˈe_j	ˈe	0.222
o	-	0.214
e	-	0.208
ˈɛ	ˈɛ	0.206
ˈe	ˈe	0.2
v	β	0.2
j	ˈe	0.188
ʒ	-	0.182
ˈe	ˈi	0.15
v	-	0.15
ˈo	ˈɔ	0.143
j	ˈɛ	0.125
j	ʎ	0.125
j	i	0.125
e	ɾ_ə	0.125
w	l	0.111
ˈo	ˈu	0.107
ˈe	ə	0.1
ˈɔ	-	0.095
ˈɛ	-	0.088
f	w	0.087
e	i	0.083
d	-	0.08
t	ð	0.077
ˈo	ˈɛ	0.071
ˈo	-	0.071
ˈa	ˈe	0.069
s	ʃ	0.065
j	ʎː	0.062
n	-	0.061
ˈɛ	ˈi	0.059
l	-	0.057
r	-	0.051
