Lengadocian	Lengadocian	probability
ˈɛ_ʧ	i	1.0
ˈɛ_ʦ	i	1.0
ˈɛ_ʀ	æɛ̯_ʁ	1.0
ˈɛ_s	ɛɪ̯	1.0
ˈɛ_n	ã	1.0
ˈɛ_l	oʊ̯	1.0
ˈɛ_j	ɪ	1.0
ˈɛ_#>	j_e_#>	1.0
ˈɔ_s	o	1.0
ˈɔ_k	øʏ̯	1.0
ˈy_n	œ̃ʏ̯̃	1.0
ˈu_ʦ	w	1.0
ˈu_ʀ	u_ʁ	1.0
ˈu_ɔ	øʏ̯	1.0
ˈu_s	u	1.0
ˈu_n	ɒ̃ʊ̯̃	1.0
ˈi_w	y	1.0
ˈi_k	i	1.0
ˈi_#>	i_ʁ_#>	1.0
ˈa_ʦ	æɛ̯	1.0
ˈa_w	oʊ̯	1.0
ˈa_n	ã	1.0
ˈa_l	oʊ̯	1.0
ˈa_j	æɛ̯	1.0
ˈa_#>	e_#>	1.0
ʧ_#>	#>	1.0
ʎ	j	1.0
ʀ	ʁ	1.0
ɲ_ɔ	ɲ	1.0
ɲ	ẽɪ̯̃	1.0
ɡ	ɡ	1.0
ɔ_#>	#>	1.0
ð	-	1.0
y	y	1.0
w	-	1.0
t_ɔ_#>	t_#>	1.0
s_t	t	1.0
s_k	k	1.0
s_e	s_œ	1.0
s_#>	#>	1.0
p_e	p	1.0
nː	a_m	1.0
n_#>	#>	1.0
mː	m	1.0
m_#>	#>	1.0
lː	l	1.0
l_ˈa	l	1.0
l_s	øʏ̯	1.0
l_#>	#>	1.0
k_ɔ	ʃ	1.0
k_#>	#>	1.0
j_ˈɛ	i	1.0
f	f	1.0
e_#>	#>	1.0
a_n	ã	1.0
<#_ʀ	<#_ʁ	1.0
<#_ɥ	<#	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_e	<#_e	1.0
<#	<#_l	1.0
ɾ	ʁ	0.96
p	p	0.909
m	m	0.903
l	l	0.881
s	s	0.872
ʤ	ʒ	0.85
n	n	0.762
d	d	0.75
β	v	0.714
#>	ʁ_#>	0.643
z	z	0.625
a	a	0.625
ɥ	ɥ	0.545
b	v	0.541
k	k	0.538
j	ɛ	0.538
ɣ	ɡ	0.5
ɣ	-	0.5
ŋ	ã	0.5
ŋ	-	0.5
w_#>	f_#>	0.5
w_#>	#>	0.5
i	i	0.5
i	-	0.5
t	-	0.462
k	ʃ	0.462
ˈɔ	ɑɔ̯	0.438
ˈy	y	0.438
ˈi	ɪ	0.414
u	u	0.412
b	b	0.405
ˈɛ	j	0.385
t	t	0.385
z	-	0.375
ˈe	w_ɛ	0.343
e	-	0.333
ˈɔ	œ	0.312
ˈu	ɒ̃ʊ̯̃	0.308
u	ɔ	0.294
β	b	0.286
ˈa	æɛ̯	0.286
ˈi	i	0.276
ɥ	-	0.273
d	ʣ	0.25
e	œ	0.238
ˈɛ	ɛ	0.231
ˈɛ	j_ɛ	0.231
ˈa	a	0.224
#>	ɛ_#>	0.214
ˈi	ẽɪ̯̃	0.207
ˈe	w	0.2
ˈu	u	0.192
e	ʁ	0.19
ˈy	ʏ	0.188
ˈy	ɥ	0.188
ˈy	w	0.188
ˈa	ẽɪ̯̃	0.184
ɥ	œ	0.182
u	-	0.176
a	-	0.167
ˈɛ	æɛ̯	0.154
ˈu	ʊ	0.154
ˈu	aœ̯	0.154
t	ʦ	0.154
j	æɛ̯	0.154
j	j	0.154
j	-	0.154
ʤ	-	0.15
ˈe	æɛ̯	0.143
ˈe	-	0.143
n	ẽɪ̯̃	0.143
e	æɛ̯	0.143
#>	e_#>	0.143
ˈɔ	ɔ	0.125
ˈɔ	-	0.125
a	æɛ̯	0.125
ˈa	e	0.122
l	j	0.119
u	ɒ̃ʊ̯̃	0.118
ˈu	ɔ	0.115
ˈe	ɛ	0.114
ˈi	e	0.103
m	-	0.097
n	-	0.095
e	w_ɛ	0.095
p	-	0.091
s	-	0.085
a	œ	0.083
ˈu	-	0.077
ˈa	ɛ	0.061
ˈe	ẽɪ̯̃	0.057
b	-	0.054
