Catalan	Catalan	probability
ˈɛ_k	ˈi_kː	1.0
ˈo_m	nː	1.0
ˈi_t	ˈɛ_tː	1.0
ʧ	-	1.0
ʤ	-	1.0
ʎː	ɟː	1.0
ʎ_ˈe	l_ˈi	1.0
ʎ_#>	ɖː_ʊ_#>	1.0
ʃ	ʃː	1.0
ɾ_ə	ɾ_ʊ	1.0
ɡ_l	ɟ	1.0
ɡ	ɡ	1.0
ŋ	ŋ	1.0
ð	t	1.0
z	-	1.0
w_ˈa	w_ˈa	1.0
w_#>	ɕ_ɪ_#>	1.0
s_#>	#>	1.0
r_k	r_k	1.0
p_l	c	1.0
p_#>	p_ʊ_#>	1.0
p	p	1.0
n_s	n_ɪ	1.0
n_d	nː_ɪ	1.0
n	n	1.0
l_#>	l_ʊ_#>	1.0
j_t	tː	1.0
j	-	1.0
b_ə	v_i	1.0
<#_ˈɔ	<#_ˈɔ	1.0
<#_ˈu	<#_ˈɔ	1.0
<#_ˈe	<#_ˈi	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʎ	<#_l	1.0
<#_ɡ	<#	1.0
<#_u	<#_a	1.0
<#_t	<#_t	1.0
<#_s	<#_ɕ	1.0
<#_r	<#_ʐ	1.0
<#_n	<#_n	1.0
f	f	0.952
k	k	0.943
m	m	0.897
ˈa	ˈa	0.852
ˈu	ˈu	0.833
ˈi	ˈi	0.808
d	d	0.8
ˈɔ	ˈɔ	0.75
ə_s	ʃ	0.75
<#_ə	<#_a	0.75
ə	a	0.702
s	s	0.675
ˈe	ˈɛ	0.667
r	ɾ	0.667
u	u	0.643
ˈo	ˈu	0.636
ɲ	ɲː	0.615
i	i	0.6
ʒ	j	0.571
n_#>	n_t_ʊ_#>	0.556
t	t	0.531
ɾ	ɾ	0.525
l	l	0.52
b	v	0.517
ˈɛ	ˈi	0.514
β	p	0.5
n_#>	n_t_ɪ_#>	0.444
#>	ɪ_#>	0.417
ʎ	ɟː	0.412
i	-	0.4
β	v	0.389
#>	ʊ_#>	0.383
b	b	0.379
ɣ	ɡ	0.375
ɣ	k	0.375
ʎ	cː	0.353
ˈɛ	ˈɛ	0.343
ʒ	ʤ	0.286
ɣ	-	0.25
ə_s	ɪ	0.25
<#_ə	<#	0.25
ʎ	ɖː	0.235
w	ɪ	0.235
ɲ	nː	0.231
u	o	0.214
r	r	0.2
d	-	0.2
t	tː	0.188
ˈo	ˈu_ɾ	0.182
ˈe	ˈi	0.182
w	ʦː_ʊ	0.176
w	w	0.176
w	v_ɪ	0.176
ɾ	ɽ	0.175
ˈu	ˈɔ	0.167
l	w	0.16
t	-	0.156
ɲ	-	0.154
ˈe	ˈa	0.152
ɾ	r	0.15
ˈɔ	ˈu	0.143
ʒ	-	0.143
u	ʊ	0.143
r	ʐː	0.133
ə	ɪ	0.132
l	-	0.12
w	ɾ	0.118
w	v_ʊ	0.118
ˈi	ɪ	0.115
β	-	0.111
ˈɔ	ˈo	0.107
m	mː	0.103
b	-	0.103
ɾ	-	0.1
s	-	0.1
#>	n_ʊ_#>	0.1
ˈo	ˈɔ	0.091
ˈo	ˈo	0.091
ˈɛ	ˈu	0.086
l	ˈi	0.08
l	ɖː	0.08
ˈi	ˈɛ	0.077
ə	i	0.07
ˈa	ˈa_ɾ	0.066
t	ʈ	0.062
ˈɛ	ˈe	0.057
k	kː	0.057
ə	ʊ	0.053
