Macedonian	Čakavian	probability
b	b	1.0
d	d	1.0
j	j	1.0
k	k	1.0
l	l	1.0
n	n	1.0
p	p	1.0
r	r	1.0
u	a	1.0
v	ʋ	1.0
z	z	1.0
ɫ	l	1.0
ʃ	ʃ	1.0
ʒ	ʒ	1.0
ʣ	z	1.0
ʦ	ʦ	1.0
ʧ	ʧ	1.0
ˈr̩	r̩̂	1.0
ˈu	ûː	1.0
a	a	0.561
ˈa	a	0.091
ˈi	îː	0.451
ˈɛ	î	0.191
i	î	0.152
t	a_t	0.062
ɡ	ɡ	0.852
ˈa	ǎː	0.102
ˈa	â	0.392
ˈi	î	0.412
ˈo	o	0.252
f	x	0.123
m	m	0.984
ɛ	î	0.244
ˈɛ	îː	0.094
ˈɛ	êː	0.124
ˈɛ	ê	0.214
o	o	0.875
ˈa	âː	0.316
f	-	0.877
s	s	0.927
ˈi	iː	0.137
ˈo	ôː	0.27
ˈɛ	e	0.287
i	i	0.848
o	ô	0.088
t	t	0.938
ɛ	t_i	0.138
ɛ	e	0.618
ɡ	ʋ_#>	0.148
ˈo	ô	0.478
a	â	0.439
ˈa	ûː	0.099
