Old High German	Old Frisian	probability
ˈɛ_h	ˈi̯aː	1.0
ˈɑ_ɡ	ˈe_j	1.0
ˈɑ_n	ˈoː	1.0
ˈɑ_h	ˈaː	1.0
ˈuː	ˈuː	1.0
ˈu_r	ˈo_r	1.0
ˈio̯	ˈi̯aː	1.0
ˈie̯	ˈeː	1.0
ˈe	ˈe	1.0
ʦː	tː	1.0
ʦ	t	1.0
ə	-	1.0
ɑ_n	ə	1.0
ŋ	ŋ	1.0
xː	k	1.0
x_s	k_s	1.0
v	w	1.0
u	ə	1.0
tː	dː	1.0
t_ɑ	d_ə	1.0
s̻ː	t	1.0
s̻	t	1.0
s_t	s_t	1.0
rː	ˈuː_ɣ	1.0
r_ʦ	r_t	1.0
r_o	r_ə	1.0
r_n	r_n	1.0
r	r	1.0
p͡f_u	pː	1.0
p͡f	p	1.0
p	p	1.0
oː	j	1.0
ou̯	ˈaː	1.0
nː	nː	1.0
mː	mː	1.0
m	m	1.0
lː	lː	1.0
l	l	1.0
j	j	1.0
h	h	1.0
fː	p	1.0
b_eː	bː	1.0
s	s	0.933
k	k	0.933
w	w	0.879
ɛ	ə	0.877
i	ə	0.812
ˈiu̯	ˈi̯uː	0.806
ˈɛ	ˈe	0.789
f	f	0.783
t	d	0.779
n	n	0.755
b	b	0.755
o	ə	0.716
ˈiː	ˈiː	0.705
ˈi	ˈi	0.703
ˈou̯	ˈaː	0.701
d	θ	0.701
e_n	ə	0.7
ɑ	ə	0.684
ˈoː	ˈaː	0.676
ˈei̯	ˈɛː	0.654
ˈɑː	ˈeː	0.638
ˈuo̯	ˈoː	0.612
ˈɑ	ˈa	0.558
x	x	0.549
kː	ɡː	0.533
ɡ	ɡ	0.532
ˈu	ˈu	0.528
ˈeː	ˈɛː	0.5
ˈeː	-	0.5
kː	kː	0.467
x	k	0.451
ˈo	ˈɔː	0.422
ˈuo̯	ˈeː	0.388
ˈoː	ˈɛː	0.324
ˈu	ˈe	0.303
e_n	j_ə	0.3
ˈou̯	-	0.299
ˈo	ˈo	0.299
o	-	0.284
ˈo	ˈu	0.28
ɑ	-	0.278
ˈɑ	ˈɔː	0.253
ɡ	ɣ	0.248
b	v	0.245
ɡ	j	0.22
f	p	0.217
ˈɑː	ˈɔː	0.203
ˈiu̯	-	0.194
ˈei̯	ˈaː	0.18
ˈiː	ˈi	0.178
ˈi	-	0.169
ˈei̯	-	0.166
ˈɑː	-	0.159
d	d	0.152
t	t	0.15
d	ð	0.146
ˈɑ	ˈe	0.14
ˈɛ	ˈeː	0.139
ˈi	ˈeː	0.128
ˈu	ˈo	0.124
ɛ	iː	0.123
i	-	0.122
w	-	0.121
ˈiː	-	0.118
n	ə	0.113
ˈɛ	ˈi	0.072
t	-	0.071
n	-	0.07
s	z	0.067
k	ʦ	0.067
i	i	0.065
n	a	0.062
