Nuorese	Nuorese	probability
β_ɛ	w	1.0
ˈɔ_ɾ	ˈu	1.0
ˈɔ_j	ˈa_w	1.0
ˈi_ɾ	ˈi	1.0
ˈi_ð	ɥ	1.0
ˈi_s	ˈɪ_l	1.0
ˈe_s	ˈe	1.0
ˈa_ɾ	ˈa	1.0
ʦ	s	1.0
ʣ	ʎ	1.0
ɾ_ɛ_#>	#>	1.0
ɾ_t	ˈɔ_ʀ	1.0
ɾ_a	ʀ	1.0
ɛ̆_#>	#>	1.0
ɛ_ɾ	ʀ	1.0
ɛ_#>	#>	1.0
ɔ̆_#>	#>	1.0
ɔ̆	ə	1.0
ŋ	ŋ	1.0
z_ŭ	s	1.0
z_u	lː	1.0
u_#>	#>	1.0
t_ˈa	t_ˈa	1.0
t_ɾ	j_ʀ	1.0
t_ɛ	j	1.0
t_u	s	1.0
s_t	t	1.0
r	ʀ	1.0
p_ˈi	pʲ	1.0
p_ɾ	p_l	1.0
p_ɛ	b	1.0
o	-	1.0
n_u	ŋ	1.0
n_t	ŋ	1.0
m_ɛ	ŋ_k	1.0
l_u_#>	#>	1.0
k_ɛ	s	1.0
k_u	k	1.0
k_a	ʧ_ɒ	1.0
i_s	ɪ	1.0
ă	-	1.0
<#_ʣ	<#_ʤ	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_r	<#_ʀ	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
m	m	0.933
l	l	0.875
f	f	0.857
d	d	0.818
ɾ	ʀ	0.815
ð	-	0.778
a	ɔ	0.776
p	p	0.75
k_ɾ	ʎ	0.75
ɖː	l	0.714
ɔ	-	0.714
e	ə	0.667
i	-	0.652
z	-	0.643
<#_l	<#_l	0.588
j	ʤ	0.571
ˈɛ	ˈe	0.556
s	s	0.556
ˈu	ˈu	0.531
ɛ	ə	0.515
ˈa	ˈa	0.51
ˈo	w_ˈɔ	0.5
ɣ	j	0.5
ɣ	-	0.5
#>	ə_#>	0.5
#>	ɔ_#>	0.5
ˈe	ˈe	0.474
s	-	0.444
ˈi	ˈi	0.438
j	-	0.429
ɡ	ʤ	0.417
ɡ	ɡ	0.417
b	b	0.412
<#_l	<#_ʎ	0.412
u	ə	0.407
t	t	0.4
nː	ŋ	0.4
nː	-	0.4
b	v	0.382
β	v	0.375
β	-	0.375
k	ʧ	0.37
n	ŋ	0.342
n	n	0.342
e	-	0.333
ˈa	ˈã	0.306
i	ə	0.304
ɖː	l_ɔ	0.286
ˈi	ˈɪ	0.281
t	-	0.267
k	k	0.261
ˈɛ	ˈɪ	0.259
β	w	0.25
ˈu	ˈy	0.25
k_ɾ	k_l	0.25
t	d	0.233
ˈo	w	0.222
ð	d	0.222
ɔ	u	0.214
z	s	0.214
ˈe	ˈẽ	0.211
ˈɔ	ˈœ	0.207
ˈɔ	w_ˈɔ	0.207
ˈɔ	w	0.207
nː	ŋ_d	0.2
d	-	0.182
ˈo	ˈœ	0.167
ɡ	-	0.167
ˈe	ˈa	0.158
n	-	0.158
ˈi	ˈĩ	0.156
u	j	0.148
b	vʲ	0.147
z	t	0.143
f	fʲ	0.143
k	s	0.13
k	-	0.13
ˈi	-	0.125
p	b	0.125
p	-	0.125
l	ˈa	0.125
ɛ	ɔ	0.121
a	ɒ	0.119
ˈɛ	ˈẽ	0.111
ˈo	ˈu	0.111
u	l	0.111
u	-	0.111
ˈe	ˈɪ̃	0.105
ˈɔ	ˈũ	0.103
ˈɔ	ˈu	0.103
ˈɔ	u	0.103
ˈa	ˈe	0.102
t	ʧ	0.1
ˈu	w	0.094
ɾ	-	0.093
ɛ	j	0.091
ɛ	-	0.091
n	ˈɔ̃	0.079
n	ɲ	0.079
ˈɛ	-	0.074
u	ŋ	0.074
u	w	0.074
u	u	0.074
ɔ	ũ	0.071
ˈɔ	ˈɔ	0.069
m	mʲ	0.067
ˈu	ˈỹ	0.062
ˈu	ˈũ	0.062
ɛ	ˈi	0.061
ɛ	ɒ	0.061
ɛ	w	0.061
b	-	0.059
ɾ	l	0.056
ˈe	ˈɛ	0.053
