Bellunese	Emilian	probability
ˈɛ_t	ˈɛ_t	1.0
ˈɛ_s	ˈɛ_s	1.0
ʧ	ʧ	1.0
ʤ	ʤ	1.0
ɲ	ɲ	1.0
ɡ	ɡ	1.0
ŋ	ŋ	1.0
ð	ð	1.0
u	-	1.0
t	t	1.0
r_ˈe	r_ˈa	1.0
r_t	r_t	1.0
r_o	r	1.0
r_a	r_a	1.0
p_j	p	1.0
p	p	1.0
m	m	1.0
l	l	1.0
k	k	1.0
j_ˈa	j_ˈa	1.0
b	b	1.0
a	a	1.0
s	s	0.939
d	d	0.934
v	v	0.927
f	f	0.924
r	r	0.911
θ	θ	0.903
n	n	0.867
j	j	0.852
z	z	0.659
i	i	0.626
ˈɔ	ˈɔː	0.6
r_e	d_e	0.597
ˈɛ	ˈɛ	0.578
w	w	0.571
j_ˈe	ˈɛː	0.557
ˈi	ˈe	0.556
ˈu	ˈuː	0.539
ˈa	ˈɛ	0.533
o	-	0.524
e	-	0.476
ˈu	ˈo	0.461
j_ˈe	ˈiː	0.443
w	-	0.429
r_e	e	0.403
e	e	0.401
ˈɔ	ˈɔ	0.4
i	-	0.374
z	-	0.341
ˈo	ˈʌu̯	0.326
ˈɛ	-	0.306
o	u	0.298
ˈa	ˈaː	0.256
ˈi	ˈiː	0.251
ˈe	ˈa	0.251
ˈe	ˈa_j	0.225
ˈe	ˈæ	0.221
ˈe	-	0.216
ˈa	ˈa	0.211
ˈo	ˈɔː	0.209
ˈo	ˈʌ	0.169
ˈo	ˈo	0.149
j	-	0.148
n	-	0.133
ˈi	-	0.13
ˈɛ	ˈɛː	0.116
θ	-	0.097
ˈe	ˈiː	0.087
ˈo	ˈuː	0.085
o	r	0.079
f	v	0.076
v	-	0.073
d	-	0.066
ˈi	ˈi	0.064
e	i	0.064
ˈo	ˈaː	0.062
s	z	0.061
e	ˈiː	0.059
o	o	0.058
