Asturian	Aromanian	probability
i	-	1.0
p	p	1.0
r	r	1.0
w	-	1.0
ð	t	1.0
ɣ	k	1.0
ʧ	t	1.0
a	ə	0.561
k	k	0.891
n	n	0.831
s	r_s	0.071
t	t	0.91
u	u	0.611
ɲ	n	0.781
ʃ	ʤ	0.271
ʎ	l	0.851
ˈe	ˈu	0.051
ˈe	ˈe	0.131
ˈi	i	0.081
β	j	0.061
b	b	0.272
b	v	0.32
b	-	0.372
ŋ	n	0.552
ʃ	ʃ	0.362
ʝ	ʤ	0.092
ˈa	ˈɨ	0.292
ˈe	e̯ˈa	0.372
ˈu	<#_a	0.32
e	-	0.103
j	-	0.923
s	ʃ	0.133
ɡ	m	0.653
ɾ	r	0.553
ˈa	e̯ˈa	0.063
ˈo	ˈu	0.73
β	w	0.093
a	a	0.074
a	ˈa	0.104
a	-	0.154
d	d	0.554
e	ə	0.164
f	f	0.504
n	-	0.114
t	-	0.064
u	ə	0.204
θ	ʃ	0.114
θ	ʦ	0.484
l	-	0.095
m	-	0.105
o	-	0.235
ˈi	ˈi	0.805
ˈo	ˈo	0.145
ˈu	-	0.105
ˈu	ˈu	0.575
β	-	0.685
θ	ʃ_t	0.085
d	ʣ	0.446
f	ç	0.496
k	ʦ	0.086
m	ɲ	0.106
s	-	0.216
u	-	0.116
ʎ	k_ʎ	0.06
ˈe	i	0.076
ˈe	ˈi	0.196
β	p	0.136
θ	-	0.306
a	i	0.107
j	i	0.077
o	u	0.537
ŋ	-	0.07
ɡ	ɡ	0.347
ɾ	-	0.097
ɾ	r_i	0.327
ʃ	ʣ	0.367
ˈi	ˈu	0.087
l	r	0.448
o	o̯ˈa	0.108
s	s	0.58
ŋ	n_i	0.098
ˈa	ˈa	0.568
ˈe	ˈa	0.148
ˈo	o̯ˈa	0.08
e	i	0.69
l	r_i	0.109
l	l	0.319
m	m	0.789
o	i	0.119
u	i	0.069
ŋ	n_e	0.279
ɲ	m_n	0.219
ʝ	k_ʎ	0.259
ʝ	-	0.649
