Bokmål Norwegian	Gothic	probability
b	b	1.0
d	d	0.729
d	θ	0.103
d	t	0.08
d	β	0.078
e	oː	1.0
f	f	1.0
h	h	1.0
i	a	1.0
j	ˈɛ	0.392
j	h	0.208
j	ɡ	0.096
j	-	0.092
j	k	0.092
k	k	0.388
k	k_s	0.33
k	h	0.152
k	ɡ	0.114
kʰ	k	0.696
kʰ	kʷ	0.293
kː	k	0.509
l	l	0.855
l	l_s	0.142
lː	l	0.574
lː	lː	0.304
lː	n	0.111
m	m	0.768
m	m_s	0.228
mː	m	0.509
n	n	0.784
n	n_s	0.124
n	-	0.048
n	r	0.046
nː	n_θ	0.281
nː	n_d	0.231
nː	nː	0.213
nː	n	0.197
nː	oː	0.069
p	p	0.719
p	p_s	0.266
s	s	0.96
s	z	0.046
sː	k	0.509
t	t	0.762
t	t_s	0.233
tʰ	θ	0.423
tʰ	t	0.264
tʰ	t_w	0.258
tʰ	b	0.044
tː	t_s	0.441
tː	h_t	0.384
tː	t	0.108
ŋː	ŋ_ɡ	0.409
ŋː	h	0.216
ŋː	ŋ	0.184
ŋː	ɡʷ	0.083
ə	a_n	0.284
ə	-	0.201
ə	a	0.188
ə	oː	0.187
ə	i	0.083
ɡ	ɡ	0.715
ɡ	ɡːʷ	0.137
ɡ	x	0.1
ɡː	d	1.0
ɳ	r_n	0.591
ɳ	r	0.232
ɳ	n	0.147
ɾ	r	0.802
ɾ	-	0.079
ɾ	j	0.036
ɾ	n	0.035
ɾ	z	0.035
ʂ	s	0.85
ʂ	m	0.085
ʃ	k	1.0
ʈ	t	1.0
ʈː	t	0.259
ʋ	w	0.374
ʋ	-	0.352
ʋ	ʍ	0.103
ʋ	oː	0.103
ʋ	β	0.059
ˈeː	ˈiu̯	0.354
ˈeː	ˈa	0.185
ˈeː	ˈɛː	0.11
ˈeː	ˈiː	0.108
ˈeː	ˈɛ	0.049
ˈiː	ˈiː	0.497
ˈiː	ˈi	0.399
ˈiː	ˈiu̯	0.089
ˈoː	ˈeː	0.549
ˈoː	ˈa	0.194
ˈoː	ˈɔː	0.147
ˈoː	ˈu	0.081
ˈuː	ˈoː	0.288
ˈuː	ˈɔ	0.265
ˈuː	ˈoː_θ	0.19
ˈuː	-	0.081
ˈuː	ˈi	0.081
ˈyː	ˈiu̯	0.813
ˈyː	ˈoː	0.121
ˈæ	ˈi	0.386
ˈæ	ˈɛ	0.197
ˈæɪ̯	ˈi_ɡ	0.354
ˈæɪ̯	ˈɛː	0.207
ˈæɪ̯	ˈa	0.203
ˈæɪ̯	ˈi	0.137
ˈæː	r	0.386
ˈæː	ˈeː	0.197
ˈøː	ˈɔː	0.462
ˈøː	ˈɛː_w	0.209
ˈøː	ˈɔ	0.158
ˈøː	-	0.105
ˈøː	iː	0.055
ˈœ	w	0.5
ˈœ	ˈu	0.5
ˈɑ	ˈa	0.89
ˈɑ	ˈɔː	0.061
ˈɑ	ˈu	0.054
ˈɑː	ˈa	1.0
ˈɔ	ˈa	0.461
ˈɔ	ˈɔː	0.304
ˈɔ	ˈu	0.178
ˈɛ	ˈa	0.272
ˈɛ	ˈɛː	0.248
ˈɛ	ˈɛ	0.179
ˈɛ	ˈi	0.136
ˈɛ	j	0.09
ˈɪ	ˈi	0.802
ˈɪ	ˈoː	0.097
ˈɪ	ˈiː	0.092
ˈʉ	ˈu	0.642
ˈʉ	w_ˈu	0.257
ˈʉ	ˈuː	0.096
ˈʉː	ˈuː	0.605
ˈʉː	ˈu	0.179
ˈʉː	u	0.142
ˈʊ	ˈu	0.715
ˈʊ	ˈɔ	0.204
ˈʏ	ˈu	0.27
ˈʏ	ˈiu̯	0.181
ˈʏ	ŋ	0.158
