Bokmål Norwegian	Gothic	probability
b	b	1.0
d	d	0.641
d	t	0.145
d	θ	0.115
d	-	0.092
f	f	1.0
h	h	1.0
i	a	1.0
j	h	0.354
j	ˈɛ	0.224
j	-	0.211
j	ɡ	0.179
k	k	0.85
k	h	0.089
k	ɡ	0.061
kʰ	k	0.685
kʰ	kʷ	0.315
kː	ŋ	1.0
l	l	0.79
l	ɡ_l	0.119
l	h_l	0.091
lː	l	0.726
lː	lː	0.211
lː	-	0.063
m	m	1.0
mː	m	1.0
n	n	0.98
nː	n	0.691
nː	nː	0.166
nː	j	0.112
p	p	1.0
pː	p	1.0
s	s	0.991
sː	ŋ	1.0
t	t	1.0
tʰ	θ	0.722
tʰ	t	0.234
tː	h	0.789
tː	t	0.211
ŋː	ŋ	0.592
ŋː	h	0.319
ŋː	ɡʷ	0.089
ɕ	t	1.0
ə	a	0.433
ə	oː	0.26
ə	-	0.165
ə	d_a	0.052
ɡ	ɡ	0.634
ɡ	ɡːʷ	0.219
ɡ	x	0.146
ɡː	d	0.91
ɡː	ɣ	0.09
ɳ	r	0.822
ɳ	n	0.178
ɾ	r	0.769
ɾ	-	0.149
ʂ	s	0.839
ʂ	-	0.161
ʃ	s	1.0
ʈ	t	1.0
ʈː	t	1.0
ʋ	w	0.59
ʋ	f	0.132
ʋ	-	0.106
ʋ	ʍ	0.088
ʋ	ɣ	0.059
ˈeː	j	0.292
ˈeː	ˈa	0.268
ˈeː	ˈiu̯	0.149
ˈeː	ˈiː	0.13
ˈeː	ˈɛː	0.099
ˈeː	ˈɛ	0.063
ˈiː	ˈiː	0.596
ˈiː	ˈi	0.355
ˈoː	ˈeː	0.672
ˈoː	ˈa	0.247
ˈuː	ˈoː	0.549
ˈuː	ˈɔ	0.253
ˈuː	-	0.073
ˈuː	ˈɛː	0.064
ˈuː	ˈi	0.061
ˈyː	ˈiu̯	0.859
ˈyː	ˈoː	0.141
ˈæ	ˈi	0.796
ˈæ	ˈɛ	0.204
ˈæɪ̯	ˈi	0.592
ˈæɪ̯	ˈɛː	0.373
ˈæː	ˈeː	0.537
ˈæː	ˈa	0.275
ˈæː	r	0.188
ˈøː	ˈɔː	0.52
ˈøː	ˈɔ	0.175
ˈøː	-	0.132
ˈøː	ˈɛː	0.104
ˈœ	ˈu	0.699
ˈœ	w	0.19
ˈœ	ˈɔ	0.111
ˈɑ	ˈa	0.897
ˈɑ	ˈu	0.07
ˈɑː	ˈa	1.0
ˈɔ	ˈi	0.396
ˈɔ	ˈɔː	0.265
ˈɔ	ˈiu̯	0.152
ˈɔ	ˈa	0.129
ˈɔ	ˈu	0.058
ˈɛ	ˈi	0.382
ˈɛ	ˈa	0.267
ˈɛ	ˈɛː	0.211
ˈɛ	ˈɛ	0.14
ˈɪ	ˈi	0.852
ˈɪ	ˈiː	0.14
ˈʉ	ˈu	0.855
ˈʉ	w_ˈu	0.073
ˈʉ	ˈuː	0.072
ˈʉː	ˈu	0.389
ˈʉː	ˈuː	0.319
ˈʉː	w	0.122
ˈʉː	ˈiu̯	0.11
ˈʉː	ˈi	0.06
ˈʊ	ˈɔ	1.0
ˈʏ	ˈiu̯	0.354
ˈʏ	ˈu	0.354
ˈʏ	ŋ	0.291
