Scots	Scots	probability
ˈʌu̯	-	1.0
ˈɪ_r	ɐ	1.0
ˈɪ_n	ˈõː	1.0
ˈɛː	ˈɛː	1.0
ˈøː	ˈuː	1.0
ˈo	ˈɔ	1.0
ˈiː_#>	#>	1.0
ˈi_n	ˈĩː	1.0
ˈeː_r	ˈɑː	1.0
ˈe_n	ˈãː	1.0
ˈaːɪ̯	ˈi_m	1.0
ˈaɪ̯	-	1.0
ʤ	k	1.0
ʍ	v	1.0
ʃ	ʃ	1.0
ɛ	n	1.0
ə_r	æ̆	1.0
ə	-	1.0
ŋ	ŋ	1.0
ð	d̥	1.0
ç	ʃ	1.0
z	s	1.0
x	-	1.0
v	v	1.0
tʰ	ʦ	1.0
s_t	ʃ_d̥	1.0
r_ˈɛ	ʀ	1.0
n_d	n_ə	1.0
m	m	1.0
l_d	l	1.0
l	l	1.0
kʰ	kʰ	1.0
i_n	ɛː	1.0
i	i_ʃ	1.0
h	h	1.0
f_ˈo	f	1.0
f_#>	b̥_#>	1.0
f	f	1.0
e	i_ʃ	1.0
d_r	t_ʀ	1.0
d	d̥	1.0
<#_r	<#_ʀ	1.0
w	v	0.905
s	s	0.865
n	n	0.825
ˈʌ	ˈu	0.778
θ	d̥	0.733
ˈeː	-	0.667
pʰ	f	0.667
ɡ	ɡ̊	0.636
p	f	0.625
#>	ʃ_#>	0.6
ˈu	ˈau̯	0.583
b	b̥	0.579
ˈɪ	ˈi	0.571
ˈəi̯	-	0.571
ˈəi̯_n	ˈɑ̃i̯	0.5
ˈəi̯_n	ˈoĩ̯	0.5
ˈəi̯	ˈai̯	0.429
ˈø	ˈuː	0.429
ˈuː	ˈau̯	0.429
j	-	0.429
b	p	0.421
ˈu	-	0.417
r	ʀ	0.4
#>	f_#>	0.4
p	v̥	0.375
r	ɐ	0.367
ˈe	ˈa	0.364
ɡ	k	0.364
ˈa	ˈɑ	0.333
pʰ	pʰ	0.333
t	s	0.323
ˈɑː	ˈɑ	0.308
ˈɑː	ˈa_l	0.308
k	k	0.308
ˈɛ	-	0.294
ˈiː	ˈiː	0.294
t	t	0.29
ˈø	ˈu	0.286
ˈø	ˈoː	0.286
ˈuː	ˈuː	0.286
ˈuː	ˈo_l	0.286
j	ɡ̊	0.286
j	j	0.286
ˈi	ˈiː	0.273
ˈe	ˈaː	0.273
ˈe	-	0.273
ˈɛ	ˈɛ	0.235
ˈɛ	ˈe	0.235
ˈiː	-	0.235
ˈɑː	ˈaː	0.231
k	x	0.231
ˈi	-	0.227
ˈʌ	ˈo	0.222
ˈeː	ˈɑː_ɣ̊	0.222
ˈi	ˈɑː	0.182
ˈiː	ˈeː	0.176
ˈiː	ˈaː	0.176
ˈɪ	-	0.167
ˈa	ˈɛ	0.167
ˈa	ˈe	0.167
ˈa	ˈa	0.167
ˈa	-	0.167
t	ʦ	0.161
t	z̥	0.161
ˈɑː	ˈeː	0.154
k	ʃ	0.154
k	ɣ̊_ə	0.154
k	ɡ̊_ə	0.154
ˈi	ˈaː	0.136
s	ʃ	0.135
θ	t	0.133
θ	-	0.133
r	ˈæ_ɐ	0.133
ˈɛ	ˈɛː	0.118
ˈɛ	ˈɑː	0.118
ˈiː	ˈai̯	0.118
ˈeː	ˈɛ̃ː	0.111
r	æ̆	0.1
w	-	0.095
ˈi	ˈu	0.091
ˈi	ˈoi̯	0.091
ˈe	oː	0.091
n	ə	0.075
ˈɪ	ˈɑ	0.071
t	d̥	0.065
