Megleno-Romanian	Portuguese	probability
a	ɐ	1.0
f	f	1.0
j	ʃ	1.0
kʲ	p	1.0
v	v	1.0
w	-	1.0
ɲ	-	1.0
ʒ	ʒ	1.0
ʧ	-	1.0
ˈɔ	ˈɐ̃	1.0
e̯ˈa	ˈɐ_j	0.281
i	-	0.161
i	ɨ	0.711
p	β	0.101
s	s	0.681
t	t_u	0.201
ə	ɐ	0.631
ˈe	ˈɛ	0.341
ˈu	ˈu	0.331
k	k	0.52
l	-	0.272
n	n	0.292
p	-	0.162
r	ʁ	0.162
t	-	0.092
t	ð	0.152
u	ɐ	0.122
z	-	0.52
b	v	0.103
d	-	0.153
k	-	0.153
o̯ˈa	ˈo	0.303
ə	u	0.053
ə	v_ɨ	0.053
ɡ	ɡ	0.923
ʦ	ʃ	0.123
ˈe	ˈɐ	0.163
ʃ	s	0.724
ˈa	ˈɛ	0.354
n	n_u	0.05
s	ʃ	0.095
t	t	0.555
z	ʒ	0.265
ʎ	-	0.535
ʦ	s	0.235
ˈa	ˈa	0.525
ˈo	ˈo	0.755
m	m	0.956
n	ɲ	0.096
z	d	0.216
ə	-	0.186
ʃ	ʃ	0.276
ˈa	ˈɐ	0.096
ˈe	ˈe	0.416
b	-	0.07
b	b	0.827
d	d	0.847
o̯ˈa	ˈɔ	0.697
r	ɾ	0.737
s	s_u	0.107
s	i_ʃ	0.117
ɡ	-	0.077
ʎ	j_ʎ	0.067
ʎ	ʎ	0.397
ˈi	ˈĩ	0.077
ˈi	-	0.127
ˈo	ˈɔ	0.177
k	ɣ_u	0.128
l	l	0.728
n	-	0.528
p	j	0.228
p	p	0.498
r	-	0.08
ˈe	ˈɐ_j	0.08
ˈi	ˈi	0.748
ˈo	ˈu	0.068
ˈu	ˈɔ	0.128
ˈu	ˈõ	0.238
e̯ˈa	ˈe	0.719
i	u	0.109
k	ɣ	0.199
u	u	0.839
ʦ	u_#>	0.139
ʦ	-	0.169
ʦ	t	0.279
ˈu	ˈo	0.259
