Eastphalian	Luxembourgish	probability
#>	#>	0.954
<#	<#	1.0
b	b	0.847
b	f_ə	0.084
b	-	0.063
d	d	0.585
d	t	0.407
d_#>	#>	1.0
f	f	1.0
h	h	1.0
j	ɡ	0.446
j	-	0.149
j	ə	0.149
j	j	0.132
j	ˈoː	0.072
k	kʰ	0.416
k	ɕ	0.228
k	χ	0.169
k	k_ə	0.093
k	k	0.078
l	l	0.994
m	m	0.791
m	n	0.165
n	n	0.909
n	-	0.053
p	f	0.65
p	p	0.32
r	ʀ	0.944
r	-	0.055
s	ʃ	0.655
s	s	0.318
t	t	0.436
t	ʦ	0.233
t	s	0.221
t	s_ə	0.07
v	v	0.807
v	w	0.139
v	f	0.055
w	w	0.891
w	-	0.067
x	ɕ	0.412
x	χ	0.412
x	ʃ	0.162
z	z	0.719
z	s	0.2
z	ʀ	0.078
ç	ɕ	0.889
ç	-	0.065
ŋ	ŋ	0.891
ŋ	n	0.109
ɐ	ɐ	0.892
ɐ	ʀ	0.069
ɐ_m	m	1.0
ə	-	0.495
ə	ɐ	0.228
ə	ˈɑɪ̯	0.105
ə_#>	#>	1.0
ɡ	ʑ	0.489
ɣ	ɡ	0.602
ɣ	-	0.199
ɣ	ŋ	0.106
ɣ	k	0.076
ɪ	ə	1.0
ʃ	ʃ	0.945
ʃ	s	0.056
ˈa	ˈaː	0.425
ˈa	ˈɑ	0.364
ˈa	ˈuə̯	0.076
ˈa	ˈɛː	0.051
ˈa	ˈiː	0.05
ˈa_ɐ	ˈaː	1.0
ˈaʊ̯	ˈu	0.417
ˈaʊ̯	ˈʊ	0.242
ˈaʊ̯	ˈəʊ̯	0.184
ˈaʊ̯	ˈæ	0.139
ˈaː	ˈaː	0.822
ˈaː	ˈoː	0.11
ˈeo̯	ˈəʊ̯	0.541
ˈeo̯	ˈaː	0.392
ˈeː	ˈɛː	0.194
ˈeː	ˈe	0.147
ˈeː	ˈi	0.147
ˈeː	ˈiː	0.147
ˈeː	ˈiə̯	0.106
ˈeː	ˈɛ	0.106
ˈeː	ˈəɪ̯	0.103
ˈiː	ˈæːɪ̯	0.475
ˈiː	ˈɑɪ̯	0.217
ˈiː	ˈæɪ̯	0.148
ˈiː	ˈə	0.148
ˈoː	ˈaː	0.339
ˈoː	ˈuː	0.339
ˈoː	ˈi	0.136
ˈoː	ˈuə̯	0.101
ˈuː	ˈæːʊ̯	0.463
ˈuː	ˈu	0.245
ˈuː	ˈaː	0.141
ˈuː	ˈɑɪ̯	0.098
ˈyː	ˈɑɪ̯	0.489
ˈøː	ˈəɪ̯	0.608
ˈøː	ˈiː	0.145
ˈœ	ˈiə̯	0.253
ˈœ	ˈeː	0.22
ˈœ	ˈə	0.22
ˈɒː	ˈoː	0.283
ˈɒː	ˈəɪ̯	0.215
ˈɒː	ˈaː	0.187
ˈɒː	ˈu	0.107
ˈɒː	ˈuə̯	0.107
ˈɒː	ˈəʊ̯	0.064
ˈɔ	ˈo	0.259
ˈɔ	ˈuː	0.191
ˈɔ	ˈaː	0.167
ˈɔ	ˈɑ	0.167
ˈɔ	ˈʊɪ̯	0.11
ˈɔ	ˈu	0.063
ˈɔʏ̯	ˈəɪ̯	0.618
ˈɔʏ̯	ˈe	0.242
ˈɔʏ̯	ˈi	0.095
ˈɛ	ˈə	0.377
ˈɛ	ˈiə̯	0.129
ˈɛ	ˈoː	0.129
ˈɛ	ˈu	0.129
ˈɛ	ˈɛ	0.095
ˈɛ	ˈiː	0.067
ˈɛ	ˈeː	0.052
ˈɛə̯	ˈaː	1.0
ˈɛɪ̯	ˈeː	0.385
ˈɛɪ̯	ˈəɪ̯	0.341
ˈɛɪ̯	ˈəɪ̯_ə	0.111
ˈɛɪ̯	ˈi	0.063
ˈɛː	ˈiː	0.259
ˈɛː	ˈiə̯	0.226
ˈɛː	ˈeː	0.171
ˈɛː	ˈɑ	0.115
ˈɛː	-	0.079
ˈɛː	ˈuə̯	0.074
ˈɪ	ˈɑ	0.352
ˈɪ	ˈə	0.264
ˈɪ	ˈe	0.144
ˈɪ	ˈiː	0.107
ˈɪ	ˈɛ	0.054
ˈʊ	ˈo	0.639
ˈʊ	ˈʊ	0.195
ˈʊ	ˈɔ	0.123
ˈʏ	ˈə	0.437
ˈʏ	ˈæːɪ̯	0.232
ˈʏ	ˈe	0.149
ˈʏ	ˈɑɪ̯	0.095
