Luxembourgish	Westphalian	probability
b	b	1.0
d	d	0.891
d	-	0.104
f	f	0.804
f	p	0.137
f	b	0.034
f	v	0.034
h	h	1.0
j	j	1.0
k	k	0.434
k	-	0.321
k	ɣ	0.196
kʰ	k	1.0
l	l	0.958
l	ɡ_l	0.046
m	m	0.974
m	v	0.039
n	n	0.845
n	-	0.154
p	p	1.0
s	t	0.561
s	s	0.416
s	z	0.036
t	t	0.431
t	d	0.415
t	-	0.153
tʰ	t	1.0
v	w	0.669
v	v	0.182
v	-	0.132
w	w	0.827
w	v	0.173
z	s	0.943
z	z	0.058
ŋ	ŋ	0.76
ŋ	n	0.175
ŋ	ɣ	0.058
ɐ	ɐ	0.75
ɐ	-	0.151
ɐ	ˈɔː	0.049
ɐ	ˈyː	0.044
ɕ	k	0.393
ɕ	ç	0.27
ɕ	x	0.241
ɕ	-	0.082
ɕ_t	ç	0.491
ə	-	0.82
ə	ɪ	0.081
ə	m	0.044
ə	ɐ	0.03
ə	ŋ	0.03
ɡ	x	0.91
ɡ	-	0.084
ʀ	r	0.871
ʀ	-	0.08
ʀ	z	0.046
ʃ	ʃ	0.827
ʃ	s	0.13
ʃ	x	0.039
ʦ	t	1.0
ˈaː	ˈa	0.421
ˈaː	ˈaʊ̯	0.215
ˈaː	ˈaː	0.103
ˈaː	ˈa_ɐ	0.095
ˈaː	ˈɔ	0.072
ˈe	ˈɪ	0.339
ˈe	ˈaɪ̯	0.194
ˈe	ˈʏ	0.194
ˈe	ˈøː	0.132
ˈe	ˈɪə̯	0.085
ˈeː	ˈeː	0.696
ˈeː	ˈɛ	0.112
ˈeː	ˈaɪ̯	0.095
ˈeː	ˈɪɛ̯	0.072
ˈi	ˈøː	0.251
ˈi	ˈaɪ̯	0.247
ˈi	ˈyːœ̯	0.163
ˈi	ˈɪə̯	0.142
ˈiə̯	ˈɪɛ̯	0.76
ˈiə̯	ˈiɛ̯	0.239
ˈiː	ˈɛ	0.187
ˈiː	ˈɪɛ̯	0.187
ˈiː	ˈɛː	0.163
ˈiː	ˈɪə̯	0.114
ˈiː	ˈɪ	0.114
ˈo	ˈʊ	0.551
ˈo	ˈuːə̯	0.254
ˈo	ˈʏ	0.168
ˈoː	ˈɔː	0.808
ˈoː	ˈɛ	0.101
ˈoː	ˈaː	0.071
ˈu	ˈoː	0.47
ˈu	ˈa	0.114
ˈu	ˈɔː	0.11
ˈu	ˈuə̯	0.11
ˈu	ˈuː	0.08
ˈuə̯	ˈa	0.484
ˈuə̯	ˈɒː	0.242
ˈuə̯	ˈuːə̯	0.148
ˈuə̯	ˈɪə̯	0.062
ˈuː	w	0.574
ˈuː	ˈɔ	0.282
ˈuː_ɐ	ˈuːə̯	0.491
ˈæ	ˈa	0.5
ˈæ	ˈaʊ̯	0.5
ˈæɪ̯	ˈiː	1.0
ˈæːɪ̯	ˈiː	0.693
ˈæːɪ̯	ˈyː	0.129
ˈæːɪ̯	ˈaɪ̯	0.093
ˈæːɪ̯	ˈɪ	0.069
ˈæːʊ̯	ˈuː	0.583
ˈæːʊ̯	ˈʊ	0.398
ˈɑ	ˈa	0.449
ˈɑ	ˈɪ	0.371
ˈɑ	ˈɔ	0.108
ˈɑ	ˈɛ	0.062
ˈɑɪ̯	ˈiː	0.549
ˈɑɪ̯	ˈuː	0.174
ˈɑɪ̯	ˈyː	0.16
ˈɔ	ˈʊ	0.594
ˈɔ	ˈuː	0.392
ˈə	ˈɪ	0.309
ˈə	ˈiː	0.157
ˈə	ˈʏ	0.136
ˈə	ˈyə̯	0.078
ˈə	ˈø	0.078
ˈəɪ̯	ˈaɪ̯	0.446
ˈəɪ̯	ˈøː	0.163
ˈəɪ̯	ˈœː	0.136
ˈəɪ̯	ˈaʊ̯	0.056
ˈəɪ̯	ˈiː	0.056
ˈəʊ̯	ˈaʊ̯	0.585
ˈəʊ̯	ˈoː	0.135
ˈəʊ̯	ˈɔː	0.134
ˈɛ	ˈɪ	0.37
ˈɛ	ˈɛ	0.24
ˈɛ	ˈɪɛ̯	0.209
ˈɛː	ˈɛː	0.644
ˈɛː	ˈɪɛ̯	0.24
ˈʊ	ˈoː	0.608
ˈʊ	ˈʊ	0.197
ˈʊ	ˈuə̯	0.068
ˈʊɪ̯	ˈɔ	1.0
χ	k	0.533
χ	x	0.454
