Lombard	Corsican	probability
a	a	0.929
ã	ŋ	0.659
ã	m	0.341
b	b	0.954
d	d	0.591
d	t	0.306
d	n	0.057
e	-	0.209
e	e	0.198
e	a	0.16
e	u	0.16
e	i	0.156
e	ˈɛ	0.117
ẽ	u	1.0
f	f	0.734
f	v	0.11
f	-	0.056
f	v_u	0.052
i	i	0.478
i	e	0.251
i	u	0.146
i	a	0.124
ĩ	i	0.651
ĩ	a	0.349
j	j	0.497
j	t	0.198
j	-	0.11
k	k	0.908
k	ɡ	0.055
l	l	0.883
l	l_u	0.082
m	m	0.958
n	n	0.945
n	ŋ	0.055
o	u	1.0
p	p	0.85
p	p_u	0.072
r	r	0.933
s	s	0.631
s	ʧ_e	0.144
s	ʃ	0.065
s	-	0.059
t	t	0.482
t	t_u	0.195
t	t_e	0.089
t	d	0.064
t	n_t	0.06
t	t_t	0.051
u	u	0.446
u	ˈɔ	0.237
u	o	0.217
u	e	0.1
ũ	u	1.0
v	v	1.0
w	w	1.0
y	u	1.0
z	ʒ	0.44
z	ʧ	0.44
z	z	0.085
ɛ	e	0.817
ɛ	ˈɛ	0.183
ɡ	ɡ	0.687
ɡ	-	0.139
ɡ	v	0.087
ɡ	k	0.053
ɲ	ɲ	0.704
ɲ	n	0.296
ʃ	ʧ	0.592
ʃ	ʃ	0.213
ʃ	ʒ	0.195
ʋ	v	0.746
ʋ	-	0.254
ʤ	ɟ	0.797
ʤ	c	0.098
ʤ	ʤ	0.084
ʦ	ʧ	0.337
ʦ	ʦ	0.2
ʦ	ʣ	0.137
ʦ	ɟ	0.12
ʦ	t	0.113
ʦ	k	0.059
ʧ	ʧ	0.272
ʧ	c_u	0.184
ʧ	ɟ	0.133
ʧ	t_t	0.124
ʧ	c	0.124
ʧ	k	0.055
ʧ	t_e	0.054
ʧ	d	0.053
ˈa	ˈa	0.943
ˈaː	ˈa	0.882
ˈaː	a	0.118
ˈãː	ˈa_n	0.729
ˈãː	ˈa_ŋ	0.164
ˈãː	ŋ	0.083
ˈe	ˈɛ	0.494
ˈe	ˈe	0.444
ˈe	ˈa	0.063
ˈeː	ˈɛ	0.438
ˈeː	ˈe	0.383
ˈeː	j	0.179
ˈẽː	ˈɛ_n	0.435
ˈẽː	ŋ	0.265
ˈẽː	ˈɛ	0.171
ˈẽː	ˈa_n	0.129
ˈi	ˈi	0.589
ˈi	e	0.224
ˈi	ˈu	0.094
ˈi	ˈi_ʎ	0.064
ˈiː	ˈi	1.0
ˈĩː	ˈi_n	0.504
ˈĩː	ˈi	0.496
ˈo	ˈɔ	1.0
ˈu	ˈɔ	0.709
ˈu	ˈo	0.218
ˈu	ˈu	0.073
ˈuː	ˈɔ	0.647
ˈuː	ˈa	0.353
ˈũː	ˈo_n	0.47
ˈũː	n_u	0.193
ˈũː	ˈu	0.16
ˈũː	ˈo	0.14
ˈy	ˈu	0.847
ˈy	u	0.077
ˈy	ˈɛ	0.051
ˈyː	ˈɔ	0.533
ˈyː	ˈo	0.281
ˈyː	ˈu	0.186
ˈỹː	ˈu	1.0
ˈø	ˈo	0.615
ˈø	ˈɔ	0.385
ˈøː	ˈɔ	0.881
ˈøː	ˈo	0.119
ˈɔ	ˈɔ	0.684
ˈɔ	ˈo	0.216
ˈɔ	ˈɛ	0.07
ˈɛ	ˈe	0.474
ˈɛ	ˈɛ	0.452
ˈɛ	ˈɛ_r	0.074
ˈɛ̃ː	ˈɛ	1.0
ˈˈi	e	1.0
