Standard German	Standard German	probability
ˈɛː	ˈɑː	1.0
ˈœ	-	1.0
ˈøː	ˈʊə̯	1.0
ˈoː_t	ˈoː	1.0
ˈa_l	ˈœu̯	1.0
ʦ	t	1.0
ʃ_t	s_t	1.0
ʁ	r	1.0
ɪ	ə	1.0
ɡ̊	χ	1.0
ɡ_ʁ	χ_r	1.0
ɡ_n	n	1.0
ə_n_#>	#>	1.0
ə_#>	#>	1.0
ɐ_#>	#>	1.0
ŋ	ŋ	1.0
ç_t	χ	1.0
z̥	s	1.0
z	s	1.0
x_t	χ	1.0
v_ˈɪ	v	1.0
v	v	1.0
tʰ	d	1.0
t_n	d̥	1.0
s_t	s	1.0
p͡f	p	1.0
m	m	1.0
l_#>	ɫ_#>	1.0
l	ɫ	1.0
kʰ	k	1.0
k_s	s	1.0
k_n	k	1.0
k_#>	k_#>	1.0
k	χ	1.0
j	j	1.0
h	ɦ	1.0
f_n	p	1.0
f_#>	p_#>	1.0
eː	i	1.0
d̥	d̥	1.0
d_ɐ	r	1.0
d_n	d̥	1.0
d	d	1.0
b̥_#>	v̥_#>	1.0
a	-	1.0
<#_ʁ	<#_r	1.0
<#_n	<#_n	1.0
#>	v̥_#>	1.0
ɡ	χ	0.895
f	v̥	0.875
ˈɪ	ˈə	0.87
ˈiː	ˈi	0.857
s	t	0.842
ˈuː	ˈu	0.818
b	b	0.808
ˈʊ	ˈɔ	0.75
ˈa	ˈa	0.735
ɐ	r	0.727
ʃ	s	0.72
ˈyː	ˈu	0.667
ˈoː	ˈʊə̯	0.667
ç	k	0.667
n	n	0.636
ˈʏ	ˈœ	0.625
ə	ə	0.625
ˈaɪ̯	ˈəɪ̯	0.556
x	k	0.556
ˈɔ	ˈɔ	0.55
ˈaː	ˈɑː	0.524
t	d̥	0.48
ˈeː	ˈɪə̯	0.455
ˈaʊ̯	ˈœɪ̯	0.444
x	χ	0.444
ˈɔʏ̯	ˈœɪ̯	0.429
ˈʏ	-	0.375
ə	-	0.375
ˈeː	ˈi	0.364
ˈɔ	ˈʊə̯	0.35
ˈyː	-	0.333
ˈaʊ̯	ˈʊə̯	0.333
ˈaɪ̯	ˈɪə̯	0.296
ˈɔʏ̯	ˈyː	0.286
ˈɔʏ̯	ˈi	0.286
ˈaː	ˈa	0.286
n	-	0.286
ʃ	s_k	0.28
ɐ	ə_r	0.273
t	t	0.24
ˈɛ	ˈɪə̯	0.222
ˈɛ	ˈɛ	0.222
ˈɛ	ˈæ	0.222
ˈa	ˈɑː	0.206
b	-	0.192
ˈuː	ˈu_j	0.182
ˈeː	ˈɑː	0.182
ˈoː	ˈɪø̯	0.167
ˈoː	ˈɑː	0.167
ç	χ	0.167
ç	ŋ	0.167
t	-	0.16
s	s	0.158
ˈaɪ̯	-	0.148
ˈiː	-	0.143
ˈɪ	ˈæ	0.13
ˈʊ	r	0.125
ˈʊ	-	0.125
t	d_ə	0.12
ˈɛ	ˈæː	0.111
ˈɛ	ˈa	0.111
ˈɛ	-	0.111
ˈaʊ̯	ˈœu̯	0.111
ˈaʊ̯	-	0.111
ɡ	-	0.105
ˈɔ	-	0.1
ˈaː	ˈɛː	0.095
ˈaː	-	0.095
f	p	0.062
f	-	0.062
ˈa	-	0.059
n	ə_ŋ	0.052
