Nynorsk Norwegian	West Frisian	probability
b	b	1.0
d	d	0.692
d	d̥	0.211
d	-	0.097
e	ə	0.812
e	-	0.171
f	f	1.0
h	h	1.0
j	-	0.475
j	j	0.242
j	ɡ	0.132
j	l	0.071
jː	z	0.802
jː	ˈɔu̯	0.198
k	k	0.939
k	χ	0.052
kʰ	k	1.0
l	l	0.997
lː	d̥	0.537
lː	l	0.383
lː	r	0.08
m	m	0.925
m	-	0.075
mː	m	1.0
n	n	0.941
n	-	0.059
nː	n	0.768
nː	-	0.232
p	p	1.0
pʰ	p	1.0
s	s	0.931
sː	s	1.0
t	t	0.988
tʰ	t	0.638
tʰ	d	0.185
tʰ	ʦ	0.09
tʰ	b	0.086
tː	t	1.0
v	ʋ	1.0
ŋ	ɪ	1.0
ŋː	ŋ	0.982
ɑ	ə	0.88
ɑ	-	0.104
ɕ	k	0.47
ɕ	ʦ	0.4
ɕ	t	0.13
ɕː	t	0.668
ɕː	k	0.332
ə	ə	0.861
ə	j	0.139
ɛ	ə	0.73
ɛ	-	0.27
ɡ	ɡ	0.329
ɡ	-	0.251
ɡ	χ	0.173
ɡ	k	0.167
ɡ	ɣ	0.08
ɡː	χ	0.597
ɡː	ɣ	0.297
ɡː	j	0.106
ɲ	ŋ	1.0
ɾ	r	0.83
ɾ	-	0.136
ʃ	s	0.986
ʉ	-	1.0
ʋ	v	0.457
ʋ	ʋ	0.308
ʋ	-	0.122
ʋ	f	0.106
ʰkː	k	1.0
ʰpː	p	1.0
ʰtː	χ	0.703
ʰtː	t	0.297
ˈeː	ˈɪ	0.246
ˈeː	ˈɛ	0.205
ˈeː	ˈaː	0.14
ˈeː	ˈɪə̯	0.135
ˈeː	ˈi	0.108
ˈeː	ˈeː	0.061
ˈeː	ˈiː	0.061
ˈiː	ˈi	0.438
ˈiː	ˈiː	0.252
ˈiː	ˈiə̯	0.082
ˈiː	ˈɪ	0.076
ˈiː	ˈɔu̯	0.074
ˈoː	ˈiə̯	0.325
ˈoː	ˈoə̯	0.213
ˈoː	ˈaː	0.182
ˈoː	ˈɪə̯	0.08
ˈoː	ˈuə̯	0.072
ˈoː	ˈɔ	0.068
ˈuː	ˈuə̯	0.493
ˈuː	ə	0.209
ˈuː	ˈoː	0.087
ˈuː	ˈoə̯	0.079
ˈuː	ˈɔ	0.067
ˈuː	ˈaː	0.065
ˈyː	j	0.682
ˈyː	ˈiə̯	0.212
ˈyː	ˈuː	0.063
ˈæ	ˈɛ	1.0
ˈæɪ̯	ˈiə̯	0.491
ˈæɪ̯	ˈɪ	0.191
ˈæɪ̯	ˈi	0.069
ˈæɪ̯	ˈɛi̯	0.064
ˈæɪ̯	ˈaː	0.054
ˈæɪ̯	ˈeː	0.054
ˈæʉ̯	ˈɪə̯	0.894
ˈæʉ̯	ˈeː	0.065
ˈæː	ˈaː	0.527
ˈæː	ˈɛi̯	0.301
ˈæː	ˈø	0.172
ˈøː	ˈiə̯	0.379
ˈøː	ˈɪə̯	0.24
ˈøː	ˈeː	0.115
ˈøː	ˈu̯o	0.099
ˈøː	ˈɪ	0.098
ˈøː	ˈi	0.069
ˈœ	ˈɔ	0.365
ˈœ	ˈɪə̯	0.249
ˈœ	ˈɛ	0.162
ˈœ	ˈoə̯	0.124
ˈœ	ˈyː	0.101
ˈœʏ̯	ˈɪə̯	1.0
ˈɑ	ˈa	0.359
ˈɑ	ˈɔː	0.184
ˈɑ	ˈaː	0.119
ˈɑ	ˈɛː	0.116
ˈɑ	ˈɪə̯	0.086
ˈɑː	ˈa	0.389
ˈɑː	ˈaː	0.23
ˈɑː	ˈɛː	0.225
ˈɑː	ˈɪə̯	0.066
ˈɑː	ˈoə̯	0.051
ˈɔ	ˈoə̯	0.616
ˈɔ	ʋ	0.144
ˈɔ	ˈɔ	0.067
ˈɔ	ˈi	0.055
ˈɔ	ˈa	0.055
ˈɛ	ˈɛ	0.352
ˈɛ	ˈɪ	0.172
ˈɛ	ˈa	0.12
ˈɛ	ˈøə̯	0.11
ˈɛ	ˈiː	0.07
ˈɛ	ˈaː	0.068
ˈɛ	ˈɛi̯	0.057
ˈɪ	ˈɪ	0.549
ˈɪ	ˈiː	0.233
ˈɪ	ˈi	0.186
ˈʉ	ˈuː	0.356
ˈʉ	ˈu	0.275
ˈʉ	ˈɔ	0.2
ˈʉ	ʋ_ˈɔ	0.086
ˈʉ	ˈɪ	0.058
ˈʉː	ˈuː	0.265
ˈʉː	ˈɪə̯	0.17
ˈʉː	ˈoː	0.135
ˈʉː	ˈiː	0.097
ˈʉː	ˈɪ	0.074
ˈʉː	ˈuə̯	0.068
ˈʊ	ˈoə̯	0.575
ˈʊ	ˈɪ	0.302
ˈʊ	ˈeː	0.123
ˈʏ	ˈɪ	0.399
ˈʏ	ˈɔ	0.134
ˈʏ	ˈɛː	0.11
ˈʏ	ˈɛ	0.088
ˈʏ	ˈoə̯	0.063
ˈʏ	-	0.057
ˈʏ	ˈø	0.052
