Old West Norse	Ripuarian	probability
θ	d	1.0
ˈɔː	ˈoː	1.0
ˈɔ	ˈa	1.0
ˈɒu̯	ˈuː	1.0
ˈøy̯	-	1.0
ˈyː_r̥	ˈøʏ̯	1.0
ˈuː_ɣ	j	1.0
ˈo_r	ˈoː	1.0
ˈa	-	1.0
ʦ	t	1.0
ʝː	ɣ	1.0
ɾ	ɐ	1.0
ɡː	k	1.0
ɟː	-	1.0
ɑː	e	1.0
ŋ	ŋ	1.0
ç	h	1.0
x_w	ʋ	1.0
v_ˈi	ʋ	1.0
v_r̥	v_ɐ	1.0
tː_r̥	ɕ	1.0
tʰ	ʦ	1.0
s_k	ʃ	1.0
s_c	ʃ	1.0
r̥ː	ʀ	1.0
r_ð	d̥	1.0
r_t	ʦ	1.0
r_n	n	1.0
pː	p	1.0
pʰ	p	1.0
n̥	n	1.0
n_d	ŋ	1.0
m	m	1.0
l̥	l	1.0
lː	ɫ	1.0
kː	k	1.0
kʰ	k	1.0
j_ˈɑ	ˈɛ	1.0
j_ˈuː	ˈeː	1.0
j_ˈoː	ˈeː	1.0
j_ɑ	ə	1.0
j	ˈeː	1.0
i_r̥	t_ɐ	1.0
i_r	ɐ	1.0
i	-	1.0
h	h	1.0
f_r̥	v̥	1.0
f	f	1.0
e	ˈɪ_n	1.0
d_r̥	ɡ̊	1.0
cː	k	1.0
cʰ	k	1.0
b	b	1.0
a	ə	1.0
ɑ	ə	0.877
ˈɛi̯	ˈeː	0.775
r	ʀ	0.771
ˈøː	ˈøː	0.741
k	ɕ	0.729
n	n	0.718
t	s	0.711
d	d	0.676
u	-	0.667
ˈeː	-	0.661
ˈuː	ˈuː	0.644
c	k	0.638
ˈyː	ˈyː	0.636
ɟ	j	0.63
ɡ	-	0.628
ˈɛː	ˈiː	0.626
ˈi	ˈe	0.614
ˈoː	ˈoː	0.607
ˈu	ˈo	0.606
r̥	ɐ	0.606
ɡ_r̥	ɡ̊	0.6
v	ʋ	0.57
s	z	0.525
p	p	0.524
ɣ	ɕ	0.512
j_ˈɔ	ˈɛ	0.51
tː	ʦ	0.506
l	l	0.501
ˈɛ	ˈe	0.5
ˈɛ	-	0.5
l	ɫ	0.499
tː	x	0.494
j_ˈɔ	ˈɛː	0.49
ð	d̥	0.476
p	f	0.476
ˈo	ˈo	0.449
ð	d	0.441
nː	n	0.441
ˈɑː	ˈɔː	0.428
ˈɑ	ˈa	0.408
ˈiː	ˈiː	0.406
ɡ_r̥	ɐ	0.4
r̥	-	0.394
ˈoː	-	0.393
ˈɑu̯	-	0.389
ˈy	-	0.385
ˈiː	-	0.376
ˈɛː	-	0.374
ɡ	ɕ	0.372
ɟ	-	0.37
ˈyː	-	0.364
c	ʃ	0.362
ˈeː	ˈiː	0.339
u	ɪ	0.333
ˈɑː	-	0.327
ˈo	-	0.309
ɣ	-	0.309
ˈɑu̯	ˈɔʊ̯	0.305
ˈɑu̯	ˈuː	0.305
nː	-	0.299
ˈe	ˈɛː	0.297
s	ʃ	0.285
nː	ŋ	0.26
ˈøː	-	0.259
ˈy	ˈœ	0.242
ˈo	ˈɔ	0.242
ˈe	-	0.241
ˈu	-	0.234
v	v	0.231
d	d̥	0.229
ˈy	ˈe	0.227
n	ŋ	0.226
ˈɛi̯	ˈeɪ̯	0.225
ˈiː	ˈɪ	0.218
ˈi	ˈɪ	0.216
ˈɑ	ˈaː	0.2
ˈɑ	ˈɛ	0.197
ˈɑ	-	0.196
t	t	0.193
ˈuː	ˈɔʊ̯	0.188
ˈe	ˈaː	0.179
ɣ	ɣ̊	0.179
ˈe	ˈɛ	0.17
ˈuː	-	0.168
k	x	0.162
ˈɑː	ˈaː	0.148
ˈy	ˈy	0.146
v	v̥	0.14
ˈi	-	0.131
ɑ	-	0.123
s	-	0.119
ˈe	ˈe_ŋ	0.113
k	-	0.109
r	ɐ	0.108
ˈu	ˈœ	0.107
ˈɑː	ˈiː	0.097
t	ʦ	0.096
d	ɡ̊	0.096
r	-	0.094
ð	ɡ̊	0.084
s	ˈœ_n	0.071
v	ə_f	0.06
n	ə	0.056
ˈu	ˈu	0.053
