Logudorese	Logudorese	probability
β_ɛ	v	1.0
β_a	ẽ	1.0
ˈɛ_n	ˈẽ	1.0
ˈɔ_ɾ	ˈɔ_r	1.0
ˈɔ_ɛ	ˈøː_f	1.0
ˈɔ_n	ˈũ	1.0
ˈo_u	ˈøː_f	1.0
ˈo_s	ˈɔ_s	1.0
ˈi_n	ˈĩ	1.0
ˈe_n	ˈẽ	1.0
ˈa_n	ˈã	1.0
ʦ_a	s_a	1.0
ʃ	s	1.0
ɾ_ˈa	r	1.0
ɾ_ʦ	l_s	1.0
ɾ_u	r	1.0
ɲ	ɲ	1.0
ɣ_ɛ	s	1.0
ɣ_u	k	1.0
ɡ	ɡ	1.0
ɛ̆	-	1.0
ɛ_#>	#>	1.0
ɖː	l	1.0
ɔ̆	-	1.0
ð_ɛ_#>	#>	1.0
ð_u	t	1.0
ð_a	d_a	1.0
z_u	s	1.0
u_z_ŭ_#>	#>	1.0
u_#>	#>	1.0
t	t	1.0
s_k	s	1.0
s	s	1.0
r_u	r_n	1.0
r	r	1.0
p	p	1.0
o	-	1.0
n_ʣ	ɲ	1.0
n_u_#>	#>	1.0
m_i_n_ɛ_#>	m_#>	1.0
l	l	1.0
k_ɾ	ʧ	1.0
j_u	ʧ	1.0
i_ɣ	d	1.0
i_ð	t	1.0
f	f	1.0
d	-	1.0
a_ð	ɛ	1.0
a_z_ă_#>	#>	1.0
a_l	a_l	1.0
a_#>	#>	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʣ	<#_ʒ	1.0
<#_ɾ	<#_r	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_i	<#	1.0
<#_d	<#_d	1.0
a	a	0.95
ɾ_ɛ_#>	#>	0.926
m	m	0.875
k	k	0.829
ɾ	r	0.795
ˈe	ˈɛ	0.778
n	n	0.75
e	e	0.75
ɔ	-	0.625
i	e	0.6
ʣ	-	0.571
j	-	0.545
β	v	0.5
β	-	0.5
ð	t	0.5
ð	d	0.5
z	z	0.5
z	-	0.5
t_u	ʧ	0.5
t_u	s	0.5
nː	ɲ	0.5
nː	n	0.5
#>	l_#>	0.5
#>	a_#>	0.5
ˈa	ˈa	0.491
u	-	0.462
ˈa	ˈɑː	0.453
ʣ	j	0.429
ɛ	-	0.391
b	b	0.39
ˈɛ	ˈɛ	0.375
ˈɛ	ˈeː	0.375
ˈu	ˈyː	0.375
ɔ	u	0.375
b	v	0.317
ɛ	e	0.304
ˈi	ˈiː	0.286
j	j	0.273
ˈɔ	ˈɔ	0.263
ˈo	ˈɔ	0.25
ˈo	ˈøː	0.25
ˈo	ˈu	0.25
ˈo	-	0.25
e	i	0.25
u	y	0.231
ˈi	ˈi	0.229
ˈe	-	0.222
ˈu	ˈu	0.219
ˈɔ	ˈøː	0.211
ɣ	ʧ	0.2
ɣ	ʤ	0.2
ɣ	ɡ	0.2
ɣ	d	0.2
ɣ	-	0.2
i	i	0.2
i	-	0.2
ˈu	ˈuː	0.188
j	v	0.182
ˈi	ˈeː	0.171
k	ʧ	0.171
ˈɛ	ˈe	0.167
ˈɔ	ˈu	0.158
ˈɔ	-	0.158
ˈu	-	0.156
ɾ	j	0.154
u	r	0.154
u	l	0.154
n	-	0.15
ɛ	f	0.13
m	-	0.125
b	ɡ	0.122
ˈi	ˈɛ	0.114
ˈɔ	ˈyː	0.105
ˈɔ	u	0.105
n	ˈũ	0.1
ɛ	ˈɛ	0.087
ɛ	ˈi	0.087
ˈi	ˈe	0.086
ˈɛ	-	0.083
ɾ_ɛ_#>	ˈɛ_#>	0.074
b	-	0.073
ˈu	ˈy	0.062
ˈi	j	0.057
ˈi	-	0.057
ˈa	ˈã	0.057
ɾ	r_t	0.051
