Bavarian	North Frisian	probability
a	ə_r	0.477
a	ə	0.327
a	-	0.091
b̥	b	0.722
b̥	-	0.126
b̥	f	0.079
b̥	v	0.074
d	dʲ	1.0
d̥	d	0.452
d̥	-	0.217
d̥	t	0.167
d̥	dʲ	0.117
eɐ̯	ɛi̯	1.0
f	f	0.604
f	p	0.233
f	v_ə	0.088
h	h	1.0
i	i	0.6
i	lʲ	0.4
j	l	0.825
j	j	0.081
j	lʲ	0.077
k	k	0.642
k	j	0.342
kʰ	k	0.751
kʰ	ʃ	0.146
kʰ	s	0.06
l	l	0.898
l	j	0.057
m	m	0.75
m	-	0.196
m	n	0.054
n	n	0.461
n	ə	0.331
n	-	0.167
p	p	0.669
p	-	0.331
p͡f	p	0.65
p͡f	d	0.35
r	r	0.948
s	s	0.6
s	tʲ	0.114
s	z	0.094
s	t	0.092
t	d	0.458
t	t	0.329
t	-	0.134
x	x	0.582
x	k	0.372
ç	k	1.0
ŋ	ŋ	0.917
ɐ	r	0.88
ɐ	-	0.12
ə	-	0.643
ə	ə	0.357
ɡ̊	ɡ	0.341
ɡ̊	j	0.299
ɡ̊	-	0.29
ɡ̊	w	0.06
ɪ	i	1.0
ʃ	ʃ	0.536
ʃ	s	0.464
ʋ	v	0.956
ʦ	t	1.0
ˈa	ˈa	0.284
ˈa	ˈʊ	0.222
ˈa	ˈœ	0.169
ˈa	ˈɛi̯	0.169
ˈa	ˈuː	0.126
ˈai̯	ˈi	0.309
ˈai̯	ˈyː	0.195
ˈai̯	w	0.114
ˈai̯	ˈiː	0.1
ˈai̯	ˈai̯	0.065
ˈai̯	j	0.061
ˈai̯	ˈa	0.053
ˈau̯	ˈyː	0.527
ˈau̯	ˈøː	0.324
ˈau̯	ˈuː	0.149
ˈaː	ˈuː	0.582
ˈaː	ˈɔː	0.285
ˈaː	ˈiː	0.071
ˈaː	ˈa	0.062
ˈe	ˈa	0.224
ˈe	ˈeː	0.193
ˈe	ˈøː	0.178
ˈe	ˈiː	0.151
ˈe	ˈʊ	0.088
ˈe	ˈyː	0.083
ˈe	ˈɛː	0.083
ˈeɐ̯	ˈiː	0.748
ˈeɐ̯	ˈɛi̯	0.252
ˈeː	ˈeː	0.38
ˈeː	ˈi	0.241
ˈeː	ˈuː	0.143
ˈeː	ˈɛː	0.117
ˈeː	ˈiː	0.072
ˈi	ˈi	0.253
ˈi	ˈiː	0.164
ˈi	ˈai̯	0.116
ˈi	ˈʊ	0.108
ˈi	ˈeː	0.103
ˈi	ˈɛ	0.062
ˈi	ˈœ	0.056
ˈi	ˈɔ	0.052
ˈiɐ̯	ˈiː	0.491
ˈiɐ̯	ˈɛ	0.252
ˈiɐ̯	ˈɒ	0.214
ˈiː	ˈɔː	0.487
ˈiː	ˈiː	0.403
ˈiː	ˈa	0.11
ˈo	ˈœ	0.188
ˈo	ˈɒ	0.187
ˈo	ˈʊ	0.126
ˈo	ˈeː	0.098
ˈo	ˈaː	0.095
ˈo	ˈɔ	0.093
ˈo	ˈyː	0.088
ˈo	ˈʏ	0.079
ˈou̯	ˈuː	0.728
ˈou̯	ˈyː	0.272
ˈoɐ̯	ˈɔ_r	0.252
ˈoɐ̯	ˈiː	0.198
ˈoɐ̯	ˈuː	0.153
ˈoɐ̯	ˈɛː_r	0.144
ˈoɐ̯	ˈɔi̯	0.077
ˈoɐ̯	ˈyː	0.056
ˈoː	ˈɔu̯	0.372
ˈoː	ˈɛi̯	0.178
ˈoː	ˈeː	0.17
ˈoː	ˈɒː	0.145
ˈoː	-	0.068
ˈoː	ˈøː	0.067
ˈu	ˈʊ	0.322
ˈu	ˈyː	0.193
ˈu	ˈiː	0.122
ˈu	ˈɔː	0.094
ˈu	ˈɛi̯	0.079
ˈuɐ̯	ˈœ	0.529
ˈuɐ̯	ˈɛ	0.291
ˈuɐ̯	ˈɔu̯	0.165
ˈy	ˈɔu̯	1.0
ˈɑː	ˈɛi̯	1.0
ˈɒ	ˈa	0.363
ˈɒ	ˈɒː	0.285
ˈɒ	ˈɔː	0.193
ˈɒ	ˈʊ	0.159
ˈɒː	ˈɒ	0.368
ˈɒː	ˈɛː	0.191
ˈɒː	ˈiː	0.188
ˈɒː	ˈɔː	0.17
ˈɒː	ˈɒː	0.082
ˈɔ	ˈɔː	0.24
ˈɔ	ˈœ	0.239
ˈɔ	ˈɒ	0.188
ˈɔ	ˈɔu̯	0.144
ˈɔ	ˈyː	0.108
ˈɔ	ˈɛi̯	0.081
ˈɛ	ˈœ	0.319
ˈɛ	ˈa	0.195
ˈɛ	ˈɛː	0.136
ˈɛ	ˈeː	0.126
ˈɛ	ˈɛ	0.117
ˈɛ	ˈɔː	0.059
ˈɛː	ˈiː	1.0
ˈʏ	ˈa	0.5
ˈʏ	ˈeː	0.5
