Latin	Latin	probability
ˈɛ̃ː	ˈiː	1.0
ˈɛ_t	ˈiː	1.0
ˈɔ_w	ˈuː	1.0
ˈɔ_r	w_ˈa	1.0
ˈɔ_n	ˈɔ̃	1.0
ˈɔ_lʲː	ˈoː	1.0
ˈɔ_k	ˈøː	1.0
ˈu	-	1.0
ˈoː_t	ˈɔ	1.0
ˈoː_s	ˈɔ	1.0
ˈoː_n	ˈɔ̃	1.0
ˈoe̯	w	1.0
ˈiː_r	ˈi	1.0
ˈiː_n	ˈẽ	1.0
ˈiː_lʲː	ˈɛ_j	1.0
ˈiː_k	ˈi	1.0
ˈiː_b	ˈiː	1.0
ˈe	j_ˈu	1.0
ˈae̯	ˈiː	1.0
ˈa_r	ˈe	1.0
ˈa_p	ˈiː_f	1.0
ˈa_n	ˈɑ̃	1.0
ʊ̃ː_#>	#>	1.0
ʊ̃ː	ˈa	1.0
ɪ̃	-	1.0
ɪ_d	ˈɛ	1.0
ɪ	-	1.0
ɡʷ	-	1.0
ɛ̃ː_#>	#>	1.0
ɛ̃ː	ˈɛ	1.0
ɛ̃	-	1.0
ɛ_r	ʀ	1.0
ɛ_n	n	1.0
ɛ_#>	#>	1.0
ɔ_n	ɔ̃	1.0
ŋ_n	ɲ	1.0
ŋ_k	ˈɔ̃	1.0
uː	-	1.0
u	-	1.0
tː	t	1.0
tʰ	-	1.0
t_ˈa	t_ˈa	1.0
t_ɛ̃ː	ʀ	1.0
t_r	ʀ	1.0
t_e	s	1.0
t_ãː_#>	#>	1.0
t_ãː	j	1.0
sː	-	1.0
s_k	ʃ	1.0
s_#>	#>	1.0
rː	-	1.0
r_#>	#>	1.0
nː	-	1.0
n_ʊ̃ː	ˈɛ̃	1.0
n_i	ɲ	1.0
n_e	ɲ	1.0
n_d	ɲ	1.0
n_ãː_#>	#>	1.0
n_ãː	n	1.0
mː	m	1.0
lʲː_ʊ̃ː	ˈa	1.0
lʲː	-	1.0
lʲ_i	j	1.0
lʲ	-	1.0
kː	ʧ	1.0
k_ˈa	ʧ	1.0
k_ʊ	j	1.0
k_s	ʃ	1.0
k_r	k_ʀ	1.0
k_i	ˈɛ	1.0
k_a	ʧ	1.0
j_ˈuː	ʤ	1.0
j	ʤ	1.0
ĩː	i	1.0
iː_ŋ	ẽ	1.0
iː	-	1.0
i_ʊ̃ː	ˈœ̃	1.0
i	-	1.0
h	-	1.0
f	f	1.0
eː	-	1.0
a_#>	#>	1.0
<#_ɫ	<#_l	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_r	<#_ʀ	1.0
<#_n	<#_n	1.0
<#_lʲ	<#_l	1.0
<#_a	<#_a	1.0
ãː_#>	#>	0.849
m	m	0.774
w	v	0.767
b	b	0.762
ŋ	-	0.75
ˈaː_r	ˈe	0.727
ˈɛ_n	ˈɛ̃	0.714
ʊ	-	0.714
p	p	0.714
aː	-	0.714
r	ʀ	0.672
ˈau̯	ˈoː	0.667
oː	-	0.636
t	-	0.61
ɫ	l	0.606
kʷ	k	0.6
ãː	w	0.6
<#	<#_a	0.6
s	s	0.579
ɔ	-	0.556
d	d	0.536
ˈɪ	w	0.5
ˈoː	ˈøː	0.5
ˈa_ɫ	ˈɔː	0.5
ˈa_ɫ	ˈoː	0.5
ɛ	-	0.5
ae̯	ɛ	0.5
ae̯	-	0.5
ˈeː	-	0.467
d	-	0.464
ɡ	-	0.458
a	a	0.455
ˈiː	ˈɛ	0.444
ɔ	ɔ	0.444
ãː	n	0.4
<#	<#_ɛ	0.4
ɫ	-	0.394
ˈuː	ˈy	0.375
ˈuː	-	0.375
ˈaː	-	0.375
ˈɔ	ˈɔ	0.368
oː	ɔ	0.364
k	-	0.362
ˈɪ	ˈɛ	0.357
ˈɛ	j	0.346
t	t	0.341
ˈau̯	-	0.333
ˈɔ	ˈuː	0.316
ˈoː	-	0.3
r	-	0.295
ˈʊ	-	0.294
ɡ	ʤ	0.292
ˈɛ_n	ˈẽ	0.286
ʊ	ɔ	0.286
aː	a	0.286
n	n	0.278
n	-	0.278
ˈaː_r	ˈiː	0.273
a	ɛ	0.273
ˈɛ	-	0.269
ˈeː	w	0.267
k	k	0.259
ˈuː	ˈøː	0.25
ˈaː	ˈe	0.25
ɡ	ɡ	0.25
ŋ	ˈɔ̃	0.25
ˈa	ˈɔː	0.241
b	-	0.238
ˈʊ	ˈɔ	0.235
ˈʊ	ˈuː	0.235
ˈʊ	ˈu	0.235
ɛ	ɛ	0.227
m	-	0.226
ˈiː	-	0.222
s	ʃ	0.211
s	-	0.211
ˈa	ˈa	0.207
k	ʧ	0.207
ˈoː	ˈɔ	0.2
kʷ	s	0.2
kʷ	-	0.2
p	-	0.19
a	ɔː	0.182
ˈa	ˈɛ	0.172
ˈa	w	0.172
w	-	0.167
ˈɛ	ˈiː	0.154
ˈɛ	j_ˈɛ	0.154
ˈɪ	-	0.143
ˈeː	ˈɛ	0.133
ˈeː	ˈi	0.133
ˈaː	ˈɛ̃	0.125
ˈaː	ˈɛ	0.125
ˈaː	l	0.125
ãː_#>	j_#>	0.113
ˈiː	ˈiː	0.111
ˈiː	ˈi	0.111
ˈiː	ˈẽ	0.111
n	ˈɛ̃	0.111
n	ˈɔ̃	0.111
n	ˈɑ̃	0.111
n	ˈẽ	0.111
ˈɔ	ɔ	0.105
ˈɔ	w	0.105
ˈɔ	-	0.105
ˈa	ˈɑ̃	0.103
ˈa	-	0.103
k	s	0.103
p	f	0.095
ɛ	ˈɛː	0.091
ɛ	ʀ	0.091
ɛ	a	0.091
a	ɛː	0.091
ˈɛ	ˈɛ	0.077
w	ˈuː	0.067
