Latin	Latin	probability
ˈyː	ˈi	1.0
ˈuː	ˈu	1.0
ˈu	-	1.0
ˈoː_s	ˈu_j	1.0
ˈoe̯	ˈe	1.0
ˈo	-	1.0
ˈĩː	ˈi	1.0
ˈiː_r	ˈi	1.0
ˈiː_k	ˈe_k	1.0
ˈiː	ˈi	1.0
ˈi	ˈi	1.0
ˈe	ˈi	1.0
ˈaː	ˈa	1.0
ˈau̯	ˈɔ	1.0
ˈae̯	ˈɛ	1.0
ˈa_r	ˈa	1.0
ʊ̃ː_#>	#>	1.0
ʊ̃ː	ə	1.0
ʊ_s	ə	1.0
ʊ	u	1.0
ɪ̃	ə	1.0
ɡʷ	ɡ	1.0
ɡ_ˈɛ	j_ˈe	1.0
ɡ_ɪ	dː	1.0
ɛ̃	ə	1.0
ɛ_ɫ	ə_l	1.0
ɛ_n	ə_n	1.0
ɛ_#>	#>	1.0
ŋ_ɡ	ɲː	1.0
ŋ_k	n	1.0
ŋ	ŋ	1.0
uː	ə	1.0
u	-	1.0
tː	tː	1.0
tʰ	t	1.0
t_ʊ̃ː	t_ə	1.0
t_r	t_ɾ	1.0
t_i	ʦː	1.0
sː	sː	1.0
s_p	ʃ_p	1.0
s_#>	#>	1.0
rː	rː	1.0
r_ʊ̃ː	ɾ_ə	1.0
r_t	ɾ_t	1.0
r_n	ɾ_n	1.0
r_k	r_k	1.0
p_ˈʊ	p_ˈu	1.0
p_ɫ	k_j	1.0
p_s	sː	1.0
oː	ə	1.0
o	-	1.0
nː	nː	1.0
n_i	ɲː	1.0
n_e	ɲː	1.0
n_d	nː	1.0
mː	mː	1.0
lʲː	lː	1.0
lʲ_i	ʎː	1.0
lʲ	l	1.0
k_ʊ̃ː	k_ə	1.0
k_ʊ	kː	1.0
k_t	tː	1.0
k_r	k_ɾ	1.0
ĩː	v	1.0
iː	i	1.0
i	-	1.0
fː	fː	1.0
f_ɫ	ʃ	1.0
f	f	1.0
eː	i	1.0
e	-	1.0
d_i	j	1.0
ãː	ə	1.0
ae̯	-	1.0
a_r	r	1.0
a	a	1.0
<#_ˈa	<#_ˈa	1.0
<#_ɫ	<#_l	1.0
<#_ɡ	<#	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_k	<#_k	1.0
<#_h	<#	1.0
<#	<#_w	1.0
#>	ə_#>	1.0
ˈa	ˈa	0.939
ɛ̃ː	ə	0.936
p	p	0.935
n	n	0.935
t	t	0.8
kː	kː	0.8
s	s	0.769
m	m	0.75
w	v	0.724
k_ɛ̃ː	ʃ_ə	0.714
ɛ	ə	0.7
ˈʊ	ˈu	0.688
ˈeː	ˈe	0.636
ɛ_r	ə_ɾ	0.636
aː	a	0.625
ˈoː	ˈo	0.615
s_k	ʃː	0.6
r	ɾ	0.592
kʷ	k	0.571
ɔ	-	0.556
d	d	0.538
ˈɪ	ˈi	0.524
ɫ	l	0.5
ɪ	-	0.5
k	ʃ	0.5
j	ʤ	0.5
j	j	0.5
ˈɛ	j_ˈɛ	0.485
ˈɔ	w_ˈɔ	0.485
ˈɛ	ˈɛ	0.455
ɔ	u	0.444
ɡ	ɡ	0.438
kʷ	ʃ	0.429
b	v	0.421
s_k	ʃ_k	0.4
ˈɔ	ˈɔ	0.394
ˈoː	ˈu	0.385
d	ɾ	0.385
ˈɪ	ˈe	0.381
aː	-	0.375
b	b	0.368
ˈeː	ˈi	0.364
ɛ_r	ə	0.364
ɫ	j	0.357
ˈʊ	ˈo	0.312
ɪ	i	0.312
k_ɛ̃ː	ə	0.286
ɡ	ʤ	0.25
b	-	0.211
kː	ʧː	0.2
k	k	0.2
ɪ	ə	0.188
ɡ	-	0.188
r	r	0.184
r	-	0.184
m	mː	0.156
s	ʃ	0.154
ɛ	i	0.15
ɛ	-	0.15
k	-	0.15
ɡ	ʤː	0.125
w	ˈɔ_v	0.103
w	-	0.103
t	ʦ	0.1
t	-	0.1
k	ʃː	0.1
ˈɪ	-	0.095
m	-	0.094
s	z	0.077
d	-	0.077
ɫ	w	0.071
ɫ	-	0.071
w	ˈɔ	0.069
p	-	0.065
n	nː	0.065
ɛ̃ː	-	0.064
ˈɛ	j	0.061
ˈɔ	ˈu	0.061
ˈɔ	ˈo	0.061
ˈa	-	0.061
