Štokavian	Čakavian	probability
ʨ	c	1.0
ʧ	ʧ	1.0
ʦ	ʦ	1.0
ʎ	l	1.0
ʋ	ʋ	1.0
ɲ	ɲ	1.0
ɡ_#>	k_#>	1.0
ɡ	ɡ	1.0
z	z	1.0
x	x	1.0
û	û	1.0
t	t	1.0
s	s	1.0
r̩̂ː	r̩̂	1.0
r̩̂	r̩̂	1.0
r	r	1.0
ǒ	o	1.0
ôː	ôː	1.0
ô	ô	1.0
n	n	1.0
l	l	1.0
k	k	1.0
j_ěː	iː	1.0
j_êː	îː	1.0
j_ê	î	1.0
j_e	î	1.0
ǐː	iː	1.0
îː	îː	1.0
î	î	1.0
êː	êː	1.0
ê	ê	1.0
eː	e	1.0
e	e	1.0
d_#>	t_#>	1.0
d	d	1.0
ǎː	aː	1.0
âː	âː	1.0
m	m	0.867
p	p	0.833
o	o	0.818
i	i	0.8
ûː	ûː	0.778
ě	e	0.75
â	â	0.75
ʒ	ʒ	0.714
a	a	0.629
b	b	0.625
o_#>	l_#>	0.5
o_#>	#>	0.5
j	j	0.5
b	p	0.375
a	â	0.314
ʒ	ʃ	0.286
j	ǐː	0.25
j	-	0.25
ě	ê	0.25
â	ǎː	0.25
ûː	ǔː	0.222
i	î	0.2
o	ô	0.182
p	-	0.167
m	n	0.133
a	ǎː	0.057
