Standard Croatian	Old Prussian	probability
̌	-	1.0
̂	-	1.0
ʧ	b_i	1.0
ʦ	-	1.0
ʒ	ɡ	1.0
ʎ	eː	1.0
ʃ	k_a	1.0
ɡ	ɡ	1.0
u_̂	a	1.0
s	s	1.0
r̩ː	r	1.0
r̩	i_r	1.0
p	p	1.0
oː	a	1.0
o_̂	ɡ	1.0
m	m	1.0
l	l	1.0
j_e	ai̯	1.0
iː	-	1.0
i_̂	u	1.0
eː_̂	i	1.0
e_̌	e	1.0
e_̂	e	1.0
b	b	1.0
aː	-	1.0
a_̂	a	1.0
e	-	0.879
r	r	0.834
z	z	0.822
t	t	0.813
d	d	0.675
ʋ	v	0.655
u	l	0.611
eː	iː	0.59
uː	-	0.581
n	n	0.561
x	u_s	0.534
k	k	0.504
j	-	0.502
i	oːu̯	0.501
i	o_n	0.499
k	-	0.496
x	s	0.466
o	a	0.438
uː	au̯	0.419
eː	e	0.41
u	aːu̯	0.389
a	o	0.335
n	n_a	0.302
a	e	0.299
o	o	0.284
o	-	0.278
j	a	0.254
j	j	0.244
a	-	0.231
d	n	0.204
z	-	0.178
ʋ	v_i	0.17
r	-	0.166
n	-	0.137
a	a	0.134
t	n_t	0.133
e	e	0.121
d	-	0.121
ʋ	w	0.118
ʋ	au̯	0.058
t	s	0.054
