Upper Sorbian	Czech	probability
<#_d	<#_d	1.0
<#_j	<#_j	1.0
<#_k	<#_k	1.0
<#_l	<#_l	1.0
<#_m	<#_m	1.0
<#_mʲ	<#_m	1.0
<#_n	<#_n	1.0
<#_p	<#_p	1.0
<#_pʲ	<#_p	1.0
<#_s	<#_s	1.0
<#_t	<#_t	1.0
<#_x	<#_x	1.0
<#_z	<#_z	1.0
<#_ɥ	<#_v	1.0
<#_ɦ	<#_ɦ	1.0
<#_ʀ	<#_r	1.0
<#_ʒ	<#_ʒ	1.0
<#_ʤ	<#_d	1.0
a	ɛ	1.0
a_#>	a	1.0
b	b	1.0
bʲ	b	1.0
e	ˈɛ	1.0
i	ɪ	1.0
k	k	1.0
k_#>	k_#>	1.0
k_a	k_a	1.0
kʲ_i	k_iː	1.0
l	l	1.0
l_#>	l_#>	1.0
mʲ	m	1.0
n	n	1.0
p	p	1.0
p_#>	p_#>	1.0
s	s	1.0
s_#>	s_#>	1.0
t	t	1.0
t_#>	t_#>	1.0
w	l	1.0
w_#>	l_#>	1.0
w_ˈo	l_ˈa	1.0
x	ɦ	1.0
x_#>	x_#>	1.0
xʲ_i	x_iː	1.0
z	z	1.0
ɔ	ˈo	1.0
ɛ	ɛ	1.0
ɥ	v_j	1.0
ɥ_ˈɛ	v_j_ɛ	1.0
ɦ	ɦ	1.0
ɪ_#>	iː	1.0
ɲ	ɲ	1.0
ɲ_#>	n_#>	1.0
ʀ	r	1.0
ʀ_ˈa	r_ˈaː	1.0
ʀʲ	r̝	1.0
ʤ	ɟ	1.0
ʦ	ʦ	1.0
ʧ_#>	t	1.0
ˈe_s	ˈiː_s	1.0
ˈe_ʀ	ˈr̩	1.0
ˈɔ_m	m̩_#>	1.0
ˈɔ_ʀ	ˈr̩	1.0
ˈɔ_β	ˈa_v	1.0
ˈɛ_l	ˈɛ_l	1.0
ˈɪ	ˈɪ	1.0
β	v	1.0
ˈi	ˈɪ	0.571
ˈo	ˈo	0.571
d	ˈɛ_d	0.222
ɔ_#>	ɛ_#>	0.2
ˈe	ˈiː	0.2
ˈɔ	ˈo	0.542
ˈɛ	ɛ	0.222
ʃ	r̝̊	0.333
ˈa	ˈaː	0.333
ˈe	ˈɛː	0.133
ˈɛ	ˈɛː	0.333
<#_β	<#_v	0.444
ˈu	ˈu	0.714
ˈɛ	ˈɛ	0.444
ʧ	c	0.5
ʧ	ɛ_t	0.5
ˈɔ	ˈuː	0.125
ˈɔ	-	0.125
<#_ʧ	<#_t	0.286
<#_ʧ	<#_ʧ	0.286
<#_β	<#	0.556
ˈu	ˈou̯	0.286
ʃ	ʃ	0.667
ˈa	ˈa	0.667
ˈe	ˈɛ	0.667
d	d	0.778
ɔ_#>	o_#>	0.8
ˈɔ	ˈɛ	0.208
<#_ʧ	<#_c	0.429
ˈi	ˈiː	0.429
ˈo	ˈuː	0.429
