Belarusian	Belarusian	probability
ˈ_#>	ˈ_#>	1.0
ʦ_a	ʦ_ɛ	1.0
ʦ	ʦʲ	1.0
ʐ̊	ʒ	1.0
ʐ_ɨ	ʒʲ	1.0
ʐ	ʒ	1.0
ʌ	ɔ	1.0
ʃ	-	1.0
ʂ	ʃʲ	1.0
ɫ	ɫ	1.0
ɣʲ	ɦ_e	1.0
ɛ	i	1.0
z̥	z	1.0
z	z	1.0
xʲ	x	1.0
x_#>	ɦ_#>	1.0
x	x	1.0
w_#>	w_#>	1.0
vʲ	ʋʲ	1.0
s_a	s_ɑ	1.0
s_#>	s_#>	1.0
r_o	r_ɛ	1.0
r_#>	r_#>	1.0
p	p	1.0
o_ˈ	ɔ_ˈ	1.0
nʲ	nʲ	1.0
m	m	1.0
d̥ʲ	d	1.0
d̥_#>	d_#>	1.0
d	d	1.0
b̥	b	1.0
b	b	1.0
a_ˈ	ɑ_ˈ	1.0
a_r	ɔ_r	1.0
a_d	ɔ_d	1.0
<#_ʦʲ	<#_t	1.0
<#_vʲ	<#_ʋ	1.0
<#_v_o	<#_ɔ	1.0
<#_v	<#_ʋʲ	1.0
<#_r	<#_r	1.0
<#_lʲ	<#_ɫ	1.0
<#_j	<#_j	1.0
<#_a	<#_ɔ	1.0
ˈ	ˈ	0.969
ɣ	ɦ	0.929
k	k	0.917
s	s	0.9
t	t	0.895
ʣʲ	d	0.875
lʲ	lʲ	0.867
r	r	0.857
n	n	0.833
#>	j_#>	0.818
bʲ	b	0.8
o	i	0.765
ʧ	ʧ	0.75
ɵ	ɛ	0.75
w	ʋ	0.667
u	u	0.667
e	i	0.656
mʲ	m	0.625
pʲ	p	0.6
sʲ	sʲ	0.583
ʦʲ	tʲ	0.571
zʲ	z	0.571
v	ʋ	0.562
i	ɪ	0.556
a_#>	ɔ_#>	0.524
r_a	rʲ_i	0.5
r_a	r_ɛ	0.5
kʲ	k_e	0.5
kʲ	k	0.5
a_#>	ɐ_#>	0.476
ɨ	ɪ	0.452
v	w	0.438
zʲ	zʲ	0.429
sʲ	s	0.417
pʲ	pʲ	0.4
a	ɔ	0.391
ɨ	e_j	0.387
mʲ	mʲ	0.375
a	ɑ	0.37
e	ɛ	0.344
ʦʲ	t_e	0.333
w	ʍ	0.333
u	ʊ	0.333
æ	ɐ	0.273
ɵ	-	0.25
o	ɔ	0.235
æ	ɑ	0.227
æ	-	0.227
bʲ	bʲ	0.2
#>	ɐ_#>	0.182
n	nʲ	0.167
i	j	0.167
i	e	0.167
r	rʲ	0.143
æ	ɛ	0.136
æ	j_ɑ	0.136
lʲ	ɫ	0.133
ʧ	ʧʲ	0.125
ʧ	ʤ	0.125
ʣʲ	dʲ	0.125
i	-	0.111
a	ɐ	0.109
t	-	0.105
s	sʲ	0.1
ɨ	e	0.097
ʦʲ	t	0.095
k	kʲ	0.083
ɣ	ɦʲ	0.071
ɨ	ɪ_ˈ	0.065
a	i	0.065
a	a	0.065
