Nuorese	Nuorese	probability
ˈɛ_ɣ	ˈe	1.0
ˈɔ_ɾ	ˈoː_r	1.0
ˈi_ʣ	ˈi	1.0
ˈi_ɾ	ˈiː	1.0
ˈe_t	ˈɛ_t	1.0
ˈa_ɾ	ˈaː	1.0
ʦ	ʧ	1.0
ʣ_u	j	1.0
ɾ_ˈa	ˈa	1.0
ɾ_ɛ_#>	#>	1.0
ɾ_u_#>	r_#>	1.0
ɾ_b	r_b	1.0
ɲ	ɲ	1.0
ɛ̆	-	1.0
ɛ_ɾ	i	1.0
ɛ_#>	#>	1.0
ɔ̆_#>	#>	1.0
ŋ	-	1.0
ð_ɛ	t	1.0
ð	d	1.0
z_ŭ_#>	#>	1.0
t_u	ʧ	1.0
t_a	d_e	1.0
s_ˈa	s_ˈa	1.0
s_a	s_e	1.0
s	s	1.0
r_u	ˈɛ_r	1.0
r	r	1.0
n_ʣ	ɲ	1.0
n_ɛ_#>	#>	1.0
n_ɛ	ŋ	1.0
n_u	ŋ	1.0
m_ɛ	ŋ_k	1.0
m_i	m	1.0
m	m	1.0
l_ˈi	l_ˈe	1.0
l_a	l_e	1.0
k_ˈi	ʧ_ˈi	1.0
k_ɾ	l	1.0
k_ɛ	s	1.0
k_u_#>	#>	1.0
f_ɾ	f_l	1.0
f	f	1.0
e	-	1.0
d	-	1.0
ă	-	1.0
a_ɾ	a_r	1.0
a_l	a_l	1.0
a_#>	#>	1.0
<#_ˈa	<#_ˈa	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_i	<#	1.0
<#_d	<#_d	1.0
<#_a	<#	1.0
<#	<#_v	1.0
n	n	0.931
u_#>	#>	0.881
l	l	0.867
p	p	0.857
<#_l	<#_l	0.833
t	t	0.776
a	e	0.769
ˈa	ˈa	0.707
ɣ	-	0.667
j	-	0.667
i	i	0.632
ɾ	r	0.596
ɡ	ɡ	0.583
nː	n	0.583
ˈi	ˈi	0.576
ɖː	l	0.571
ɔ	o	0.5
ɔ	-	0.5
o	u	0.5
o	-	0.5
b	v	0.472
ɖː	ˈɛ_l	0.429
b	b	0.417
k	k	0.407
ˈɔ	ˈo	0.387
β	v	0.375
β	-	0.375
i	-	0.368
ɛ	-	0.353
ˈu	ˈu	0.342
ˈu	ˈo	0.342
ʣ	ʤ	0.333
ʣ	j	0.333
ʣ	-	0.333
ɣ	ɡ	0.333
z	s	0.333
j	l_t	0.333
u	-	0.312
ˈe	j	0.3
k	c	0.296
ˈo	ˈuː	0.294
ɛ	i	0.294
ˈa	ˈaː	0.268
z	z	0.267
β	f	0.25
ɡ	ʤ	0.25
u	u	0.25
nː	ɲ	0.25
ɛ	e	0.235
ˈɛ	j_ˈɛ	0.231
ˈe	ˈɛ	0.2
ˈe	j_ˈɛ	0.2
z	i_s	0.2
z	-	0.2
ɾ	l	0.193
ˈɛ	ˈe	0.192
u	r	0.188
a	a	0.185
ˈi	ˈe	0.182
ˈo	ˈo	0.176
ˈo	w_ˈa	0.176
ɡ	-	0.167
nː	ŋ	0.167
<#_l	<#_j	0.167
t	d	0.163
ˈu	ˈuː	0.158
ˈɛ	ˈɛ	0.154
ˈi	ˈeː	0.152
ˈe	ˈi	0.15
ˈe	ˈe	0.15
k	ʧ	0.148
p	-	0.143
l	-	0.133
ˈɔ	w_ˈɛ	0.129
u	ŋ	0.125
u	o	0.125
u_#>	i_#>	0.119
ˈo	ˈɔ	0.118
ˈo	ˈu	0.118
ˈo	-	0.118
ɛ	ˈiː	0.118
ˈɛ	ˈiː	0.115
ˈɛ	ˈi	0.115
ˈɛ	-	0.115
ˈɔ	w_ˈi	0.097
k	-	0.093
ˈi	-	0.091
ˈu	ˈɔ	0.079
ˈu	ˈoː	0.079
ˈɛ	j	0.077
n	ɲ	0.069
ˈɔ	ˈɔ	0.065
ˈɔ	ˈuː	0.065
ˈɔ	w_ˈa	0.065
ˈɔ	o_ˈa	0.065
ˈɔ	o	0.065
ˈɔ	-	0.065
t	-	0.061
k	ɡ	0.056
b	z_v	0.056
b	-	0.056
