Swedish	Alsatian	probability
a	ə	1.0
b	b̥	1.0
f	f	1.0
h	h	1.0
kʰ	kʰ	1.0
kː	k	1.0
l	l	1.0
lː	l	1.0
m	m	1.0
mː	m	1.0
p	f	1.0
pː	f	1.0
sː	s	1.0
ŋː	ŋ	1.0
ɕ	kʰ	1.0
ɳ	ʁ_n	1.0
ɵ	-	1.0
ʊ	n	1.0
ˈyː	ˈiː	1.0
ˈɔ	ˈu	1.0
ˈɪ	ˈi	1.0
ˈʊ	ˈu	1.0
ˈʏ	ˈu	1.0
n	n	0.841
nː	n	0.681
s	s	0.581
ɡː	-	0.061
ˈoː	ˈɒ	0.191
ˈøː	ˈiː	0.171
j	-	0.802
k	ʃ	0.822
s	ʃ	0.342
ˈa	t_#>	0.112
ˈeː	ˈæ	0.082
ˈuː	ˈo	0.122
ˈœ	ˈu	0.342
ˈɑː	ˈɒː	0.332
ˈʉː	ˈiː	0.512
j	l	0.073
t	t	0.183
tː	ʦ	0.413
ɛ	ə	0.833
ɡ	ɡ̊	0.623
ˈa	ˈɒː	0.213
ˈeː	ˈei̯	0.213
ˈøː	ˈeː	0.223
ˈøː	ˈoː	0.383
ˈɛ	ˈi	0.333
ˈɛː	ˈɒː	0.393
ˈɵ	ˈo	0.073
ˈɵ	ˈi	0.273
r	ʁ	0.954
v	f	0.124
ɧ	ʃ	0.544
ˈa	ˈɒ	0.604
ˈiː	ˈiː	0.814
ˈøː	ˈʊː	0.224
ˈœ	ˈi	0.324
ˈœ	ˈiː	0.334
ˈɵ	ˈu	0.414
j	ɡ̊	0.125
tʰ	ʦ	0.415
tʰ	d̥	0.585
ŋ	-	0.375
ŋ	i	0.625
ˈeː	ˈəi̯	0.705
ˈuː	ˈʊː	0.75
d	d̥	0.386
ɧ	s	0.456
ˈiː	ˈi	0.186
s	ʃ_w	0.077
t	s	0.817
v	b̥	0.227
ɛ	-	0.167
ˈa	n_#>	0.07
ˈɛː	ˈæ	0.607
k	i_ʃ	0.178
tː	s	0.318
v	ʋ	0.608
ɡ	-	0.118
ˈuː	ˈøː	0.128
ˈɑː	ˈɒ	0.668
ˈɛ	ˈæ	0.118
ˈɵ	ˈyː	0.218
ˈʉː	ˈyː	0.448
d	t	0.599
n	-	0.159
nː	n_d̥	0.319
tː	x_t	0.269
ɡ	j	0.259
ɡː	k	0.939
ˈoː	ˈoː	0.809
ˈɛ	ˈe	0.549
