Romanian	Occitan	probability
<#_a	<#_a	1.0
<#_b	<#_b	1.0
<#_d	<#_d	1.0
<#_f	<#_f	1.0
<#_j	<#	1.0
<#_k	<#_k	1.0
<#_l	<#_l	1.0
<#_n	<#_n	1.0
<#_p	<#_p	1.0
<#_r	<#_r	1.0
<#_t	<#_t	1.0
<#_v	<#_v	1.0
<#_z	<#_d	1.0
<#_ɡ	<#_ɡ	1.0
<#_ʃ	<#_s	1.0
<#_ʒ	<#_ʤ	1.0
<#_ʤ	<#_ʤ	1.0
<#_ʦ	<#_t	1.0
<#_ʧ	<#_s	1.0
<#_ˈa	<#_ˈa	1.0
<#_ˈu	<#_ˈy	1.0
a	-	1.0
a_#>	ɔ_#>	1.0
b	β	1.0
d_ˈe	j_r_e	1.0
e_n	e_n	1.0
e̯ˈa	ˈe	1.0
j_#>	s_#>	1.0
j_e	ʎ_ɔ	1.0
j_ˈe	ˈɛ	1.0
kʲ_#>	l_#>	1.0
l_#>	l_#>	1.0
l_b	β	1.0
m_n	ɲ	1.0
n_#>	#>	1.0
n_t	n_#>	1.0
o	u	1.0
p	-	1.0
p_r	β_ɾ	1.0
p_ˈa	s_p_ˈa	1.0
r_#>	l_#>	1.0
r_m	r_m	1.0
s	s	1.0
s_#>	s_#>	1.0
s_t	s_t	1.0
t_#>	t_#>	1.0
t_r	t_ɾ	1.0
t_ˈa	t_ˈa	1.0
u_#>	e_#>	1.0
u_ʃ	u_s	1.0
w	-	1.0
w_#>	w_#>	1.0
z_b	v	1.0
ɡ	ɣ	1.0
ɨ	a	1.0
ʃ_t	j_s	1.0
ʒ	ʤ	1.0
ʦ_#>	ʦ_#>	1.0
ʧ_e	ʦ_#>	1.0
ˈau̯	ˈa_w	1.0
ˈi_n	ˈɛ_n	1.0
ˈu_n	ˈu	1.0
ˈɨ	ˈa	1.0
ˈɨ_n	ˈa	1.0
#>	l_#>	0.111
j	ɲ	0.231
k_#>	#>	0.231
n	ˈy_m	0.061
n	ŋ	0.061
n	n_d	0.091
ˈi	β	0.111
ˈi	ˈi	0.611
e	-	0.2
j	-	0.462
n	-	0.242
#>	e_#>	0.333
<#_m	<#	0.133
<#_ˈo	<#_ˈɔ	0.333
e	ˈɛ	0.133
e	w	0.133
e	a	0.133
e_r	ɾ	0.333
k	k	0.833
l	-	0.143
l	w	0.143
ˈe	ˈɛ	0.333
ˈu	ˈy	0.3
<#	<#_a	0.444
<#_s	<#_e	0.154
d	t	0.4
e	e	0.4
e_#>	e_#>	0.074
j	ˈa_w	0.154
j	ɔ	0.154
k_#>	ˈu_#>	0.154
l	l	0.714
m	m	0.714
r	l	0.054
t	t	0.304
t	ð	0.304
ə_#>	#>	0.204
ʧ	k	0.4
ˈa	ˈa	0.944
ˈo	ˈɔ	0.474
i	-	0.375
i	e	0.625
k_#>	k_#>	0.615
n	n	0.545
o̯ˈa	ˈe	0.25
o̯ˈa	ˈɔ	0.375
o̯ˈa	ɥ_ˈɛ	0.375
o̯ˈa_r	ˈɔ_r	0.5
o̯ˈa_r	ˈu	0.5
p_#>	s_#>	0.5
p_#>	p_#>	0.5
p_t	ʧ_#>	0.5
p_t	ʧ	0.5
u	-	0.25
u	u	0.75
ʤ	ʤ	0.5
ʤ	-	0.5
<#	<#_e	0.556
<#_s	<#_s	0.846
d	-	0.6
e_#>	#>	0.926
m	-	0.286
r	r	0.176
ə	a_s	0.286
ə	e	0.286
ə_#>	ɔ_#>	0.796
ʧ	-	0.6
ˈa	ˈɛ	0.056
ˈi	-	0.056
ˈi	ˈɛ	0.056
<#_m	<#_m	0.867
<#_ˈo	<#_ɥ	0.667
e_r	ɾ_e	0.667
k	ɣ	0.167
r	ɾ	0.297
t	j_ɾ_e	0.087
t	ˈa	0.087
t	-	0.217
ˈe	ˈe	0.667
ˈi	ˈe	0.167
ˈu	ˈu	0.7
#>	s_#>	0.278
#>	ɔ_#>	0.278
r	-	0.378
ˈo	ɥ_ˈɔ	0.158
ˈo	ˈu	0.368
ə	-	0.429
