Ligurian	Galician	probability
a	ɐ	0.768
a	a	0.133
a	-	0.077
b	b	0.832
b	β	0.109
b	k	0.059
d	d	0.635
d	-	0.278
d	ð	0.086
e	ɪ	0.498
e	e	0.159
e	ˈe	0.113
e	-	0.103
f	f	1.0
i	i	0.467
i	o	0.161
i	ˈi	0.149
i	ɪ	0.085
i	j	0.062
j	-	0.302
j	ɾ	0.286
j	e	0.12
j	ɪ	0.077
j	o	0.068
j	ɐ	0.053
k	k	0.978
l	l	0.887
l	-	0.098
m	m	0.945
n	n	0.816
n	-	0.125
o	ʊ	1.0
p	p	0.955
r	ɾ	0.625
r	r	0.175
r	-	0.137
s	s	0.505
s	θ	0.272
s	e_s	0.087
s	ɣ	0.065
sː	ʃ	0.5
sː	β	0.5
t	t	0.71
t	ð	0.216
t	-	0.052
u	ʊ	0.817
u	o	0.059
u	ɪ	0.056
v	β	0.488
v	b	0.463
w	-	0.27
w	o	0.263
w	w	0.228
w	ʎ	0.169
w	ˈɔ	0.07
y	j	1.0
z	ʃ	0.276
z	s	0.262
z	ɾ	0.164
z	-	0.163
z	θ	0.074
z	j	0.061
ŋ	ŋ	0.352
ŋ	n	0.29
ŋ	-	0.155
ŋ	ɲ	0.08
ŋ	m	0.078
ɔː	w	0.669
ɔː	ˈa	0.331
ɡ	ɣ	0.672
ɡ	ɡ	0.241
ɡ	-	0.086
ɥ	a	1.0
ɲ	ɲ	0.79
ɲ	-	0.105
ɲ	n	0.105
ʃ	ʃ	0.364
ʃ	θ	0.336
ʃ	ʧ	0.172
ʃ	ɡ	0.105
ʒ	θ	0.734
ʒ	m	0.103
ʒ	ʃ	0.089
ʒ	v	0.054
ʤ	ʎ	0.588
ʤ	ʃ	0.137
ʤ	b	0.108
ʤ	β	0.082
ʤ	-	0.067
ʧ	ʧ	0.632
ʧ	j	0.146
ʧ	k	0.146
ʧ	p	0.076
ˈa	ˈa	0.611
ˈa	ˈɑ	0.311
ˈaː	ˈa	0.814
ˈaː	w	0.057
ˈaː	a	0.056
ˈe	ˈe	0.678
ˈe	ˈi	0.162
ˈe	ˈɛ	0.107
ˈeː	ˈe	0.4
ˈeː	ˈɛ	0.309
ˈeː	-	0.135
ˈeː	ɾ_ˈe	0.071
ˈi	ˈi	0.791
ˈi	ˈe	0.178
ˈiː	ˈi	0.386
ˈiː	ˈe	0.283
ˈiː	-	0.181
ˈiː	i	0.125
ˈu	ˈo	0.64
ˈu	ˈu	0.143
ˈu	ˈɔ	0.08
ˈu	ˈi	0.057
ˈuː	ˈo	0.759
ˈuː	ˈɔ	0.161
ˈuː	ˈu	0.08
ˈy	ˈu	0.666
ˈy	ˈo	0.197
ˈy	ˈe	0.076
ˈyː	ˈu	0.902
ˈyː	j	0.098
ˈø	ˈo	0.913
ˈø	a	0.087
ˈøː	ˈɔ	0.675
ˈøː	ˈo	0.325
ˈɔ	ˈɔ	0.49
ˈɔ	o	0.237
ˈɔ	ˈo	0.215
ˈɔ	a	0.059
ˈɔː	ˈɔ	0.679
ˈɔː	w	0.143
ˈɔː	o	0.126
ˈɔː	ˈo	0.051
ˈɛ	a	0.596
ˈɛ	ˈɛ	0.296
ˈɛ	j	0.108
ˈɛː	ˈɛ	0.335
ˈɛː	ˈa	0.316
ˈɛː	ˈi	0.118
ˈɛː	ˈe	0.111
ˈɛː	e	0.103
