Galician	Ligurian	probability
d	d	1.0
f	f	1.0
p	p	1.0
r	r	1.0
u	u	1.0
w	w	1.0
ŋ	ŋ	1.0
ɡ	ɡ	1.0
ˈɑ	ˈa	1.0
a	ˈaː	0.171
k	k	0.941
n	ŋ	0.361
ɐ	ŋ_a	0.061
ɐ	a	0.871
ɲ	ŋ	0.401
ʊ	u	0.941
ˈɛ	-	0.051
ˈɛ	ˈɛː	0.311
ɣ	s	0.092
ɪ	e	0.752
ɾ	-	0.212
ˈu	ˈyː	0.322
ˈɔ	ˈøː	0.282
e	-	0.143
i	-	0.143
j	j	0.173
o	u	0.553
s	-	0.213
ɪ	u	0.13
ʎ	ʤ	0.853
ˈa	-	0.073
ˈe	ˈeː	0.123
ˈo	ˈɔ	0.113
ˈu	ˈy	0.443
ˈɛ	ˈeː	0.243
β	-	0.13
ʃ	z	0.644
ʧ	ʧ	0.854
ˈa	ˈa	0.614
ˈe	ˈa	0.074
ˈo	ˈøː	0.064
ˈo	ˈu	0.34
ˈu	ˈu	0.204
ˈɔ	ˈuː	0.094
ˈɔ	ˈɔ	0.154
θ	s	0.404
a	a	0.395
a	-	0.435
b	v	0.735
ð	t	0.255
ˈi	ˈi	0.585
θ	ʒ	0.135
l	r	0.106
m	m	0.786
ʧ	ʃ	0.146
ˈa	ˈaː	0.276
ˈe	-	0.156
ˈo	ˈuː	0.056
ˈɛ	ˈe	0.286
θ	z	0.076
e	e	0.667
i	i	0.857
l	l	0.827
m	-	0.097
o	-	0.127
s	s	0.777
ð	-	0.557
ɣ	ɡ	0.867
ɾ	j	0.17
ʃ	ʤ	0.257
ʎ	w	0.147
ˈe	ˈiː	0.057
ˈo	ˈy	0.057
ˈɔ	ˈɔː	0.47
b	b	0.238
j	-	0.698
m	ŋ	0.118
ð	d	0.188
ɾ	r	0.618
ʃ	s	0.068
ˈe	ˈe	0.48
ˈi	ˈe	0.118
ˈi	ˈiː	0.158
ˈo	ˈu_ŋ	0.068
ˈɛ	ˈɛ	0.108
θ	-	0.138
θ	ʒ_e	0.238
e	j	0.19
j	ˈɛː	0.129
n	n	0.639
o	w	0.319
t	t	0.939
ɪ	-	0.079
ɲ	ɲ	0.599
ˈo	ˈø	0.19
β	v	0.79
