Corsican	Campidanese	probability
f	f	1.0
kː	k	1.0
tː	t	1.0
w	w	1.0
ŋ	ŋ	1.0
ɟ	ʤ	1.0
ɡ	ɡ	1.0
ʃ	s	1.0
ʎ	ʣ	1.0
ˈe	ˈe	1.0
ˈi	ˈi	1.0
ˈu	ˈu	1.0
b	-	0.211
c	j	0.901
e	a	0.061
e	i_r	0.071
u	o	0.051
u	i	0.061
u	u	0.771
a	a	0.92
e	-	0.062
m	m	0.972
p	p	0.882
r	-	0.062
ʧ	ʧ	0.242
ˈa	ˈa_r	0.052
ˈɔ	ˈo	0.872
ˈɛ	ˈe	0.702
d	d	0.533
e	u	0.063
e	i	0.463
lː	l	0.123
r	rː	0.053
s	-	0.063
v	b	0.643
j	-	0.454
t	-	0.054
i	e	0.335
i	i	0.665
k	-	0.155
r	r	0.885
ˈo	ˈu	0.295
ˈo	ˈo	0.705
j	r	0.546
l	l	0.986
n	n	0.986
d	-	0.467
k	ɣ	0.177
lː	-	0.297
s	s	0.937
e	e	0.28
lː	ɖː	0.58
p	β	0.118
t	t	0.588
v	β	0.088
ʧ	ʒ	0.758
ˈa	ˈa	0.948
ˈɔ	ˈu	0.128
ˈɛ	ˈi	0.298
b	b	0.789
c	ʧ	0.099
k	k	0.669
t	ð	0.359
v	-	0.269
