Limburgish	Pennsylvania German	probability
b	b	0.926
b	-	0.054
d	d	0.785
d	-	0.184
f	p	0.464
f	l_p	0.315
f	f	0.158
f	-	0.064
i	eː	1.0
j	-	0.669
j	l	0.167
j	t	0.101
j	j	0.063
k	k	0.344
k	kʰ	0.325
k	x	0.166
k	ç	0.131
l	l	0.996
m	m	0.963
n	n	0.884
n	-	0.11
p	f	0.685
p	p	0.236
p	pʰ	0.057
s	ʃ	0.529
s	s	0.271
s	n_s	0.093
s	-	0.054
s	k_s	0.052
t	t	0.464
t	s	0.325
t	ʦ	0.188
v	f	0.787
v	v	0.168
w	l	1.0
x	ç	0.524
x	k	0.288
x	x	0.188
z	s	0.766
z	ʃ	0.234
ŋ	ŋ	0.758
ŋ	ç	0.242
ə	ə	0.54
ə	-	0.402
ə	ɪ	0.055
ɡ	-	0.669
ɡ	ɣ	0.331
ɣ	ɡ	0.767
ɣ	j	0.14
ɣ	ɣ	0.069
ɦ	h	1.0
ɪ	ɪ	1.0
ʀ	ɾ	0.482
ʀ	ɑ	0.462
ʃ	ʃ	1.0
ˈaː	ˈa	0.727
ˈaː	ˈɔː	0.096
ˈaː	-	0.089
ˈaː	ˈɛː	0.059
ˈeː	ˈɛ	0.326
ˈeː	ˈiː	0.312
ˈeː	ˈɛː	0.116
ˈeː	ˈɪ	0.109
ˈeː	ˈeː	0.075
ˈeː	-	0.062
ˈi	ˈeː	0.647
ˈi	ˈɪ	0.174
ˈi	ˈɛː	0.082
ˈi	ˈaɪ̯	0.058
ˈiː	ˈaɪ̯	0.701
ˈiː	ˈeː	0.175
ˈiː	ˈɪ	0.08
ˈoː	ˈʊ	0.657
ˈoː	ˈɔ	0.221
ˈoː	ˈuː	0.121
ˈu	ˈoː	0.788
ˈu	ˈeː	0.212
ˈuː	ˈaʊ̯	0.882
ˈyː	ˈeː	0.808
ˈyː	ˈaɪ̯	0.151
ˈæ	ˈɛ	0.431
ˈæ	ˈɔː	0.305
ˈæ	ˈiː	0.263
ˈæː	ˈɛː	0.448
ˈæː	ˈaː	0.435
ˈæː	ˈɛ	0.117
ˈøː	ˈiː	0.339
ˈøː	ˈuː	0.217
ˈøː	ˈaɪ̯	0.167
ˈøː	ˈeː	0.164
ˈøː	ˈɛ	0.064
ˈœ	ˈɪ	0.553
ˈœ	ˈɔː	0.205
ˈœ	ˈa	0.14
ˈœ	ˈʊ	0.102
ˈœi̯	ˈaɪ̯	0.62
ˈœi̯	ˈɔː	0.38
ˈœː	ˈaː	1.0
ˈɑ	ˈa	0.597
ˈɑ	ˈɛː	0.149
ˈɑ	ˈɛ	0.113
ˈɑ	ˈaː	0.092
ˈɑː	ˈa	0.825
ˈɑː	ˈɔː	0.175
ˈɒː	ˈoː	0.585
ˈɒː	ˈɔː	0.31
ˈɒː	ˈɛː	0.105
ˈɔ	ˈʊ	0.468
ˈɔ	ˈɔ	0.426
ˈɔ	ˈɛː	0.105
ˈɔu̯	ˈaʊ̯	0.6
ˈɔu̯	ˈɔː	0.4
ˈɔː	ˈɔː	0.456
ˈɔː	ˈɔ	0.311
ˈɔː	ˈʊ	0.162
ˈɔː	ˈaʊ̯	0.071
ˈɛ	ˈɪ	0.419
ˈɛ	ˈiː	0.204
ˈɛ	ˈaɪ̯	0.182
ˈɛ	ˈɛ	0.158
ˈɛː	ˈeː	0.663
ˈɛː	ˈɪ	0.138
ˈɛː	ˈɛː	0.085
ˈɛː	ˈɔ	0.064
ˈɛː	ˈaɪ̯	0.05
ˈɛːi̯	ˈɔɪ̯	0.576
ˈɛːi̯	ˈaɪ̯	0.302
ˈɛːi̯	ˈeː	0.122
ˈɪ	ˈɛ	0.62
ˈɪ	ˈɪ	0.216
ˈɪ	ˈaɪ̯	0.164
ˈɪː	ˈɪ	0.862
ˈɪː	ˈa	0.138
ˈʊ	ˈʊ	1.0
ˈʊː	ˈʊ	0.418
ˈʊː	ˈaː	0.211
ˈʊː	ˈuː	0.169
ˈʊː	ˈoː	0.059
ˈʏ	ˈɪ	1.0
ˈʏː	ˈaɪ̯	0.492
ˈʏː	ˈʊ	0.3
ˈʏː	ˈɛ	0.209
β	ʋ	0.943
