Standard Croatian	Proto-Slavic	probability
ʧ	ʧ	1.0
ʦ	ʦ	1.0
ʒ	ʒ	1.0
ʋ	v	1.0
ʃ	ʃ	1.0
ɲ	ɲ	1.0
ɡ	ɡ	1.0
x	x	1.0
uː_̌	õː	1.0
uː_̂	ĭ_̂_l	1.0
t	t	1.0
s	s	1.0
r̩ː	ĭ	1.0
r̩_̂	r	1.0
r_aː	oː	1.0
p	p	1.0
o_̂	o	1.0
m	m	1.0
l_aː	o_l	1.0
k	k	1.0
j_eː	ɛː	1.0
iː_̌	i	1.0
e_̂	e_̂	1.0
b	b	1.0
aː_̂	̂	1.0
aː	aː	1.0
a_r	r_ŭ	1.0
a_n	n_ŭ	1.0
a_m	m_ĭ	1.0
d	d	0.989
z	z	0.95
l	l	0.939
o	o	0.916
̌	-	0.902
n	n	0.892
j_e	ɛː	0.867
r	r	0.847
e	e	0.725
oː	o	0.695
a	a	0.587
uː	uː	0.583
a_̂	ŭ_̌	0.564
ʎ	ʎ	0.562
̂	̂	0.524
i	i	0.514
ʎ	-	0.438
a_̂	ĭ_̌	0.436
uː	õː	0.417
iː	ɨː	0.39
u	ĭ	0.381
i	ɨ	0.381
eː	-	0.38
iː	iː	0.355
oː	oː	0.305
eː	ẽː	0.274
u	õː	0.27
̂	̌	0.25
̂	ˀ	0.226
u	v_ŭ	0.217
eː	e	0.186
eː	ẽ	0.16
e	ẽ	0.139
e	-	0.136
j_e	ɛː_̌	0.133
u	u	0.132
iː	ŭ	0.127
iː	i	0.127
a	ĭ	0.119
a	-	0.119
n	-	0.108
r	o	0.107
i	j	0.105
a	o	0.104
̌	̌	0.098
l	d_l	0.061
o	l_ŭ	0.055
