Kashubian	Kashubian	probability
ˈ_#>	ˈ_#>	1.0
ʧ	-	1.0
ʦ_#>	#>	1.0
ʤ	ɡ	1.0
ʣ	dʲ	1.0
ʒ	ɡʲ	1.0
ʃ	-	1.0
ɾ	ʊ_rʲ	1.0
ɲ	-	1.0
ɡ̊	ɡ	1.0
ɔ_ˈ	ɐ	1.0
z̥	-	1.0
x	-	1.0
w_ʉ	sʲ	1.0
w_u	aʊ̯	1.0
v_j	vʲ	1.0
p	pʲ	1.0
õ	-	1.0
l	lʲ	1.0
j_ɞ	ɐɪ̯	1.0
f	-	1.0
e	iə̯	1.0
d̥	d	1.0
b̥	b	1.0
<#_ʦ	<#_k	1.0
<#_v	<#	1.0
<#_s	<#_s	1.0
<#_j	<#	1.0
<#	<#_ɐ	1.0
n	n	0.818
z	ʑ	0.778
t	t	0.778
ɡ	ɡ	0.75
u	-	0.75
w	ɫ	0.692
ɛ_ˈ	̂	0.667
b	b	0.667
a_#>	ɐ_ˈ_#>	0.667
r	r	0.65
ʦ	tʲ	0.636
k	k	0.625
i	ɐ	0.6
d	d	0.545
#>	s_#>	0.518
r̝	rʲ	0.5
r̝	-	0.5
m	mʲ	0.5
v	v	0.455
d	-	0.455
ɔ	ɐ	0.444
ɞ	-	0.429
u̯ɛ	-	0.4
ɛ	-	0.389
s	ɕ	0.385
k	kʲ	0.375
ˈ	-	0.373
a	-	0.368
ʦ	-	0.364
v	vʲ	0.364
ɛ_ˈ	̌	0.333
m	m	0.333
j	eː	0.333
b	bʲ	0.333
ã	ɪ	0.333
ã	-	0.333
a_#>	ɐ_#>	0.333
w	-	0.308
u̯ɛ	ɐ	0.3
u̯ɛ	æː	0.3
ɞ	ɪ	0.286
ɞ	oː	0.286
ɡ	ʒ	0.25
ə	uː	0.25
ə	iː	0.25
ə	-	0.25
u	aː	0.25
r	rʲ	0.25
j	ɛ	0.25
j	-	0.25
#>	ɐ_s_#>	0.25
ˈ	̌	0.239
s	sʲ	0.231
s	s	0.231
ɛ	ɪ	0.222
ɛ	ɛ	0.222
ɔ	ɪ	0.222
ɔ	-	0.222
z	ʒ	0.222
t	-	0.222
ã	ŋ	0.222
ˈ	̂	0.209
v	-	0.182
n	-	0.182
ɛ	æː	0.167
ə	ɪ	0.167
m	-	0.167
j	vʲ	0.167
a	ɐ	0.158
a	uə̯	0.158
a	eː_̌	0.158
a	eː	0.158
s	ʃ	0.154
i	t_ɐ	0.133
i	s	0.133
i	-	0.133
ɔ	z	0.111
ã	ŋʲ	0.111
r	-	0.1
ə	ɛʊ̯	0.083
ˈ	ˈ	0.075
ˈ	ɪ_ˈ	0.075
#>	ˈ_#>	0.071
#>	ɪ_ˈ_s_#>	0.071
#>	ɪ_#>	0.054
