Phone1	Phone2	Surprisal
a	-	1.703
a	uə̯	2.151
a	ɐ	2.239
a	eː	2.556
a	eː_̌	3.543
a_ˈ	oː	0.0
ã	-	1.598
ã	ɪ	1.764
ã	ŋ	2.04
ã	ɪ_ˈ	2.921
b	b	0.448
b	bʲ	1.906
d	-	0.852
d	d	1.748
d	n_d	2.756
d̥	d	1.0
d̥	d_ɐ	1.0
e	iə̯	0.0
f	-	0.0
i	ɐ	0.705
i	ʊ	1.796
i	s	3.34
j	-	1.497
j	eː	1.705
j	vʲ	2.194
j	ɛ	3.054
j_ɞ	ɐɪ̯	0.0
k	k	0.399
k	kʲ	2.051
l	lʲ	0.0
m	mʲ	0.634
m	m	1.491
n	n	0.7
n	-	1.379
õ	ɐ	0.0
p	pʲ	0.0
r	r	0.643
r	rʲ	1.996
r	-	3.198
r̝	rʲ	0.0
s	s	2.137
s	ɕ	2.177
s	ʃ	2.184
s	sʲ	2.39
s	ɕ_ɪ	2.83
t	t	0.514
t	ɐ_s	1.739
u	-	0.381
u	aː	2.107
u̯ɛ	-	1.464
u̯ɛ	æː	1.686
u̯ɛ	ɐ	2.133
u̯ɛ	ɪ	3.339
v	vʲ	1.391
v	-	1.576
v	v	1.82
v_j	vʲ	0.0
w	ɫ	0.315
w	-	2.351
w_u	aʊ̯	0.0
x	-	0.852
x	ʃ	1.165
z	ʑ	0.299
z	ʒ	2.416
z̥	-	0.0
ɔ	-	1.168
ɔ	ɐ	1.589
ɔ	z	3.09
ɔ	ɪ	3.248
ɔ_ˈ	ɐ	0.0
ə	-	1.276
ə	uː	1.776
ə	iː	2.193
ə	ɛʊ̯	3.712
ɛ	-	1.584
ɛ	ɪ	2.161
ɛ	æː	2.352
ɛ	ɛ	2.75
ɛ	iə̯	3.345
ɛ_ˈ	̂	0.0
ɞ	-	0.384
ɞ	oː	2.098
ɡ	ɡ	0.436
ɡ	ʒ	1.939
ɡ̊	ɡ	0.0
ɲ	-	0.0
ɾ	ʊ_rʲ	0.0
ʉ	-	0.0
ʒ	ɡʲ	0.0
ʣ	dʲ	0.0
ʤ	ɡ	0.0
ʦ	-	0.607
ʦ	tʲ	2.511
ʦ	s	2.573
ʧ	-	0.0
ʧ_i	ʊ	0.0
ˈ	-	1.585
ˈ	̌	1.837
ˈ	̂	2.141
ˈ	ˈ	3.229
ˈ	ɪ_ˈ	4.229
