Proto-Germanic	Westphalian	probability
a	-	1.0
b	b	0.838
b	-	0.158
d	d	0.852
d	-	0.138
e	ɐ	0.491
i	-	0.642
i	ɐ	0.219
i	ə	0.126
i_j	ɐ	1.0
i_s	ʃ	1.0
i_z	ç	0.491
iː	n	0.699
iː	-	0.095
j	-	0.852
j	j	0.086
j	ˈø	0.057
jː	ˈaɪ̯	0.491
k	k	0.907
k	-	0.092
k_i	k	1.0
k_s	k	1.0
k_ɑ	k	1.0
kʷ	f	0.118
kː	k	1.0
l	l	0.895
l	-	0.087
l	n	0.034
l_i	l	1.0
l_u	l	1.0
l_ɑ	l	1.0
lː	l	1.0
m	m	0.878
m	n	0.076
m	-	0.051
m_i	m	1.0
m_ɑ	m	1.0
mː	m	0.241
n	n	0.75
n	-	0.194
n	m	0.032
n	l	0.031
n_i	n	1.0
n_u	n	0.241
n_x	ŋ	0.491
n_ɑ	m	1.0
n_ɑ̃	n	0.962
n_ɑ̃	m	0.043
nː	n	0.74
nː	ˈyə̯	0.135
p	p	0.879
p	b	0.107
p_ɑ̃	p	1.0
pː	p	0.491
r	r	0.645
r	-	0.236
r	ɐ	0.112
r_i	ɐ	0.491
r_n	n	0.118
r_t	t	1.0
r_u	ɐ	1.0
r_ɑ	ɐ	1.0
r_ɑ̃	ɐ	1.0
r_ɔː	ɐ	0.491
s	s	0.476
s	ʃ	0.363
s	-	0.118
s	z	0.033
s_k	ʃ	1.0
s_ɑ̃	s	1.0
t	t	0.93
t	-	0.069
u	-	0.889
u	ə	0.085
u_n	n	1.0
w	w	0.625
w	-	0.236
w	v	0.074
w	ˈʏ	0.04
w	ɣ	0.035
wː	ˈuː	0.491
x	h	0.524
x	-	0.191
x	x	0.184
x	ç	0.06
x	k	0.035
x_l	l	1.0
x_s	s	1.0
x_t	ç	1.0
xʷ	w	0.683
xʷ	-	0.221
z	-	0.968
z	t	0.037
ð	-	0.474
ð	t	0.272
ð	d	0.218
ð_i	t	1.0
ð_ɑ	d	1.0
ð_ɑ̃	d	1.0
ŋ	-	0.5
ŋ	ŋ	0.5
ŋ_ɡ	ŋ	1.0
ɑ	-	0.965
ɑ	ɪ	0.036
ɑ_l	l	0.491
ɑ_z	ç	0.633
ɑ_z	ə	0.347
ɑi̯	ˈɪ	0.491
ɑ̃	-	0.915
ɑ̃	n	0.052
ɑ̃	ɐ	0.045
ɔː	-	0.519
ɔː	ɐ	0.266
ɔː	ə	0.163
ɔː_r	ɐ	1.0
ɔːu̯	-	1.0
ɔːː	ə	0.512
ɔːː	-	0.364
ɔːː	ɐ	0.117
ɔ̃ː	ə	0.381
ɔ̃ː	-	0.352
ɔ̃ː	ˈaʊ̯	0.141
ɔ̃ː	m	0.107
ɛː	ɐ	1.0
ɡ	ç	0.5
ɡ	-	0.5
ɡʷ	-	0.491
ɣ	x	0.38
ɣ	ɡ	0.188
ɣ	-	0.12
ɣ	ŋ	0.099
ɣ	ɣ	0.099
ɣ_ɑ	x	1.0
ɸ	f	0.961
ɸ	-	0.043
ˈe	ˈɪɛ̯	0.355
ˈe	ˈɛ	0.162
ˈe	ˈaɪ̯	0.127
ˈe	ˈɪ	0.12
ˈe	ˈɪə̯	0.111
ˈe_r	ˈɛː	1.0
ˈeu̯	ˈaɪ̯	0.612
ˈeu̯	ˈɛ	0.228
ˈeu̯	ˈuːə̯	0.087
ˈeu̯	ˈiː	0.065
ˈeː	ˈiː	1.0
ˈi	ˈɪ	0.665
ˈi	ˈiː	0.134
ˈi	-	0.054
ˈi	ˈiə̯	0.054
ˈi	ɪ	0.048
ˈiu̯	ˈyː	0.74
ˈiu̯	ˈiː	0.135
ˈiː	ˈiː	0.817
ˈiː	ˈaɪ̯	0.115
ˈiː	ˈɪ	0.063
ˈĩː	ˈɪ	0.491
ˈu	ˈʊ	0.319
ˈu	ˈʏ	0.111
ˈu	ˈuːə̯	0.108
ˈu	ˈɔ	0.082
ˈu	ˈyː	0.074
ˈu_r	ˈuːə̯	0.491
ˈuː	ˈuː	0.59
ˈuː	ˈʊ	0.209
ˈuː	ˈaʊ̯	0.182
ˈɑ	ˈa	0.497
ˈɑ	ˈaː	0.135
ˈɑ	ˈɛ	0.117
ˈɑ	ˈɔ	0.058
ˈɑ	-	0.042
ˈɑi̯	ˈeː	0.699
ˈɑi̯	ˈyː	0.119
ˈɑi̯	ˈɪɛ̯	0.062
ˈɑi̯	ˈaɪ̯	0.062
ˈɑi̯	ˈoː	0.05
ˈɑu̯	ˈaʊ̯	0.679
ˈɑu̯	ˈøː	0.074
ˈɑu̯	ˈɔ	0.074
ˈɑu̯	ˈœː	0.061
ˈɑu̯	ˈyː	0.059
ˈɔ	ˈøː	1.0
ˈɔː	ˈoː	0.561
ˈɔː	ˈøː	0.252
ˈɔː	ˈɛ	0.071
ˈɔː	ˈyː	0.057
ˈɔː	ˈuə̯	0.056
ˈɛː	ˈɔː	1.0
β	v	0.601
β	p	0.169
β	f	0.114
β	b	0.077
β_ɑ	f	1.0
θ	d	0.684
θ	-	0.314
θ_ɑ̃	d	1.0
