Yiddish	Bavarian	probability
b	b̥	0.83
b	m	0.153
d	d̥	0.913
d	t	0.065
f	f	1.0
h	h	1.0
j	j	1.0
k	kʰ	0.474
k	ɡ̊	0.325
k	k	0.118
k	-	0.079
l	l	0.522
l	j	0.434
m	m	0.979
n	n	0.91
n	-	0.071
p	p͡f	0.591
p	p	0.409
s	s	1.0
t	d̥	0.59
t	t	0.399
v	ʋ	0.98
z	s	1.0
ŋ	ŋ	0.957
ə	a	0.905
ə	-	0.085
ɛ	ɐ	0.866
ɛ	a	0.134
ɡ	ɡ̊	0.775
ɡ	ŋ	0.122
ɡ	-	0.104
ɪ	i	0.59
ɪ	-	0.205
ɪ	ŋ	0.205
ʀ	r	0.541
ʀ	ɐ	0.401
ʀ	-	0.059
ʁ	-	1.0
ʃ	ʃ	1.0
ʎ	l	1.0
ʦ	ʦ	1.0
ʧ	ʃ	1.0
ˈa	ˈa	0.326
ˈa	ˈo	0.227
ˈa	ˈɒ	0.135
ˈa	ˈɔ	0.083
ˈa	ˈoɐ̯	0.071
ˈa	ˈɛ	0.071
ˈa	ˈɒː	0.051
ˈaɪ̯	ˈai̯	0.936
ˈaɪ̯	ˈoɐ̯	0.064
ˈi	ˈy	1.0
ˈɔ	ˈoː	0.285
ˈɔ	ˈo	0.231
ˈɔ	ˈɔ	0.154
ˈɔ	ˈɒː	0.09
ˈɔ	ˈɛ	0.075
ˈɔ	ˈaː	0.054
ˈɔ	ˈa	0.052
ˈɔɪ̯	ˈau̯	0.314
ˈɔɪ̯	ˈaː	0.266
ˈɔɪ̯	ˈou̯	0.152
ˈɔɪ̯	ˈoɐ̯	0.107
ˈɔɪ̯	ˈoː	0.076
ˈɛ	ˈe	0.331
ˈɛ	ˈɛ	0.307
ˈɛ	ˈeː	0.183
ˈɛ	ˈɒ	0.087
ˈɛ	ˈi	0.059
ˈɛɪ̯	ˈoɐ̯	0.722
ˈɛɪ̯	ˈɛː	0.128
ˈɛɪ̯	ˈai̯	0.1
ˈɛɪ̯	ˈeː	0.05
ˈɪ	ˈi	0.654
ˈɪ	ˈiɐ̯	0.096
ˈɪ	ˈeɐ̯	0.093
ˈɪ	ˈiː	0.06
ˈɪ	ˈu	0.053
ˈʊ	ˈu	0.637
ˈʊ	ˈuɐ̯	0.281
ˈʊ	ˈeɐ̯	0.081
χ	x	0.653
χ	ç	0.347
