Bokmål Norwegian	East Low German	probability
i	ɪ	1.0
kː	k	1.0
mː	m	1.0
p	p	1.0
pʰ	pʰ	1.0
pː	p	1.0
sː	s	1.0
ŋː	ŋ	1.0
ɳ	æ	1.0
ʈ	t	1.0
ʈː	t	1.0
ˈœʏ̯	ˈaʊ̯	1.0
kʰ	kʰ	0.891
m	m	0.951
s	s	0.261
s	z	0.361
tː	x	0.091
ɡ	j	0.211
ɡː	ŋ	0.101
ɾ	-	0.131
ˈoː	ˈoː	0.241
ˈoː	ˈɒː	0.61
ˈøː	ˈeː	0.071
ˈɑː	ˈɒː	0.321
ˈɔ	ˈœː	0.081
ˈɛ	ˈa	0.111
ˈɪ	ˈiː	0.061
ˈʉ	ˈœː	0.071
ˈʉ	v_ˈʊ	0.21
ˈʉː	ˈuː	0.511
l	l	0.982
lː	-	0.052
lː	l	0.912
tʰ	tʰ	0.312
tː	t	0.712
ŋ	n	0.182
ɡ	-	0.142
ɾ	r	0.372
ˈeː	ˈae̯	0.472
ˈiː	ˈae̯	0.082
ˈuː	ˈuː	0.372
ˈyː	ˈaɪ̯	0.072
ˈæ	ˈɪ	0.502
ˈæː	ˈɛː	0.172
ˈɑ	ˈɒː	0.062
ˈɑ	ˈaː	0.162
ˈɔ	ˈʊ	0.112
ˈɔ	ˈa	0.222
ˈɛ	ˈiː	0.052
ˈɛ	ˈɪ	0.132
ˈɛ	ˈʏ	0.182
ˈʉ	ˈʊ	0.532
ˈʉː	ˈʊ	0.052
ˈʏ	ˈuː	0.12
f	f	0.973
j	-	0.243
k	-	0.293
n	ŋ	0.053
ə	-	0.703
ɡ	ɡ	0.443
ɪ	-	0.193
ˈiː	ˈɪ	0.153
ˈæɪ̯	ˈɛ	0.33
ˈœ	ˈʏ	0.123
ˈœ	ˈœː	0.193
ˈɔ	ˈuː	0.153
ˈɛ	ˈae̯	0.093
b	b	0.944
d	d	0.734
j	ɡ	0.124
nː	n	0.944
ç	kʰ	0.914
ə	n	0.244
ʋ	m	0.154
ˈæɪ̯	ˈae̯	0.614
ˈæː	ˈaɪ̯	0.304
ˈøː	ˈɔʏ̯	0.14
ˈøː	ˈoː	0.164
ˈɑː	ˈa	0.404
ˈɛ	ˈaː	0.054
ˈɪ	ˈuː	0.064
ˈʉː	ˈae̯	0.154
k	k	0.675
n	n	0.925
ɡː	ç	0.355
ˈøː	ˈae̯	0.05
ˈʉ	ˈuː	0.055
ˈʊ	ˈoː	0.15
b	-	0.056
nː	-	0.056
t	t	0.966
ç	d	0.086
ɡ	ç	0.056
ɡː	-	0.226
ɾ	æ	0.386
ʂ	ʃ	0.356
ʋ	v	0.486
ˈiː	ˈiː	0.56
ˈoː	ˈaʊ̯	0.06
ˈyː	ˈyː	0.376
ˈæː	ˈiː	0.366
ˈœ	ˈɔʏ̯	0.366
ˈɑ	ˈɛː	0.06
ˈɑ	ˈa	0.656
ˈɑː	ˈɛ	0.066
ˈɛ	ˈɛ	0.336
ˈʏ	ˈɔ	0.066
ˈʏ	ˈɪ	0.166
d	t	0.107
h	h	0.977
j	x	0.157
j	h	0.187
j	j	0.187
tː	ç	0.197
ɪ	ɪ	0.807
ʂ	s	0.157
ʂ	z	0.487
ˈeː	ɾ	0.107
ˈeː	ˈɛː	0.327
ˈiː	ˈɛː	0.147
ˈuː	ˈaʊ̯	0.517
ˈyː	ˈɪ	0.077
ˈyː	ˈae̯	0.377
ˈøː	ˈyː	0.07
ˈœ	ˈɛ	0.157
ˈɔ	ˈɔ	0.157
ˈɪ	ˈɪ	0.867
ˈʉː	ˈɛ	0.067
ˈʉː	ˈɔ	0.067
ˈʊ	ˈøː	0.117
ˈʊ	ˈɔ	0.367
ˈʊ	ˈuː	0.367
d	-	0.158
s	ʃ	0.338
tʰ	d	0.648
ŋ	ç	0.818
ɡ	x	0.148
ɡː	k	0.138
ˈyː	ˈiː	0.098
ˈæ	ˈaː	0.498
ˈœ	ˈaʊ̯	0.068
kʰ	-	0.109
ɡː	ɡ	0.179
ɾ	ɾ	0.079
ʋ	f	0.149
ʋ	w	0.19
ˈiː	ˈɛ	0.059
ˈæː	ɾ	0.159
ˈøː	ˈaʊ̯	0.449
ˈɑː	ˈaː	0.069
ˈɑː	ˈoː	0.139
ˈɔ	ˈɒː	0.219
ˈʉ	ˈʏ	0.079
ˈʏ	ˈyː	0.159
ˈʏ	ˈʏ	0.489
