Sicilian	Brazilian Portuguese	probability
a	ɐ	0.742
a	a	0.103
a	-	0.08
b	b	0.732
b	v	0.204
b	-	0.064
c	ʎ	0.539
c	ʃ	0.311
c	-	0.102
d	d	0.807
d	h	0.125
f	f	1.0
i	-	0.29
i	e	0.284
i	i	0.185
i	ˈe	0.116
j	ʒ	0.32
j	-	0.285
j	j	0.212
j	i	0.102
j	ɾ	0.081
k	k	0.587
k	ɡ	0.236
k	-	0.133
l	l	0.747
l	-	0.129
l	j̃	0.067
m	m	0.85
m	-	0.144
n	n	0.408
n	-	0.326
n	j̃	0.245
o	o	1.0
p	p	0.712
p	b	0.251
r	ɾ	0.745
r	h	0.149
s	s	0.838
s	ʃ	0.101
s	-	0.055
t	d	0.341
t	t	0.331
t	ʧ	0.112
t	-	0.092
t	j	0.08
u	õ	0.436
u	o	0.298
u	u	0.199
u	i	0.067
v	v	0.849
v	b	0.117
w	w	0.728
w	o	0.141
w	ɡ	0.091
z	ʒ	0.398
z	-	0.263
z	ɾ	0.211
z	s	0.128
ç	ʃ	0.959
ŋ	-	0.5
ŋ	ĩ	0.5
ɕ	s	0.557
ɕ	z	0.337
ɕ	-	0.063
ɖ	l	0.816
ɖ	-	0.152
ɟ	ʎ	0.484
ɟ	-	0.393
ɟ	v	0.123
ɡ	ɡ	1.0
ɪ	-	0.477
ɪ	i	0.301
ɪ	ˈe	0.061
ɲ	j̃	0.88
ɲ	-	0.12
ɽ	ɾ	0.929
ɽ	-	0.071
ɾ	-	0.482
ɾ	ɾ	0.295
ɾ	ɦ	0.126
ʃ	ʃ	0.455
ʃ	-	0.285
ʃ	s	0.131
ʃ	j	0.128
ʈ	d	0.738
ʈ	t	0.214
ʊ	u	0.738
ʊ	-	0.105
ʊ	i	0.069
ʊ	w̃	0.052
ʐ	h	0.733
ʐ	-	0.267
ʤ	ʒ	0.479
ʤ	-	0.396
ʤ	z	0.102
ʦ	s	0.482
ʦ	-	0.296
ʦ	j	0.177
ʧ	t	0.5
ʧ	-	0.5
ˈa	ˈa	0.549
ˈa	ˈɐ̃	0.226
ˈa	-	0.075
ˈe	ˈe	0.882
ˈe	ˈɛ	0.118
ˈi	ˈĩ	0.343
ˈi	ˈe	0.336
ˈi	ˈi	0.148
ˈi	ˈẽ	0.105
ˈo	ˈõ	1.0
ˈu	ˈo	0.258
ˈu	ˈũ	0.228
ˈu	ˈu	0.203
ˈu	ˈɔ	0.131
ˈu	ˈõ	0.116
ˈɔ	ˈo	0.466
ˈɔ	ˈɔ	0.236
ˈɔ	ˈõ	0.195
ˈɔ	-	0.06
ˈɛ	ˈɛ	0.488
ˈɛ	ˈe	0.235
ˈɛ	ˈẽ	0.205
ˈɛ	ˈi	0.054
