Standard Serbian	Proto-Slavic	probability
ʨ	-	1.0
ʧ	ʧ	1.0
ʒ	ʒ	1.0
ʎ	ʎ	1.0
ʋ_a	v_a	1.0
ʋ	v	1.0
ʃ	ʃ	1.0
ɲ	ɲ	1.0
ɡ	ɡ	1.0
x	x	1.0
uː_̌	õː	1.0
uː_̂	ĭ_̂_l	1.0
t	t	1.0
s	s	1.0
r̩ː	ĭ	1.0
r̩_̂	r	1.0
r_aː	oː	1.0
p	p	1.0
n	n	1.0
m	m	1.0
l_aː	o_l	1.0
k	k	1.0
iː_̌	i	1.0
eː_̂	ɛː_̂	1.0
e_t	ɛː_t	1.0
b	b	1.0
aː_̂	̂	1.0
a_r	r_ŭ	1.0
a_n	n	1.0
a_m	m_ĭ	1.0
z	z	0.95
̌	-	0.9
d	d	0.856
l	l	0.853
o	o	0.85
ʦ	ʦ	0.812
e	e	0.76
r	r	0.662
oː	o	0.659
o_̂	o_̌	0.617
uː	uː	0.583
̂	̂	0.564
i	i	0.551
aː	oː	0.5
aː	aː	0.5
a	a	0.477
i	ɨ	0.449
iː	ɨː	0.437
uː	õː	0.417
iː	iː	0.408
a_̂	ŭ_̌	0.408
o_̂	o	0.383
u	ĭ	0.381
oː	oː	0.341
eː	ɛː	0.305
a_̂	r	0.296
a_̂	ĭ_̌	0.296
u	õː	0.27
eː	ẽː	0.253
̂	ˀ	0.231
u	v_ŭ	0.217
r	r_ŭ	0.21
̂	̌	0.205
e	ɛː	0.203
eː	e	0.192
ʦ	-	0.188
a	ĭ	0.187
iː	i	0.155
eː	ẽ	0.148
u	u	0.132
d	d_i	0.13
a	-	0.129
o	l_ŭ	0.118
eː	-	0.102
̌	̌	0.1
a	o	0.097
r	o_ˀ	0.087
l	-	0.082
l	d_l	0.064
a	ŭ	0.059
