East Low German	Old Norse	probability
ae̯	ɑː	1.0
b	b	1.0
d	d	0.437
d	θ	0.317
d	ð	0.207
f	f	0.697
f	v	0.161
f	mː	0.079
h	h	0.888
h	ç	0.112
j	ɟ	0.575
j	ɡ	0.32
j	-	0.105
k	k	0.659
k	kː	0.093
k	c	0.085
k	ɡː	0.077
kʰ	kʰ	0.637
kʰ	cʰ	0.363
l	l	0.759
l	lː	0.169
l	l̥	0.06
m	m	0.841
m	v	0.095
m	mː	0.064
n	n	0.493
n	ɑ	0.224
n	-	0.137
n	nː	0.102
p	p	0.862
p	pː	0.085
p	-	0.054
r	r	0.865
r	r̥	0.073
r	-	0.05
s	s	0.672
s	sː	0.16
s	v	0.136
t	t	0.563
t	ð	0.295
t	-	0.091
tʰ	tʰ	1.0
v	v	0.539
v	x	0.259
v	-	0.201
w	v	1.0
x	tː	0.456
x	ɣ	0.313
x	-	0.121
x	j	0.111
z	s	1.0
æ	r	0.583
æ	i	0.27
æ	rː	0.074
ç	ɣ	0.269
ç	r	0.183
ç	ŋ_ɡ	0.16
ç	tː	0.147
ç	s	0.08
ç	ɟː	0.08
ç	ɡː	0.076
ŋ	ŋ	0.655
ŋ	ɣ	0.244
ŋ	ʝː	0.1
ɡ	ɡ	0.631
ɡ	ɟ	0.248
ɡ	ɣ	0.12
ɣ	-	1.0
ɪ	u	0.614
ɪ	ɑ	0.386
ɾ	ð	0.868
ɾ	t	0.132
ʃ	s	0.968
ˈa	ˈɑ	0.512
ˈa	ˈa	0.179
ˈa	ˈɑː	0.084
ˈa	ˈɛ	0.072
ˈa	ˈɔ	0.066
ˈa	w_ˈɑ	0.058
ˈae̯	j	0.381
ˈae̯	ˈɛi̯	0.257
ˈae̯	ˈiː	0.139
ˈaɪ̯	j	1.0
ˈaʊ̯	ˈoː	0.372
ˈaʊ̯	ˈɑu̯	0.214
ˈaʊ̯	ˈɑ	0.139
ˈaʊ̯	ˈɔː	0.094
ˈaʊ̯	ˈɑː	0.084
ˈaː	ˈɑ	1.0
ˈeː	ˈɑː	0.625
ˈeː	ˈɛː	0.326
ˈiː	ˈiː	0.485
ˈiː	j	0.192
ˈiː	ˈeː	0.144
ˈiː	ˈyː	0.104
ˈiː	ˈi	0.074
ˈoː	ˈɑː	0.385
ˈoː	ˈɑ	0.251
ˈoː	ˈo	0.16
ˈoː	ˈɔ	0.152
ˈoː	ˈɑu̯	0.052
ˈuː	ˈuː	0.53
ˈuː	ˈo	0.26
ˈuː	ˈu	0.069
ˈuː	ˈøy̯	0.06
ˈyː	ˈyː	0.389
ˈyː	ˈøy̯	0.331
ˈyː	ˈy	0.198
ˈyː	ˈɛ	0.082
ˈøː	ˈo	1.0
ˈœ	ˈe	0.393
ˈœ	ˈɔ	0.393
ˈœ	ˈo	0.215
ˈœː	ˈy	0.488
ˈœː	ˈu	0.146
ˈœː	ˈɑu̯	0.146
ˈœː	ˈo	0.129
ˈœː	ˈyː	0.091
ˈɒː	ˈɑː	0.391
ˈɒː	ˈɑ	0.33
ˈɒː	ˈo	0.16
ˈɔ	ˈu	0.58
ˈɔ	ˈoː	0.19
ˈɔ	ˈɑ	0.104
ˈɔ	ˈy	0.078
ˈɔʏ̯	ˈøː	0.776
ˈɔʏ̯	ˈu	0.117
ˈɔʏ̯	ˈøy̯	0.107
ˈɛ	ˈe	0.285
ˈɛ	ˈi	0.172
ˈɛ	ˈøː	0.172
ˈɛ	j_ˈɔ	0.096
ˈɛ	ˈɑ	0.085
ˈɛ	ˈu	0.085
ˈɛ	ˈeː	0.056
ˈɛː	ˈe	0.531
ˈɛː	ˈɛ	0.28
ˈɛː	u	0.061
ˈɪ	ˈi	0.513
ˈɪ	ˈe	0.094
ˈɪ	ˈy	0.087
ˈɪ	ˈɛi̯	0.08
ˈɪ	ˈiː	0.077
ˈɪ	ˈu	0.052
ˈʊ	ˈu	0.958
ˈʏ	ˈy	0.302
ˈʏ	ˈu	0.285
ˈʏ	ˈɛ	0.135
ˈʏ	ˈøː	0.088
ˈʏ	j	0.072
ˈʏ	ˈyː	0.064
ˈʏ	ˈe	0.054
