Campidanese	Portuguese	probability
#>	#>	1.0
<#	<#	1.0
<#_a	<#	0.492
<#_i	<#	1.0
<#_ˈa	<#	0.242
<#_ˈi	<#	0.492
a	ɐ	0.914
ă_#>	#>	1.0
b	v	0.62
b	b	0.3
d	d	0.756
d	ð	0.162
d	-	0.081
e	ɨ	0.46
e	-	0.217
e	j	0.107
e	ˈe	0.086
e_#>	#>	1.0
ĕ_#>	#>	1.0
f	f	1.0
f_r	ʃ	0.492
i	ɨ	0.347
i	i	0.193
i	-	0.142
i	w̃	0.075
i	ˈe	0.051
i_#>	#>	1.0
j	ɾ	0.249
j	ʎ	0.2
j	j	0.195
j	v_ɨ	0.126
j	-	0.083
j	ʒ	0.068
j	ĩ	0.063
k	k	0.867
l	l	0.556
l	-	0.307
l	ɫ	0.082
l_i	ɫ	1.0
m	m	0.816
m	-	0.089
m	ũ	0.051
n	n	0.34
n	-	0.314
n	ɲ	0.217
n	j	0.068
n_a	ˈɐ̃	1.0
n_i	ɨ	1.0
o	-	0.304
o	u	0.28
o	w	0.119
o	j	0.091
o	ˈɔ	0.069
o	ɔ	0.066
ŏ_#>	#>	1.0
p	p	0.87
p	β	0.071
p	ʃ	0.055
r	ɾ	0.727
r	-	0.118
r	ʁ	0.077
s	s	0.555
s	ʃ	0.385
s_ˈa	s	1.0
t	t	0.71
t	j_t	0.14
t	ð	0.056
t	-	0.053
u	u	0.828
u	-	0.095
u_z	u	1.0
ŭ_#>	#>	1.0
v	v	0.594
v	k	0.392
w	w	0.761
w	-	0.15
z	ʃ	0.641
z	-	0.301
ð	ð	0.788
ð	-	0.2
ŋ	ɲ	0.276
ŋ	-	0.24
ŋ	ˈĩ	0.136
ɖ	l	0.533
ɖ	-	0.384
ɖ	d	0.081
ɖ_a	ɐ	1.0
ɡ	ɡ	0.606
ɡ	ɣ	0.246
ɡ	-	0.114
ɣ	ɣ	0.728
ɣ	k	0.07
ɣ	v	0.066
ɣ	ʃ	0.066
ɣ	ʎ	0.066
ɲ	ɲ	0.5
ɲ	n	0.287
ɲ	-	0.162
ɲ_u	u	1.0
ʃ	ʃ	0.33
ʃ	-	0.322
ʃ	s	0.161
ʃ	j	0.138
ʒ	ʒ	0.667
ʒ	z	0.333
ʒ_i	ʃ	1.0
ʣ	ʎ	1.0
ʤ	ʒ	0.644
ʤ	-	0.24
ʤ_a	ɐ	1.0
ʦ	s	0.344
ʦ	t	0.299
ʧ	s	0.717
ʧ	ʃ	0.238
ˈa	ˈa	0.672
ˈa	ˈɐ	0.121
ˈa	-	0.096
ˈa_i	ˈa	1.0
ˈa_n	ˈɐ̃	1.0
ˈe	ˈɛ	0.401
ˈe	ˈɐ	0.253
ˈe	ˈe	0.233
ˈe_n	ˈẽ	1.0
ˈi	ˈi	0.555
ˈi	ˈe	0.255
ˈi	-	0.063
ˈi	ˈɐ	0.06
ˈi_l	ˈi	1.0
ˈi_n	ˈĩ	1.0
ˈo	ˈo	0.663
ˈo	ˈɔ	0.301
ˈo_n	ˈõ	0.488
ˈo_n	ˈɐ̃	0.45
ˈu	ˈu	0.554
ˈu	ˈo	0.289
ˈu	ˈɔ	0.06
β	β	0.453
β	v	0.437
β	-	0.089
