Neapolitan	Neapolitan	probability
ˈɔ_k	ˈe_ɣ	1.0
ˈu_ɾ	ˈo	1.0
ˈu_tː	ˈo_ð	1.0
ˈu_t	ˈu_ð	1.0
ˈo_n	ˈo_n	1.0
ˈi_ə	ˈi_a	1.0
ˈi_n	ˈe_n	1.0
ˈi_#>	ˈi_ɾ_#>	1.0
ʧ	ˈe_θ	1.0
ʦ	θ	1.0
ʤː	-	1.0
ʤ	-	1.0
ʎː	x	1.0
ə_#>	#>	1.0
ŋ	ŋ	1.0
z	s	1.0
v_ˈu	b_ˈo	1.0
v_ə	β_e	1.0
v_j	b_j	1.0
sː_ə	s_o	1.0
s	s	1.0
rː	-	1.0
r_k	ɾ_k	1.0
o	o	1.0
m_ə	m_a	1.0
m	m	1.0
k_j	ɟ͡ʝ	1.0
j_ˈɛ	ˈe	1.0
j_ˈe	ɟ͡ʝ_ˈe	1.0
fː	-	1.0
f	f	1.0
e_ɾ	e_ɾ	1.0
e	-	1.0
dː	-	1.0
d	d	1.0
b	b	1.0
a_t	a_ð	1.0
a	a	1.0
<#_ˈɔ	<#_ˈo	1.0
<#_ˈi	<#_ˈe	1.0
<#_w	<#	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_f	<#	1.0
n	n	0.952
l	l	0.939
w	w	0.852
k	k	0.809
ɾ	ɾ	0.8
p	p	0.794
ɲː	ɲ	0.75
ʃ	θ	0.739
ˈa	ˈa	0.737
ɡ	ɡ	0.727
ˈe	ˈe	0.722
v	b	0.714
<#_ˈa	<#_ˈa	0.714
u	o	0.7
nː	ɲ	0.667
mː	m_b	0.667
lː	ʝ	0.667
ˈi	ˈi	0.643
t	t	0.618
tː	ʧ	0.6
j	j	0.6
ˈo	ˈo	0.583
ˈɛ	ˈe	0.565
ɾ_ə	ɾ	0.526
ˈɔ	ˈe	0.517
ə_ɾ	ˈe_ɾ	0.5
ə_ɾ	ɾ	0.5
kː	x	0.5
kː	k	0.5
j_ə	o_s	0.5
j_ə	o	0.5
ˈu	ˈu	0.483
ɾ_ə	ɾ_o	0.474
r	ɾ	0.467
ə	o	0.424
ˈu	ˈo	0.414
tː	t	0.4
r	r	0.4
t	ð	0.382
ə	a	0.377
i	e	0.375
i	-	0.375
ˈi	ˈe	0.357
ˈɛ	j_ˈe	0.348
ʃː	θ_ˈe	0.333
ʃː	θ	0.333
ʃː	-	0.333
nː	n_d	0.333
mː	m	0.333
lː	l	0.333
u	u	0.3
v	β	0.286
<#_ˈa	<#_a	0.286
ˈe	-	0.278
ɡ	ɣ	0.273
ʃ	e_s	0.261
ˈo	ˈu	0.25
ɲː	-	0.25
i	i	0.25
ˈɔ	ˈo	0.241
ˈɔ	w_ˈe	0.241
p	β	0.206
ɾ	-	0.2
j	ʝ	0.2
j	-	0.2
ˈo	w	0.167
k	ɣ	0.149
w	-	0.148
ˈa	ˈa_ɾ	0.14
r	a_ɾ	0.133
ə	e	0.126
ˈu	ˈo_t	0.103
ˈɛ	-	0.087
l	-	0.061
ˈa	ˈe	0.053
