Westphalian	Faroese	probability
aɪ̯	a	1.0
j	-	1.0
z	s	1.0
ˈyə̯	ˈʊ	1.0
ˈyːœ̯	ˈiː	1.0
ˈœː	ˈɔːi̯	1.0
b	v	0.061
d	d̥	0.41
f	kʰ	0.071
k	-	0.091
n	n	0.441
s	s	0.91
t	ʰtː	0.061
t	t	0.41
ç	ɡ̊ː	0.131
ç	ɡ̊	0.131
ç	ʰtː	0.211
ə	w	0.051
ə	ɡ̊_a	0.11
ə	ʊ	0.381
ɡ	ʤ̊ː	0.321
ˈaʊ̯	ˈɪ	0.051
ˈaʊ̯	ˈɛːi̯	0.541
ˈeː	ˈaːi̯	0.211
ˈeː	ˈai̯	0.51
ˈuːə̯	ˈuː	0.061
ˈɔ	ˈa	0.431
ˈɔː	ˈoː	0.081
ˈɛ	ˈɪ	0.071
ˈɪ	ˈʊ̯iː	0.111
h	-	0.12
k	ʧ	0.112
p	ʰpː	0.072
p	tː	0.112
r	-	0.112
x	ʤ̊	0.112
x	ʰtː	0.22
ç	v	0.382
ŋ	ŋ	0.712
ɡ	v̥	0.342
ɣ	j	0.172
ˈa	ˈuː	0.052
ˈaɪ̯	ˈʏ	0.132
ˈaɪ̯	ˈɔːi̯	0.132
ˈeː	ˈɔ̯aː	0.12
ˈøː	ˈøː	0.852
ˈɪə̯	ˈɛːi̯	0.142
ˈɪə̯	ˈʊ	0.142
ˈʊ	ˈʊ	0.902
ˈʏ	ˈɪ	0.822
m	-	0.133
p	p	0.593
s	ʃ	0.073
t	tʰ	0.153
ɐ	ɪ	0.133
ʃ	s	0.563
ʋ	ʧʰ	0.073
ˈaɪ̯	ˈʉːu̯	0.073
ˈaɪ̯	ˈʊ	0.23
ˈaʊ̯	ˈɛːa̯	0.193
ˈaː	ˈɛːa̯	0.473
ˈɛ	ˈøː	0.163
ˈɛː	j	0.083
ˈɛː	ˈɛːa̯	0.163
ˈɛː	j_ˈœ	0.753
ˈɪ	ˈeː	0.103
k	ɡ̊ː	0.054
t	-	0.064
v	-	0.114
v	v	0.774
ɐ	ɹ_ɪ	0.074
ɐ	ɹ	0.504
ɡ	w	0.124
ɪ	ʊ	0.164
ˈa	ˈœ	0.064
ˈaɪ̯	ˈɪ	0.064
ˈaɪ̯	ˈuː	0.064
ˈaɪ̯	ˈɔːu̯	0.144
ˈeː	ˈɛ	0.094
ˈiɛ̯	ˈɛ	0.164
ˈiɛ̯	ˈœ	0.164
ˈiɛ̯	ˈɛːa̯	0.4
ˈiː	ˈeː	0.064
ˈiː	ˈɛːa̯	0.134
ˈoː	ˈɔːu̯	0.864
ˈuː	ˈʉːu̯	0.604
ˈuːə̯	ˈɔ	0.874
ˈø	ˈa	0.714
ˈɛ	ˈɛ	0.454
d	tʰ	0.185
p	ʰp	0.175
t	j	0.05
ç	ɹː	0.145
ɡ	ɡ̊	0.105
ˈa	ˈɛ	0.065
ˈiɛ̯	ˈeː	0.085
ˈuː	ˈɔ	0.075
ˈuː	ˈʊ	0.145
ˈuːə̯	ˈœ	0.065
ˈɛ	ˈɛːa̯	0.105
ˈɪɛ̯	ˈeə̯	0.065
ˈɪɛ̯	ˈɔ̯aː	0.065
b	b̥	0.86
f	f	0.856
k	ʧʰ	0.126
l	l̥	0.206
x	ɡ̊	0.536
ɐ	ʊ_ɹ	0.166
ˈiɛ̯	ˈiː	0.186
ˈiː	ˈɪ	0.066
ˈoː	ˈœ	0.066
ˈuː	ˈɪ	0.176
ˈyː	ˈʏ	0.196
ˈø	ˈɔ	0.286
ˈʊ	ˈʉːu̯	0.056
n	-	0.117
n	a	0.287
ɪ	ɛ	0.297
ʃ	ʃ	0.417
ˈa	ˈa	0.447
ˈaʊ̯	ˈɔːi̯	0.097
ˈaː	ˈa	0.527
ˈiː	ˈʊ̯iː	0.637
ˈuə̯	ˈøː	0.267
ˈuə̯	ˈɔːu̯	0.267
ˈuə̯	ˈoː	0.307
ˈyː	ˈɛ	0.097
ˈyː	ˈʊ	0.377
ˈɔː	ˈɔ̯aː	0.747
ˈɛ	ˈa	0.07
ˈɪ	ˈɛ	0.107
ˈɪ	ˈɪ	0.497
ˈɪɛ̯	ˈɪ	0.067
ˈɪɛ̯	ˈuː	0.097
b	tʰ	0.078
h	h	0.88
k	kʰ	0.218
k	k	0.238
l	l	0.778
n	nː	0.08
r	ɹ	0.808
t	ʈ	0.078
v	kʰ_v	0.068
ə	a	0.458
ɡ	j	0.108
ɣ	ʧː	0.828
ʋ	v	0.858
ˈaɪ̯	ˈɛːa̯	0.118
ˈaʊ̯	ˈɔ̯aː	0.088
ˈøː	ˈiː	0.148
ˈɔː	ˈɛ	0.068
ˈɔː	ˈa	0.068
ˈɪə̯	ˈiː	0.238
ˈɪə̯	ˈøː	0.238
ˈɪə̯	ˈeː	0.238
ˈɪɛ̯	j	0.238
ˈʏ	ˈʊ	0.178
d	-	0.309
k	ʰk	0.109
m	m	0.809
t	ʰt	0.139
ŋ	ɡ̊	0.259
ɐ	n̥	0.069
ɪ	a	0.539
ʋ	-	0.069
ˈa	ˈɛːa̯	0.129
ˈa	ˈɔ	0.219
ˈiː	ˈʊ	0.089
ˈoː	ˈɔ̯aː	0.069
ˈuə̯	ˈʊ	0.159
ˈyː	ˈʊ̯iː	0.329
ˈɔ	ˈœ	0.569
ˈɪɛ̯	ˈɛ	0.189
ˈɪɛ̯	ˈeː	0.279
