Westphalian	Faroese	probability
b	b̥	0.886
b	v	0.107
d	-	0.467
d	d̥	0.296
d	tʰ	0.152
d	ʤ̊	0.042
d	t	0.032
f	f	0.748
f	-	0.116
f	v_ʊ	0.057
f	v	0.047
f	d̥	0.04
h	h	1.0
j	-	1.0
k	k	0.383
k	kʰ	0.282
k	-	0.204
k	h	0.08
k	ɡ̊	0.047
l	l	0.632
l	l̥	0.161
l	l_ʊ	0.084
l	l_a	0.036
l	nː	0.036
m	m	0.608
m	m_ʊ	0.23
m	-	0.118
m	n̥	0.042
n	n	0.437
n	a	0.329
n	nː	0.109
n	-	0.09
n	n̥	0.036
p	p	0.422
p	tː	0.184
p	ʰp	0.168
p	ɹ	0.117
r	ɹ	0.822
r	-	0.12
r	r	0.056
s	s	0.915
s	ʃ	0.046
s	sː	0.046
t	t	0.419
t	-	0.154
t	tʰ	0.15
t	ʰt	0.08
t	w	0.055
v	v	0.718
v	-	0.202
w	v	0.589
w	-	0.251
w	kʰ_v	0.084
w	ˈʉːu̯	0.059
x	ɡ̊	0.479
x	ʰtː	0.293
x	ʤ̊	0.087
x	-	0.069
x	v	0.051
z	s	0.484
ç	-	0.412
ç	ɹː	0.175
ç	ʰtː	0.175
ç	ŋ	0.112
ç	v_ʊ	0.077
ŋ	ŋ	0.794
ŋ	ɡ̊	0.129
ŋ	ɲ	0.064
ŋ_k	ʰkː	1.0
ɐ	ɹ	0.405
ɐ	ɪ_ɹ	0.186
ɐ	ʊ_ɹ	0.149
ɐ	ɹ_a	0.068
ɐ	ɹ_ʊ	0.053
ə	ʊ	0.325
ə	a	0.277
ə	ɡ̊_a	0.165
ə	-	0.155
ə	w	0.064
ɡ	ɡ̊	0.461
ɡ	w	0.265
ɡ	j	0.265
ɣ	ʤ̊	0.66
ɣ	ʧː	0.086
ɣ	j	0.048
ɪ	ʊ	0.644
ɪ	ɛ	0.236
ʃ	s	0.716
ʃ	ʃ	0.225
ʃ	f	0.056
ˈa	ˈa	0.417
ˈa	ˈɔ	0.291
ˈa	ˈɛːa̯	0.123
ˈa	ˈuː	0.045
ˈa	ˈɛ	0.045
ˈaɪ̯	ˈuː	0.193
ˈaɪ̯	ˈʊ	0.129
ˈaɪ̯	ˈɔːu̯	0.099
ˈaɪ̯	ˈʏ	0.089
ˈaɪ̯	ˈɛːa̯	0.086
ˈaʊ̯	ˈɛːi̯	0.634
ˈaʊ̯	ˈɔ̯aː	0.233
ˈaʊ̯	ˈɔːi̯	0.052
ˈaʊ̯	ˈɪ	0.04
ˈaː	ˈa	0.542
ˈaː	ˈɛːa̯	0.435
ˈeː	ˈai̯	0.424
ˈeː	ˈaːi̯	0.238
ˈeː	ˈɛːi̯	0.18
ˈeː	ˈʊ̯iː	0.12
ˈiə̯	ˈiː	0.113
ˈiɛ̯	ˈœ	0.484
ˈiː	ˈʊ̯iː	0.495
ˈiː	ˈeː	0.18
ˈiː	ˈɪ	0.09
ˈiː	ʊ̯ˈiː	0.09
ˈiː	ˈɔːu̯	0.07
ˈoː	ˈɔːu̯	0.874
ˈoː	ˈœ	0.075
ˈoː	ˈɔ̯aː	0.037
ˈuə̯	ˈɔːu̯	0.5
ˈuə̯	ˈʊ	0.5
ˈuː	ˈʉːu̯	0.626
ˈuː	ˈʊ	0.214
ˈuː	ˈɔ	0.124
ˈuːə̯	ˈɔ	0.306
ˈuːə̯	ˈɔ_ɹ	0.306
ˈuːə̯	ˈœ	0.202
ˈuːə̯	ˈuː	0.135
ˈyə̯	ˈʊ	1.0
ˈyː	ˈʊ	0.37
ˈyː	ˈʊ̯iː	0.271
ˈyː	ʊ	0.124
ˈyːœ̯	ˈiː	0.234
ˈø	ˈa	0.484
ˈøː	ˈøː	1.0
ˈœː	ˈɔːi̯	1.0
ˈɔ	ˈa	0.517
ˈɔ	ˈœ	0.45
ˈɔː	ˈɔ̯aː	0.599
ˈɔː	ˈoː	0.203
ˈɔː	ˈɔːi̯	0.087
ˈɔː	ˈa	0.085
ˈɛ	ˈɛ	0.355
ˈɛ	ˈɛːa̯	0.204
ˈɛ	ˈiː	0.117
ˈɛ	ˈɪ	0.088
ˈɛ	ˈøː	0.084
ˈɛː	ˈɛːa̯	0.392
ˈɛː	j	0.358
ˈɪ	ˈɪ	0.336
ˈɪ	ˈʊ̯iː	0.151
ˈɪ	ˈiː	0.148
ˈɪ	ˈɛ	0.103
ˈɪ	ˈa	0.068
ˈɪə̯	ˈøː	0.315
ˈɪə̯	ˈeː	0.315
ˈɪə̯	ˈɛːi̯	0.19
ˈɪə̯	ˈʊ	0.069
ˈɪɛ̯	j	0.325
ˈɪɛ̯	ˈeː	0.187
ˈɪɛ̯	ˈuː	0.112
ˈɪɛ̯	ˈeə̯	0.112
ˈɪɛ̯	ˈɔ̯aː	0.086
ˈʊ	ˈʊ	0.731
ˈʊ	ˈʉːu̯	0.124
ˈʊ	ˈʏ	0.094
ˈʏ	ˈɪ	0.822
ˈʏ	ˈʊ	0.108
