Provençal	Provençal	probability
ˈɛ_j	ˈeː_ɡ	1.0
ˈɔ	-	1.0
ˈỹ	ˈuː	1.0
ˈu_#>	ˈoː_r_ɛ̃ː_#>	1.0
ˈĩ	ˈiː	1.0
ˈi_lː	ˈĩː	1.0
ˈi_#>	ˈiː_r_ɛ_#>	1.0
ˈe_k	k_ʊ̃ː	1.0
ˈa_w	ˈau̯	1.0
ʧ	k_t	1.0
ʤ_ˈẽ	ɡ_ˈɛ	1.0
ʀ_k	r_k	1.0
ɾ_ˈa	r_ˈaː	1.0
ɾ_ɔ	r_ãː	1.0
ɾ_e	r_ʊ̃ː	1.0
ɔ_#>	a_#>	1.0
ŋ_d	n_ɛ	1.0
y	-	1.0
w_ˈe	ˈɔ	1.0
w_#>	#>	1.0
ũ	ɔ	1.0
s_ˈe	s_ˈeː	1.0
s_#>	k_ɛ̃ː_#>	1.0
p	p	1.0
n	n	1.0
mː	ɪ_m	1.0
m_j	m_ˈɛ	1.0
l_ˈe	lʲ_ˈɪ	1.0
k_ɾ	k_r	1.0
k_ɔ	kː_ãː	1.0
k_#>	k_ʊ̃ː_#>	1.0
j_ɾ	t_r	1.0
j_s	s_k	1.0
ĩ	kʷ	1.0
f	f	1.0
e_z	eː	1.0
e_s	s	1.0
e_#>	r_#>	1.0
d_ɔ	t_ãː	1.0
ã_ŋ	a_n	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʀ	<#_r	1.0
<#_ɥ	<#	1.0
<#_ɡ	<#_ɡ	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_l	<#_ɫ	1.0
<#_k	<#_k	1.0
<#_e	<#_ae̯	1.0
<#_d	<#_d	1.0
<#_b	<#_b	1.0
<#_a	<#_a	1.0
<#	<#_h	1.0
m	m	0.971
ɔ	ãː	0.97
v	w	0.926
<#_s	<#_s	0.905
ˈɛ	ˈɛ	0.9
ˈi	ˈiː	0.842
t	t	0.81
ɾ	r	0.806
z	-	0.8
ɥ	ˈɔ	0.778
d	t	0.778
ˈy	ˈuː	0.75
j_ˈe	ˈɛ	0.75
a	a	0.737
l	ɫ	0.727
ʀ	r	0.667
ˈã	ˈa	0.647
ˈẽ	ˈɛ	0.636
ˈu	ˈʊ	0.565
k	k	0.545
ˈũ	ˈoː	0.5
ɡ	k	0.5
w_ˈẽ	ˈɔ_n	0.5
w_ˈẽ	ˈɔ	0.5
#>	ʊ̃ː_#>	0.476
b	b	0.467
u	ɔ	0.462
k	kʷ	0.455
ˈe	ˈɪ	0.448
ˈa	ˈa	0.433
s	s	0.421
e	ɛ	0.383
ɲ	n_i	0.375
ɲ	n_e	0.375
i	i	0.375
ˈã	ˈaː	0.353
ˈũ	ˈʊ	0.333
b	p	0.333
u	oː	0.308
ɡ	ɡ	0.3
j	ʊ_ɫ	0.292
ʤ	ɡ	0.263
ʤ	j	0.263
s	k	0.263
ˈu	ˈoː	0.261
ˈy	ˈuː_r	0.25
ˈa	ˈaː_r	0.25
ɲ	ŋ_n	0.25
ŋ	n_ʊ̃ː	0.25
j_ˈe	ˈe	0.25
i	iː	0.25
i	-	0.25
e	ɛ̃ː	0.234
u	ʊ	0.231
ɥ	-	0.222
d	d	0.222
#>	ɛ̃ː_#>	0.214
j	i	0.208
j	-	0.208
w	lʲː_ʊ̃ː	0.205
#>	ɛ_#>	0.204
ˈa	ˈaː	0.2
ɡ	kʷ	0.2
z	tʰ	0.2
b	p_ɛ	0.2
t	tː	0.19
ˈẽ	ˈɪ	0.182
ˈẽ	ˈeː	0.182
ŋ	ŋ	0.182
l	lʲː	0.182
ˈu	ˈu	0.174
ˈũ	-	0.167
ˈi	-	0.158
ʤ	d	0.158
a	aː	0.158
w	ɫ	0.154
ˈe	ˈeː	0.138
ŋ	n_ɛ̃ː	0.136
ŋ	n	0.136
ɾ	ɛ_r	0.129
w	ˈɔ	0.128
w	ɫ_ʊ̃ː	0.128
ʀ	r_t	0.125
ʀ	r_n	0.125
j	lʲ_i	0.125
i	ĩː	0.125
ŋ	n_t	0.114
e	ʊ̃ː	0.106
e	ɪ	0.106
ʤ	ɡ_ɛ	0.105
ʤ	d_i	0.105
ʤ	-	0.105
s	t_i	0.105
s	sː	0.105
a	aː_d	0.105
ˈe	r	0.103
<#_s	<#	0.095
l	lʲ	0.091
e	-	0.085
ʀ	rː	0.083
j	ɫ	0.083
j	k	0.083
w	w_ʊ̃ː	0.077
w	w_ɪ	0.077
w	w_ɛ̃ː	0.077
v	b	0.074
ˈe	ˈɛ	0.069
ˈe	k	0.069
ˈe	d	0.069
ˈe	-	0.069
ŋ	ʊ̃ː	0.068
ŋ	ŋ_k	0.068
ˈɛ	-	0.067
ɾ	ɔ_r	0.065
s	t_e	0.053
s	k_i	0.053
w	ʊ̃ː	0.051
w	ɫ_ɛ̃ː	0.051
w	b_ɛ	0.051
