Eastphalian	East Frisian Low Saxon	probability
ˈʏ_t	t	1.0
ˈɛə̯	ˈɑ	1.0
ˈyː	ˈyː	1.0
ˈaː	-	1.0
ɪ	ɐ	1.0
ɣ̊	ɣ̊	1.0
ɣ_ə	ɣ̊	1.0
ɣ	ɡ	1.0
ɡ	ɡ	1.0
ɒː	ɑɪ̯	1.0
ɐ_n	ɐ_n	1.0
ɐ	ɐ	1.0
ŋ	ŋ	1.0
z̥	z̥	1.0
z_ə	z̥	1.0
z	z	1.0
w	w	1.0
v̥	v̥	1.0
t_n	t_n	1.0
s	s	1.0
p	p	1.0
n_t	n_t	1.0
n_n	n_n	1.0
l_ə	ɫ	1.0
l	l	1.0
k_ə	k	1.0
k	k	1.0
h	h	1.0
d	d	1.0
b_m	p_n	1.0
b	b	1.0
n	n	0.983
d̥	d̥	0.95
t	t	0.944
m	m	0.944
r	r	0.898
f	f	0.874
v	v	0.87
ˈɪ	ˈɪ	0.838
ˈeo̯	ˈoː	0.838
j	ɡ	0.832
ˈiː	ˈiː	0.828
ʃ	s_k	0.821
ˈaʊ̯	ˈɑʊ̯	0.785
ˈʏ	ˈʏ	0.775
ə	-	0.773
ˈɔ	ˈɔ	0.716
ˈɛɪ̯	ˈæɪ̯	0.699
x	χ	0.693
ˈa	ˈɑ	0.67
ˈɒː	ˈɒː	0.636
ˈʊ	ˈʊ	0.614
ˈuː	ˈuː	0.613
ˈoː	ˈoː	0.574
ç	ɣ̊	0.571
ˈeː	ˈeː	0.532
ˈɔʏ̯	ˈœy̯	0.5
ˈœ	ˈœ	0.5
ˈœ	-	0.5
ˈɛː	-	0.459
ˈɛ	ˈɛ	0.433
ç	χ	0.429
ˈɔʏ̯	ˈɑʊ̯	0.37
ˈɛ	-	0.333
ˈeː	ˈeːe̯	0.309
x	ɣ̊	0.307
ˈɔ	-	0.284
ˈɛː	ˈɑːɑ̯	0.271
ˈɛː	ˈeː	0.271
ˈɛ	ˈɛə̯	0.234
ˈuː	ˈuːu̯	0.233
ˈɒː	ˈɒːɒ̯	0.23
ˈʏ	ˈʏə̯	0.225
ˈaʊ̯	ˈœːy̯	0.215
ˈoː	ˈøː	0.213
ˈoː	-	0.213
ˈʊ	-	0.198
ˈa	ˈɑː	0.194
ʃ	s	0.179
ˈɛɪ̯	ˈæːɪ̯	0.172
j	j	0.168
ˈeo̯	ˈoːo̯	0.162
ˈeː	-	0.16
ˈuː	-	0.154
ˈʊ	ˈʊə̯	0.146
ˈa	ˈɑːɑ̯	0.136
ˈɒː	ˈɔː	0.134
ˈɔʏ̯	ˈøy̯	0.13
v	-	0.13
f	v̥	0.126
ˈiː	ˈɛːɪ̯	0.119
r	-	0.102
ˈɪ	ˈɪə̯	0.093
ə	n	0.089
ə	ɣ̊	0.079
ˈɪ	-	0.069
ˈɛɪ̯	ˈɑɪ̯	0.067
ˈɛɪ̯	ˈæː	0.062
ə	k	0.059
t	d̥	0.056
m	n	0.056
ˈiː	ˈiːi̯	0.053
d̥	-	0.05
