Ladin	Ladin	probability
ˈɛ_n	ˈe_n	1.0
ˈɛ_k	ɣ_ʊ	1.0
ˈɛ_f	β_ʊ	1.0
ˈɔ_n	ˈo	1.0
ˈu	ˈu	1.0
ˈo_w	ˈo	1.0
ˈi	ˈi	1.0
ˈe_l	ˈe_l	1.0
ˈe_j	ˈe	1.0
ˈa_w	ˈo_w	1.0
ʥ_a	ɑ	1.0
ʥ	-	1.0
ʃ_#>	θ_#>	1.0
ɲ	ɲ	1.0
ŋ	ŋ	1.0
z	s	1.0
w_ˈɛ	ˈo	1.0
w_r	ɾ	1.0
u	-	1.0
r_t	ɾ_t	1.0
r_n	ɾ_n	1.0
r_a	ɾ_ɐ	1.0
r_#>	ɾ_ʊ_#>	1.0
p_l	ʧ	1.0
p	p	1.0
n_#>	ŋ_#>	1.0
m_#>	m_ɪ_#>	1.0
m	m	1.0
k_l	ʧ	1.0
k_#>	k_ʊ_#>	1.0
j_ˈɛ	ˈɛ	1.0
f_l	ʧ	1.0
e_s	ɐ_s	1.0
e_r	ɾ_ɪ	1.0
e_#>	#>	1.0
d_a	ð_ɐ	1.0
b_a	β_ɐ	1.0
b	b	1.0
a_v	a_β	1.0
a_#>	#>	1.0
<#_ˈɔ	<#_ˈo	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʧ	<#_θ	1.0
<#_ʒ	<#	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_l	<#_l	1.0
<#_a	<#_a	1.0
<#	<#_b	1.0
f	f	0.889
k	k	0.875
a	ɐ	0.804
ˈe_#>	ˈa_ɾ_#>	0.778
ʨ	k	0.778
s	s	0.765
t	t	0.763
v	b	0.737
ʒ	ʃ	0.667
d_l	ɟ_ʊ	0.667
ˈa	ˈa	0.657
r	ɾ	0.656
l	l	0.654
d	d	0.619
ʃ	e_s	0.6
w	ˈɔ	0.6
o	o	0.6
#>	ʊ_#>	0.562
ˈe	ˈe	0.538
ˈɔ	ˈɔ	0.5
ʦ	θ_ʊ	0.5
ʦ	θ	0.5
i	i	0.5
i	-	0.5
ˈo	ˈo	0.483
n	n	0.483
ɡ	ɡ	0.462
ˈɛ	ˈɛ	0.444
j	-	0.409
ʃ	θ	0.4
o	-	0.4
ɡ	ɣ	0.385
d_l	ɟ	0.333
j	ˈe	0.318
ˈɔ	ˈo	0.278
w	ˈo	0.267
v	β	0.263
ˈo	ˈɔ	0.241
n	-	0.241
d	ð	0.238
#>	ɪ_#>	0.237
s	ʃ	0.235
ˈa	ˈɑ	0.229
ˈɛ	ˈa	0.222
ˈɔ	-	0.222
ˈe_#>	#>	0.222
ʨ	θ	0.222
e	ɾ	0.217
e	e	0.217
n	ɲ	0.207
a	a	0.196
l	-	0.192
j	ɟ	0.182
e	ˈe_ɾ	0.174
e	j	0.174
ʒ	θ	0.167
ʒ	-	0.167
t	ð	0.158
r	r	0.156
ˈe	-	0.154
ɡ	-	0.154
d	-	0.143
ˈo	ˈu	0.138
ˈo	-	0.138
w	ɾ	0.133
e	-	0.13
r	ʊ	0.125
k	ɡ	0.125
ˈe	ˈi	0.115
ˈe	j	0.115
ˈɛ	ˈe	0.111
f	β_ɪ	0.111
j	ɾ	0.091
e	a	0.087
ˈɛ	w	0.083
ˈɛ	j	0.083
t	-	0.079
ˈe	ɾ	0.077
l	ˈɛ_l	0.077
l	ʊ	0.077
#>	ɐ_#>	0.075
n	ŋ	0.069
r	-	0.062
ˈa	ˈe_j	0.057
ˈa	a	0.057
ˈɛ	ɾ	0.056
